timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 09:50:43,0.022,8.71,11304960,8.42
2025-05-11 09:50:48,0.022,8.71,11304960,8.42
2025-05-11 09:50:53,0.022,8.71,11304960,8.42
2025-05-11 09:50:59,0.022,8.71,11304960,8.42
2025-05-11 09:51:04,0.022,8.71,11304960,8.42
2025-05-11 09:51:09,0.022,8.71,11366400,8.47
2025-05-11 09:51:14,0.016,6.28,11366400,8.47
2025-05-11 09:51:19,0.016,6.28,11366400,8.47
2025-05-11 09:51:25,0.016,6.28,11366400,8.47
2025-05-11 09:51:30,0.016,6.28,11366400,8.47
2025-05-11 09:51:35,0.016,6.28,11485184,8.56
2025-05-11 09:51:40,0.016,6.28,11485184,8.56
2025-05-11 09:51:46,0.039,15.78,11485184,8.56
2025-05-11 09:51:51,0.039,15.78,11485184,8.56
2025-05-11 09:51:56,0.039,15.78,11485184,8.56
2025-05-11 09:52:01,0.039,15.78,11485184,8.56
2025-05-11 09:52:06,0.039,15.78,11513856,8.58
2025-05-11 09:52:12,0.039,15.78,11513856,8.58
2025-05-11 09:52:17,0.032,12.99,11513856,8.58
2025-05-11 09:52:22,0.032,12.99,11513856,8.58
2025-05-11 09:52:27,0.032,12.99,11513856,8.58
2025-05-11 09:52:33,0.032,12.99,11513856,8.58
2025-05-11 09:52:38,0.032,12.99,11821056,8.81
2025-05-11 09:52:43,0.030,11.92,11821056,8.81
2025-05-11 09:52:48,0.030,11.92,11821056,8.81
2025-05-11 09:52:53,0.030,11.92,11821056,8.81
2025-05-11 09:52:59,0.030,11.92,11821056,8.81
2025-05-11 09:53:04,0.030,11.92,11821056,8.81
2025-05-11 09:53:09,0.030,11.92,11587584,8.63
2025-05-11 09:53:14,0.036,14.47,11587584,8.63
2025-05-11 09:53:20,0.036,14.47,11587584,8.63
2025-05-11 09:53:25,0.036,14.47,11587584,8.63
2025-05-11 09:53:30,0.036,14.47,11587584,8.63
2025-05-11 09:53:35,0.036,14.47,11730944,8.74
2025-05-11 09:53:40,0.036,14.47,11730944,8.74
2025-05-11 09:53:46,0.057,22.90,11730944,8.74
2025-05-11 09:53:51,0.057,22.90,11730944,8.74
2025-05-11 09:53:56,0.057,22.90,11730944,8.74
2025-05-11 09:54:01,0.057,22.90,11730944,8.74
2025-05-11 09:54:06,0.057,22.90,12083200,9.00
2025-05-11 09:54:12,0.057,22.90,12083200,9.00
2025-05-11 09:54:17,0.026,10.46,12083200,9.00
2025-05-11 09:54:22,0.026,10.46,12083200,9.00
2025-05-11 09:54:27,0.026,10.46,12083200,9.00
2025-05-11 09:54:32,0.026,10.46,12083200,9.00
2025-05-11 09:54:38,0.026,10.46,12115968,9.03
2025-05-11 09:54:43,0.077,30.83,12115968,9.03
2025-05-11 09:54:48,0.077,30.83,12115968,9.03
2025-05-11 09:54:53,0.077,30.83,12115968,9.03
2025-05-11 09:54:58,0.077,30.83,12115968,9.03
2025-05-11 09:55:04,0.077,30.83,12115968,9.03
2025-05-11 09:55:09,0.077,30.83,12070912,8.99
2025-05-11 09:55:14,0.063,25.31,12070912,8.99
2025-05-11 09:55:19,0.063,25.31,12070912,8.99
2025-05-11 09:55:25,0.063,25.31,12070912,8.99
2025-05-11 09:55:30,0.063,25.31,12070912,8.99
2025-05-11 09:55:35,0.063,25.31,12177408,9.07
2025-05-11 09:55:40,0.063,25.31,12177408,9.07
2025-05-11 09:55:45,0.068,27.09,12177408,9.07
2025-05-11 09:55:51,0.068,27.09,12177408,9.07
2025-05-11 09:55:56,0.068,27.09,12177408,9.07
2025-05-11 09:56:01,0.068,27.09,12177408,9.07
2025-05-11 09:56:06,0.068,27.09,12251136,9.13
2025-05-11 09:56:11,0.068,27.09,12251136,9.13
2025-05-11 09:56:17,0.066,26.58,12251136,9.13
2025-05-11 09:56:22,0.066,26.58,12251136,9.13
2025-05-11 09:56:27,0.066,26.58,12251136,9.13
2025-05-11 09:56:32,0.066,26.58,12251136,9.13
2025-05-11 09:56:38,0.066,26.58,12386304,9.23
2025-05-11 09:56:43,0.104,41.48,12386304,9.23
2025-05-11 09:56:48,0.104,41.48,12386304,9.23
