timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 01:08:44,0.027,10.91,11440128,8.52
2025-05-10 01:08:49,0.027,10.91,11440128,8.52
2025-05-10 01:08:54,0.027,10.91,11460608,8.54
2025-05-10 01:08:59,0.027,10.91,11460608,8.54
2025-05-10 01:09:05,0.027,10.91,11460608,8.54
2025-05-10 01:09:10,0.027,10.91,11460608,8.54
2025-05-10 01:09:15,0.020,8.08,11460608,8.54
2025-05-10 01:09:20,0.020,8.08,11460608,8.54
2025-05-10 01:09:25,0.020,8.08,11857920,8.83
2025-05-10 01:09:31,0.020,8.08,11857920,8.83
2025-05-10 01:09:36,0.020,8.08,11857920,8.83
2025-05-10 01:09:41,0.020,8.08,11857920,8.83
2025-05-10 01:09:46,0.068,27.03,11857920,8.83
2025-05-10 01:09:52,0.068,27.03,11931648,8.89
2025-05-10 01:09:57,0.068,27.03,11931648,8.89
2025-05-10 01:10:02,0.068,27.03,11931648,8.89
2025-05-10 01:10:07,0.068,27.03,11931648,8.89
2025-05-10 01:10:13,0.068,27.19,11931648,8.89
2025-05-10 01:10:18,0.068,27.19,11931648,8.89
2025-05-10 01:10:23,0.068,27.19,11976704,8.92
2025-05-10 01:10:28,0.068,27.19,11976704,8.92
2025-05-10 01:10:34,0.068,27.19,11976704,8.92
2025-05-10 01:10:39,0.068,27.19,11976704,8.92
2025-05-10 01:10:44,0.043,17.17,11976704,8.92
2025-05-10 01:10:49,0.043,17.17,11976704,8.92
2025-05-10 01:10:55,0.043,17.17,12357632,9.21
2025-05-10 01:11:00,0.043,17.17,12357632,9.21
2025-05-10 01:11:05,0.043,17.17,12357632,9.21
2025-05-10 01:11:10,0.043,17.17,12357632,9.21
2025-05-10 01:11:16,0.098,39.35,12357632,9.21
2025-05-10 01:11:21,0.098,39.35,12357632,9.21
2025-05-10 01:11:26,0.098,39.35,12701696,9.46
2025-05-10 01:11:31,0.098,39.35,12701696,9.46
2025-05-10 01:11:37,0.098,39.35,12701696,9.46
2025-05-10 01:11:42,0.159,63.68,12701696,9.46
2025-05-10 01:11:47,0.159,63.68,12701696,9.46
2025-05-10 01:11:52,0.159,63.68,12840960,9.57
