timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 13:06:11,0.013,5.34,11177984,8.33
2025-05-10 13:06:17,0.013,5.34,11177984,8.33
2025-05-10 13:06:22,0.013,5.34,11177984,8.33
2025-05-10 13:06:27,0.013,5.34,11177984,8.33
2025-05-10 13:06:32,0.013,5.34,11177984,8.33
2025-05-10 13:06:37,0.013,5.34,11177984,8.33
2025-05-10 13:06:43,0.023,9.17,11198464,8.34
2025-05-10 13:06:48,0.023,9.17,11198464,8.34
2025-05-10 13:06:53,0.023,9.17,11198464,8.34
2025-05-10 13:06:58,0.023,9.17,11198464,8.34
2025-05-10 13:07:04,0.023,9.17,11198464,8.34
2025-05-10 13:07:09,0.023,9.17,11255808,8.39
2025-05-10 13:07:14,0.024,9.73,11255808,8.39
2025-05-10 13:07:19,0.024,9.73,11255808,8.39
2025-05-10 13:07:25,0.024,9.73,11255808,8.39
2025-05-10 13:07:30,0.024,9.73,11255808,8.39
2025-05-10 13:07:35,0.024,9.73,11255808,8.39
2025-05-10 13:07:40,0.013,5.17,11538432,8.60
2025-05-10 13:07:46,0.013,5.17,11538432,8.60
2025-05-10 13:07:51,0.013,5.17,11538432,8.60
2025-05-10 13:07:56,0.013,5.17,11538432,8.60
2025-05-10 13:08:01,0.013,5.17,11538432,8.60
2025-05-10 13:08:07,0.013,5.17,11538432,8.60
2025-05-10 13:08:12,0.027,10.70,11345920,8.45
2025-05-10 13:08:17,0.027,10.70,11345920,8.45
2025-05-10 13:08:22,0.027,10.70,11345920,8.45
2025-05-10 13:08:27,0.027,10.70,11345920,8.45
2025-05-10 13:08:33,0.027,10.70,11345920,8.45
2025-05-10 13:08:38,0.027,10.70,11345920,8.45
2025-05-10 13:08:43,0.026,10.50,11702272,8.72
2025-05-10 13:08:49,0.026,10.50,11702272,8.72
2025-05-10 13:08:54,0.026,10.50,11702272,8.72
2025-05-10 13:08:59,0.026,10.50,11702272,8.72
2025-05-10 13:09:04,0.026,10.50,11702272,8.72
2025-05-10 13:09:10,0.026,10.50,12091392,9.01
2025-05-10 13:09:15,0.034,13.56,12091392,9.01
2025-05-10 13:09:20,0.034,13.56,12091392,9.01
2025-05-10 13:09:26,0.034,13.56,12091392,9.01
2025-05-10 13:09:31,0.034,13.56,12091392,9.01
2025-05-10 13:09:36,0.034,13.56,12091392,9.01
2025-05-10 13:09:41,0.038,15.32,11767808,8.77
2025-05-10 13:09:47,0.038,15.32,11767808,8.77
2025-05-10 13:09:52,0.038,15.32,11767808,8.77
2025-05-10 13:09:57,0.038,15.32,11767808,8.77
2025-05-10 13:10:02,0.038,15.32,11767808,8.77
2025-05-10 13:10:08,0.038,15.32,11767808,8.77
2025-05-10 13:10:13,0.039,15.54,11862016,8.84
2025-05-10 13:10:18,0.039,15.54,11862016,8.84
2025-05-10 13:10:23,0.039,15.54,11862016,8.84
2025-05-10 13:10:29,0.039,15.54,11862016,8.84
2025-05-10 13:10:34,0.039,15.54,11862016,8.84
2025-05-10 13:10:40,0.039,15.54,11902976,8.87
2025-05-10 13:10:45,0.047,18.74,11902976,8.87
2025-05-10 13:10:50,0.047,18.74,11902976,8.87
2025-05-10 13:10:56,0.047,18.74,11902976,8.87
2025-05-10 13:11:01,0.047,18.74,11902976,8.87
2025-05-10 13:11:06,0.047,18.74,11902976,8.87
2025-05-10 13:11:12,0.058,23.25,12304384,9.17
2025-05-10 13:11:17,0.058,23.25,12304384,9.17
2025-05-10 13:11:22,0.058,23.25,12304384,9.17
2025-05-10 13:11:28,0.058,23.25,12304384,9.17
