timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 14:04:12,0.009,3.75,17551360,13.08
2025-05-10 14:04:18,0.009,3.75,17551360,13.08
2025-05-10 14:04:23,0.009,3.75,17551360,13.08
2025-05-10 14:04:29,0.009,3.75,17551360,13.08
2025-05-10 14:04:34,0.009,3.75,17551360,13.08
2025-05-10 14:04:39,0.009,3.75,17747968,13.22
2025-05-10 14:04:45,0.028,11.13,17747968,13.22
2025-05-10 14:04:50,0.028,11.13,17747968,13.22
2025-05-10 14:04:55,0.028,11.13,17747968,13.22
2025-05-10 14:05:00,0.028,11.13,17747968,13.22
2025-05-10 14:05:06,0.028,11.13,17747968,13.22
2025-05-10 14:05:11,0.033,13.19,17997824,13.41
2025-05-10 14:05:16,0.033,13.19,17997824,13.41
2025-05-10 14:05:21,0.033,13.19,17997824,13.41
2025-05-10 14:05:27,0.033,13.19,17997824,13.41
2025-05-10 14:05:32,0.033,13.19,17997824,13.41
2025-05-10 14:05:37,0.033,13.19,18460672,13.75
2025-05-10 14:05:42,0.059,23.62,18460672,13.75
2025-05-10 14:05:48,0.059,23.62,18460672,13.75
2025-05-10 14:05:53,0.059,23.62,18460672,13.75
2025-05-10 14:05:58,0.059,23.62,18460672,13.75
2025-05-10 14:06:03,0.059,23.62,18460672,13.75
2025-05-10 14:06:09,0.059,23.62,18493440,13.78
2025-05-10 14:06:14,0.038,15.06,18493440,13.78
2025-05-10 14:06:19,0.038,15.06,18493440,13.78
2025-05-10 14:06:25,0.038,15.06,18493440,13.78
2025-05-10 14:06:30,0.038,15.06,18493440,13.78
2025-05-10 14:06:35,0.038,15.06,18493440,13.78
2025-05-10 14:06:41,0.063,25.10,19062784,14.20
2025-05-10 14:06:46,0.063,25.10,19062784,14.20
2025-05-10 14:06:51,0.063,25.10,19062784,14.20
2025-05-10 14:06:56,0.063,25.10,19062784,14.20
2025-05-10 14:07:02,0.063,25.10,19062784,14.20
2025-05-10 14:07:07,0.063,25.10,18866176,14.06
2025-05-10 14:07:12,0.072,28.72,18866176,14.06
2025-05-10 14:07:17,0.072,28.72,18866176,14.06
2025-05-10 14:07:23,0.072,28.72,18866176,14.06
2025-05-10 14:07:28,0.072,28.72,18866176,14.06
2025-05-10 14:07:34,0.072,28.72,18866176,14.06
2025-05-10 14:07:39,0.072,28.72,18907136,14.09
2025-05-10 14:07:44,0.049,19.47,18907136,14.09
2025-05-10 14:07:49,0.049,19.47,18907136,14.09
2025-05-10 14:07:55,0.049,19.47,18907136,14.09
2025-05-10 14:08:00,0.049,19.47,18907136,14.09
2025-05-10 14:08:05,0.049,19.47,18907136,14.09
2025-05-10 14:08:11,0.038,15.10,19165184,14.28
2025-05-10 14:08:16,0.038,15.10,19165184,14.28
2025-05-10 14:08:21,0.038,15.10,19165184,14.28
2025-05-10 14:08:26,0.038,15.10,19165184,14.28
2025-05-10 14:08:31,0.038,15.10,19165184,14.28
2025-05-10 14:08:37,0.038,15.10,19267584,14.36
2025-05-10 14:08:42,0.036,14.21,19267584,14.36
2025-05-10 14:08:47,0.036,14.21,19267584,14.36
2025-05-10 14:08:52,0.036,14.21,19267584,14.36
2025-05-10 14:08:58,0.036,14.21,19267584,14.36
2025-05-10 14:09:03,0.036,14.21,19267584,14.36
2025-05-10 14:09:08,0.036,14.21,19509248,14.54
2025-05-10 14:09:14,0.041,16.24,19509248,14.54
2025-05-10 14:09:19,0.041,16.24,19509248,14.54
2025-05-10 14:09:24,0.041,16.24,19509248,14.54
2025-05-10 14:09:29,0.041,16.24,19509248,14.54
2025-05-10 14:09:35,0.041,16.24,19509248,14.54
2025-05-10 14:09:40,0.041,16.24,18780160,13.99
2025-05-10 14:09:45,0.020,7.94,18780160,13.99
2025-05-10 14:09:50,0.020,7.94,18780160,13.99
2025-05-10 14:09:56,0.020,7.94,18780160,13.99
2025-05-10 14:10:01,0.020,7.94,18780160,13.99
2025-05-10 14:10:06,0.020,7.94,18780160,13.99
2025-05-10 14:10:11,0.039,15.44,19603456,14.61
2025-05-10 14:10:17,0.039,15.44,19603456,14.61
2025-05-10 14:10:22,0.039,15.44,19603456,14.61
2025-05-10 14:10:27,0.039,15.44,19603456,14.61
2025-05-10 14:10:32,0.039,15.44,19603456,14.61
2025-05-10 14:10:38,0.039,15.44,19329024,14.40
2025-05-10 14:10:43,0.040,16.15,19329024,14.40
2025-05-10 14:10:48,0.040,16.15,19329024,14.40
2025-05-10 14:10:54,0.040,16.15,19329024,14.40
2025-05-10 14:10:59,0.040,16.15,19329024,14.40
2025-05-10 14:11:04,0.040,16.15,19329024,14.40
2025-05-10 14:11:10,0.040,16.15,19578880,14.59
2025-05-10 14:11:15,0.027,10.92,19578880,14.59
2025-05-10 14:11:20,0.027,10.92,19578880,14.59
2025-05-10 14:11:26,0.027,10.92,19578880,14.59
2025-05-10 14:11:31,0.027,10.92,19578880,14.59
