timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 00:54:14,0.012,4.73,11218944,8.36
2025-05-10 00:54:19,0.012,4.73,11218944,8.36
2025-05-10 00:54:24,0.012,4.73,11218944,8.36
2025-05-10 00:54:29,0.012,4.73,11218944,8.36
2025-05-10 00:54:35,0.012,4.73,11218944,8.36
2025-05-10 00:54:40,0.012,4.73,11218944,8.36
2025-05-10 00:54:45,0.022,8.73,11026432,8.22
2025-05-10 00:54:51,0.022,8.73,11026432,8.22
2025-05-10 00:54:56,0.022,8.73,11026432,8.22
2025-05-10 00:55:01,0.022,8.73,11026432,8.22
2025-05-10 00:55:07,0.022,8.73,11026432,8.22
2025-05-10 00:55:12,0.024,9.45,11026432,8.22
2025-05-10 00:55:17,0.024,9.45,11042816,8.23
2025-05-10 00:55:22,0.024,9.45,11042816,8.23
2025-05-10 00:55:28,0.024,9.45,11042816,8.23
2025-05-10 00:55:33,0.024,9.45,11042816,8.23
2025-05-10 00:55:38,0.024,9.45,11042816,8.23
2025-05-10 00:55:43,0.035,14.07,11096064,8.27
2025-05-10 00:55:49,0.035,14.07,11096064,8.27
2025-05-10 00:55:54,0.035,14.07,11096064,8.27
2025-05-10 00:55:59,0.035,14.07,11096064,8.27
2025-05-10 00:56:05,0.035,14.07,11096064,8.27
2025-05-10 00:56:10,0.035,14.07,11096064,8.27
2025-05-10 00:56:15,0.026,10.57,11190272,8.34
2025-05-10 00:56:21,0.026,10.57,11190272,8.34
2025-05-10 00:56:26,0.026,10.57,11190272,8.34
2025-05-10 00:56:31,0.026,10.57,11190272,8.34
2025-05-10 00:56:36,0.026,10.57,11190272,8.34
2025-05-10 00:56:42,0.034,13.60,11190272,8.34
2025-05-10 00:56:47,0.034,13.60,11456512,8.54
2025-05-10 00:56:52,0.034,13.60,11456512,8.54
2025-05-10 00:56:57,0.034,13.60,11456512,8.54
2025-05-10 00:57:03,0.034,13.60,11456512,8.54
2025-05-10 00:57:08,0.034,13.60,11456512,8.54
2025-05-10 00:57:13,0.033,13.31,11243520,8.38
2025-05-10 00:57:20,0.033,13.31,11243520,8.38
2025-05-10 00:57:25,0.033,13.31,11243520,8.38
2025-05-10 00:57:31,0.033,13.31,11243520,8.38
2025-05-10 00:57:36,0.033,13.31,11243520,8.38
2025-05-10 00:57:41,0.033,13.31,11243520,8.38
2025-05-10 00:57:46,0.021,8.55,11583488,8.63
2025-05-10 00:57:52,0.021,8.55,11583488,8.63
2025-05-10 00:57:57,0.021,8.55,11583488,8.63
2025-05-10 00:58:02,0.021,8.55,11583488,8.63
2025-05-10 00:58:08,0.021,8.55,11583488,8.63
2025-05-10 00:58:13,0.051,20.47,11907072,8.87
2025-05-10 00:58:18,0.051,20.47,11907072,8.87
2025-05-10 00:58:23,0.051,20.47,11907072,8.87
2025-05-10 00:58:29,0.051,20.47,11907072,8.87
2025-05-10 00:58:34,0.051,20.47,11907072,8.87
2025-05-10 00:58:39,0.051,20.47,11907072,8.87
2025-05-10 00:58:44,0.063,25.36,11411456,8.50
2025-05-10 00:58:50,0.063,25.36,11411456,8.50
2025-05-10 00:58:55,0.063,25.36,11411456,8.50
2025-05-10 00:59:00,0.063,25.36,11411456,8.50
2025-05-10 00:59:06,0.063,25.36,11411456,8.50
2025-05-10 00:59:11,0.063,25.36,11411456,8.50
2025-05-10 00:59:16,0.042,16.65,11694080,8.71
2025-05-10 00:59:21,0.042,16.65,11694080,8.71
2025-05-10 00:59:27,0.042,16.65,11694080,8.71
2025-05-10 00:59:32,0.042,16.65,11694080,8.71
2025-05-10 00:59:37,0.042,16.65,11694080,8.71
2025-05-10 00:59:43,0.046,18.40,11694080,8.71
2025-05-10 00:59:48,0.046,18.40,11976704,8.92
2025-05-10 00:59:53,0.046,18.40,11976704,8.92
2025-05-10 00:59:58,0.046,18.40,11976704,8.92
2025-05-10 01:00:04,0.046,18.40,11976704,8.92
2025-05-10 01:00:09,0.046,18.40,11976704,8.92
2025-05-10 01:00:15,0.044,17.75,11886592,8.86
2025-05-10 01:00:20,0.044,17.75,11886592,8.86
2025-05-10 01:00:25,0.044,17.75,11886592,8.86
2025-05-10 01:00:30,0.044,17.75,11886592,8.86
2025-05-10 01:00:36,0.044,17.75,11886592,8.86
2025-05-10 01:00:41,0.044,17.75,11886592,8.86
2025-05-10 01:00:46,0.084,33.49,11898880,8.87
2025-05-10 01:00:51,0.084,33.49,11898880,8.87
2025-05-10 01:00:57,0.084,33.49,11898880,8.87
2025-05-10 01:01:02,0.084,33.49,11898880,8.87
2025-05-10 01:01:07,0.084,33.49,11898880,8.87
2025-05-10 01:01:12,0.057,22.74,11898880,8.87
2025-05-10 01:01:18,0.057,22.74,12152832,9.05
2025-05-10 01:01:23,0.057,22.74,12152832,9.05
2025-05-10 01:01:28,0.057,22.74,12152832,9.05
2025-05-10 01:01:33,0.057,22.74,12152832,9.05
2025-05-10 01:01:39,0.057,22.74,12152832,9.05
2025-05-10 01:01:44,0.097,38.68,12771328,9.52
2025-05-10 01:01:49,0.097,38.68,12771328,9.52
2025-05-10 01:01:54,0.097,38.68,12771328,9.52
2025-05-10 01:02:00,0.097,38.68,12771328,9.52
2025-05-10 01:02:05,0.097,38.68,12771328,9.52
2025-05-10 01:02:10,0.097,38.68,12771328,9.52
2025-05-10 01:02:15,0.134,53.62,13099008,9.76
2025-05-10 01:02:21,0.134,53.62,13099008,9.76
2025-05-10 01:02:26,0.134,53.62,13099008,9.76
2025-05-10 01:02:31,0.134,53.62,13099008,9.76
2025-05-10 01:02:36,0.134,53.62,13099008,9.76
2025-05-10 01:02:42,0.168,67.04,13099008,9.76
2025-05-10 01:02:47,0.168,67.04,13463552,10.03
2025-05-10 01:02:52,0.168,67.04,13463552,10.03
2025-05-10 01:02:58,0.168,67.04,13463552,10.03
2025-05-10 01:03:03,0.168,67.04,13463552,10.03
2025-05-10 01:03:08,0.168,67.04,13463552,10.03
2025-05-10 01:03:13,0.157,62.92,13283328,9.90
2025-05-10 01:03:19,0.157,62.92,13283328,9.90
2025-05-10 01:03:24,0.157,62.92,13283328,9.90
2025-05-10 01:03:29,0.157,62.92,13283328,9.90
2025-05-10 01:03:34,0.157,62.92,13283328,9.90
2025-05-10 01:03:40,0.157,62.92,13283328,9.90
2025-05-10 01:03:45,0.179,71.52,13258752,9.88
2025-05-10 01:03:50,0.179,71.52,13258752,9.88
2025-05-10 01:03:56,0.179,71.52,13258752,9.88
2025-05-10 01:04:01,0.179,71.52,13258752,9.88
2025-05-10 01:04:06,0.179,71.52,13258752,9.88
2025-05-10 01:04:11,0.179,71.52,13258752,9.88
2025-05-10 01:04:17,0.208,83.07,13377536,9.97
2025-05-10 01:04:22,0.208,83.07,13377536,9.97
2025-05-10 01:04:27,0.208,83.07,13377536,9.97
2025-05-10 01:04:32,0.208,83.07,13377536,9.97
2025-05-10 01:04:37,0.208,83.07,13377536,9.97
2025-05-10 01:04:43,0.198,79.16,13459456,10.03
2025-05-10 01:04:48,0.198,79.16,13459456,10.03
2025-05-10 01:04:53,0.198,79.16,13459456,10.03
2025-05-10 01:04:58,0.198,79.16,13459456,10.03
2025-05-10 01:05:04,0.198,79.16,13459456,10.03
2025-05-10 01:05:09,0.198,79.16,13459456,10.03
2025-05-10 01:05:14,0.134,53.75,13774848,10.26
2025-05-10 01:05:19,0.134,53.75,13774848,10.26
2025-05-10 01:05:25,0.134,53.75,13774848,10.26
2025-05-10 01:05:30,0.134,53.75,13774848,10.26
2025-05-10 01:05:35,0.134,53.75,13774848,10.26
2025-05-10 01:05:40,0.134,53.75,13774848,10.26
2025-05-10 01:05:46,0.085,34.14,13811712,10.29
2025-05-10 01:05:51,0.085,34.14,13811712,10.29
2025-05-10 01:05:56,0.085,34.14,13811712,10.29
2025-05-10 01:06:01,0.085,34.14,13811712,10.29
2025-05-10 01:06:07,0.085,34.14,13811712,10.29
2025-05-10 01:06:12,0.136,54.21,13811712,10.29
2025-05-10 01:06:17,0.136,54.21,13627392,10.15
2025-05-10 01:06:22,0.136,54.21,13627392,10.15
2025-05-10 01:06:28,0.136,54.21,13627392,10.15
2025-05-10 01:06:33,0.136,54.21,13627392,10.15
2025-05-10 01:06:38,0.136,54.21,13627392,10.15
2025-05-10 01:06:43,0.098,39.39,13598720,10.13
2025-05-10 01:06:49,0.098,39.39,13598720,10.13
2025-05-10 01:06:54,0.098,39.39,13598720,10.13
2025-05-10 01:06:59,0.098,39.39,13598720,10.13
2025-05-10 01:07:04,0.098,39.39,13598720,10.13
2025-05-10 01:07:10,0.098,39.39,13598720,10.13
2025-05-10 01:07:15,0.107,42.67,13860864,10.33
2025-05-10 01:07:20,0.107,42.67,13860864,10.33
2025-05-10 01:07:25,0.107,42.67,13860864,10.33
2025-05-10 01:07:30,0.107,42.67,13860864,10.33
2025-05-10 01:07:36,0.107,42.67,13860864,10.33
2025-05-10 01:07:41,0.107,42.67,13860864,10.33
2025-05-10 01:07:46,0.040,15.86,13901824,10.36
