timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 01:38:45,0.020,7.90,11227136,8.36
2025-05-11 01:38:50,0.020,7.90,11227136,8.36
2025-05-11 01:38:56,0.020,7.90,11870208,8.84
2025-05-11 01:39:01,0.020,7.90,11870208,8.84
2025-05-11 01:39:06,0.020,7.90,11870208,8.84
2025-05-11 01:39:11,0.095,37.82,11870208,8.84
2025-05-11 01:39:17,0.095,37.82,11870208,8.84
2025-05-11 01:39:22,0.095,37.82,11870208,8.84
2025-05-11 01:39:27,0.095,37.82,11681792,8.70
2025-05-11 01:39:32,0.095,37.82,11681792,8.70
2025-05-11 01:39:37,0.095,37.82,11681792,8.70
2025-05-11 01:39:43,0.040,15.89,11681792,8.70
2025-05-11 01:39:48,0.040,15.89,11681792,8.70
2025-05-11 01:39:53,0.040,15.89,11796480,8.79
2025-05-11 01:39:58,0.040,15.89,11796480,8.79
2025-05-11 01:40:04,0.040,15.89,11796480,8.79
2025-05-11 01:40:09,0.040,15.89,11796480,8.79
2025-05-11 01:40:14,0.076,30.35,11796480,8.79
2025-05-11 01:40:19,0.076,30.35,11796480,8.79
2025-05-11 01:40:25,0.076,30.35,11935744,8.89
2025-05-11 01:40:30,0.076,30.35,11935744,8.89
2025-05-11 01:40:35,0.076,30.35,11935744,8.89
2025-05-11 01:40:40,0.070,27.96,11935744,8.89
2025-05-11 01:40:45,0.070,27.96,11935744,8.89
2025-05-11 01:40:51,0.070,27.96,11935744,8.89
2025-05-11 01:40:56,0.070,27.96,12263424,9.14
2025-05-11 01:41:01,0.070,27.96,12263424,9.14
2025-05-11 01:41:06,0.070,27.96,12263424,9.14
2025-05-11 01:41:11,0.076,30.45,12263424,9.14
2025-05-11 01:41:17,0.076,30.45,12263424,9.14
2025-05-11 01:41:22,0.076,30.45,12320768,9.18
2025-05-11 01:41:27,0.076,30.45,12320768,9.18
2025-05-11 01:41:32,0.076,30.45,12320768,9.18
2025-05-11 01:41:38,0.076,30.45,12320768,9.18
2025-05-11 01:41:43,0.100,39.92,12320768,9.18
2025-05-11 01:41:48,0.100,39.92,12320768,9.18
2025-05-11 01:41:53,0.100,39.92,12120064,9.03
2025-05-11 01:41:58,0.100,39.92,12120064,9.03
2025-05-11 01:42:04,0.100,39.92,12120064,9.03
2025-05-11 01:42:09,0.100,39.92,12120064,9.03
2025-05-11 01:42:14,0.084,33.76,12120064,9.03
2025-05-11 01:42:19,0.084,33.76,12120064,9.03
2025-05-11 01:42:25,0.084,33.76,12681216,9.45
2025-05-11 01:42:30,0.084,33.76,12681216,9.45
2025-05-11 01:42:35,0.084,33.76,12681216,9.45
2025-05-11 01:42:40,0.064,25.41,12681216,9.45
2025-05-11 01:42:45,0.064,25.41,12681216,9.45
2025-05-11 01:42:51,0.064,25.41,12681216,9.45
2025-05-11 01:42:56,0.064,25.41,12189696,9.08
2025-05-11 01:43:01,0.064,25.41,12189696,9.08
2025-05-11 01:43:06,0.064,25.41,12189696,9.08
2025-05-11 01:43:12,0.076,30.37,12189696,9.08
2025-05-11 01:43:17,0.076,30.37,12189696,9.08
2025-05-11 01:43:22,0.076,30.37,12226560,9.11
2025-05-11 01:43:27,0.076,30.37,12226560,9.11
2025-05-11 01:43:33,0.076,30.37,12226560,9.11
2025-05-11 01:43:38,0.076,30.37,12226560,9.11
2025-05-11 01:43:43,0.065,26.03,12226560,9.11
2025-05-11 01:43:48,0.065,26.03,12226560,9.11
2025-05-11 01:43:53,0.065,26.03,12247040,9.12
