timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 04:08:14,0.017,6.94,11239424,8.37
2025-05-11 04:08:19,0.017,6.94,11239424,8.37
2025-05-11 04:08:24,0.017,6.94,11419648,8.51
2025-05-11 04:08:29,0.017,6.94,11419648,8.51
2025-05-11 04:08:35,0.017,6.94,11419648,8.51
2025-05-11 04:08:40,0.017,6.94,11419648,8.51
2025-05-11 04:08:45,0.038,15.01,11419648,8.51
2025-05-11 04:08:50,0.038,15.01,11419648,8.51
2025-05-11 04:08:55,0.038,15.01,11530240,8.59
2025-05-11 04:09:01,0.038,15.01,11530240,8.59
2025-05-11 04:09:06,0.038,15.01,11530240,8.59
2025-05-11 04:09:11,0.050,20.06,11530240,8.59
2025-05-11 04:09:16,0.050,20.06,11530240,8.59
2025-05-11 04:09:22,0.050,20.06,11530240,8.59
2025-05-11 04:09:27,0.050,20.06,11853824,8.83
2025-05-11 04:09:32,0.050,20.06,11853824,8.83
2025-05-11 04:09:37,0.050,20.06,11853824,8.83
2025-05-11 04:09:42,0.050,20.20,11853824,8.83
2025-05-11 04:09:48,0.050,20.20,11853824,8.83
2025-05-11 04:09:53,0.050,20.20,11948032,8.90
2025-05-11 04:09:58,0.050,20.20,11948032,8.90
2025-05-11 04:10:03,0.050,20.20,11948032,8.90
2025-05-11 04:10:08,0.050,20.20,11948032,8.90
2025-05-11 04:10:14,0.092,36.64,11948032,8.90
2025-05-11 04:10:19,0.092,36.64,11948032,8.90
2025-05-11 04:10:24,0.092,36.64,12062720,8.99
2025-05-11 04:10:29,0.092,36.64,12062720,8.99
2025-05-11 04:10:35,0.092,36.64,12062720,8.99
2025-05-11 04:10:40,0.092,36.64,12062720,8.99
2025-05-11 04:10:45,0.097,38.76,12062720,8.99
2025-05-11 04:10:50,0.097,38.76,12062720,8.99
2025-05-11 04:10:55,0.097,38.76,12578816,9.37
2025-05-11 04:11:01,0.097,38.76,12578816,9.37
2025-05-11 04:11:06,0.097,38.76,12578816,9.37
2025-05-11 04:11:11,0.097,38.74,12578816,9.37
2025-05-11 04:11:16,0.097,38.74,12578816,9.37
2025-05-11 04:11:21,0.097,38.74,12578816,9.37
2025-05-11 04:11:27,0.097,38.74,12394496,9.23
2025-05-11 04:11:32,0.097,38.74,12394496,9.23
2025-05-11 04:11:37,0.097,38.74,12394496,9.23
2025-05-11 04:11:42,0.087,34.74,12394496,9.23
2025-05-11 04:11:48,0.087,34.74,12394496,9.23
2025-05-11 04:11:53,0.087,34.74,12668928,9.44
2025-05-11 04:11:58,0.087,34.74,12668928,9.44
2025-05-11 04:12:03,0.087,34.74,12668928,9.44
2025-05-11 04:12:08,0.087,34.74,12668928,9.44
2025-05-11 04:12:14,0.082,32.92,12668928,9.44
2025-05-11 04:12:19,0.082,32.92,12668928,9.44
2025-05-11 04:12:24,0.082,32.92,12451840,9.28
2025-05-11 04:12:29,0.082,32.92,12451840,9.28
2025-05-11 04:12:34,0.082,32.92,12451840,9.28
2025-05-11 04:12:40,0.082,32.92,12451840,9.28
2025-05-11 04:12:45,0.085,34.17,12451840,9.28
2025-05-11 04:12:50,0.085,34.17,12451840,9.28
2025-05-11 04:12:55,0.085,34.17,12746752,9.50
2025-05-11 04:13:00,0.085,34.17,12746752,9.50
2025-05-11 04:13:06,0.085,34.17,12746752,9.50
2025-05-11 04:13:11,0.060,23.97,12746752,9.50
2025-05-11 04:13:16,0.060,23.97,12746752,9.50
2025-05-11 04:13:21,0.060,23.97,12746752,9.50
2025-05-11 04:13:26,0.060,23.97,12533760,9.34
2025-05-11 04:13:32,0.060,23.97,12533760,9.34
2025-05-11 04:13:37,0.060,23.97,12533760,9.34
2025-05-11 04:13:42,0.078,31.32,12533760,9.34
2025-05-11 04:13:47,0.078,31.32,12533760,9.34
2025-05-11 04:13:53,0.078,31.32,12546048,9.35
2025-05-11 04:13:58,0.078,31.32,12546048,9.35
2025-05-11 04:14:03,0.078,31.32,12546048,9.35
2025-05-11 04:14:08,0.078,31.32,12546048,9.35
2025-05-11 04:14:13,0.025,9.90,12546048,9.35
2025-05-11 04:14:19,0.025,9.90,12546048,9.35
2025-05-11 04:14:24,0.025,9.90,12591104,9.38
2025-05-11 04:14:29,0.025,9.90,12591104,9.38
2025-05-11 04:14:34,0.025,9.90,12591104,9.38
2025-05-11 04:14:40,0.025,9.90,12591104,9.38
2025-05-11 04:14:45,0.058,23.26,12591104,9.38
2025-05-11 04:14:50,0.058,23.26,12591104,9.38
2025-05-11 04:14:55,0.058,23.26,12705792,9.47
2025-05-11 04:15:00,0.058,23.26,12705792,9.47
2025-05-11 04:15:06,0.058,23.26,12705792,9.47
2025-05-11 04:15:11,0.078,31.00,12705792,9.47
2025-05-11 04:15:16,0.078,31.00,12705792,9.47
2025-05-11 04:15:21,0.078,31.00,12705792,9.47
2025-05-11 04:15:26,0.078,31.00,12779520,9.52
2025-05-11 04:15:32,0.078,31.00,12779520,9.52
2025-05-11 04:15:37,0.078,31.00,12779520,9.52
2025-05-11 04:15:42,0.067,26.91,12779520,9.52
2025-05-11 04:15:47,0.067,26.91,12779520,9.52
