timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 10:00:17,0.009,3.70,11005952,8.20
2025-05-11 10:00:22,0.009,3.70,11005952,8.20
2025-05-11 10:00:27,0.009,3.70,11005952,8.20
2025-05-11 10:00:32,0.009,3.70,11005952,8.20
2025-05-11 10:00:37,0.009,3.70,11276288,8.40
2025-05-11 10:00:43,0.023,9.04,11276288,8.40
2025-05-11 10:00:48,0.023,9.04,11276288,8.40
2025-05-11 10:00:53,0.023,9.04,11276288,8.40
2025-05-11 10:00:58,0.023,9.04,11276288,8.40
2025-05-11 10:01:04,0.023,9.04,11276288,8.40
2025-05-11 10:01:09,0.023,9.04,11333632,8.44
2025-05-11 10:01:14,0.041,16.46,11333632,8.44
2025-05-11 10:01:19,0.041,16.46,11333632,8.44
2025-05-11 10:01:25,0.041,16.46,11333632,8.44
2025-05-11 10:01:30,0.041,16.46,11333632,8.44
2025-05-11 10:01:35,0.041,16.46,11423744,8.51
2025-05-11 10:01:40,0.041,16.46,11423744,8.51
2025-05-11 10:01:46,0.055,22.08,11423744,8.51
2025-05-11 10:01:51,0.055,22.08,11423744,8.51
2025-05-11 10:01:56,0.055,22.08,11423744,8.51
2025-05-11 10:02:01,0.055,22.08,11423744,8.51
2025-05-11 10:02:06,0.055,22.08,11468800,8.54
2025-05-11 10:02:12,0.055,22.08,11468800,8.54
2025-05-11 10:02:17,0.031,12.32,11468800,8.54
2025-05-11 10:02:22,0.031,12.32,11468800,8.54
2025-05-11 10:02:27,0.031,12.32,11468800,8.54
2025-05-11 10:02:33,0.031,12.32,11468800,8.54
2025-05-11 10:02:38,0.031,12.32,11542528,8.60
2025-05-11 10:02:43,0.062,24.68,11542528,8.60
2025-05-11 10:02:48,0.062,24.68,11542528,8.60
2025-05-11 10:02:53,0.062,24.68,11542528,8.60
2025-05-11 10:02:59,0.062,24.68,11542528,8.60
2025-05-11 10:03:04,0.062,24.68,11542528,8.60
2025-05-11 10:03:09,0.062,24.68,11636736,8.67
2025-05-11 10:03:14,0.051,20.34,11636736,8.67
2025-05-11 10:03:19,0.051,20.34,11636736,8.67
2025-05-11 10:03:25,0.051,20.34,11636736,8.67
2025-05-11 10:03:30,0.051,20.34,11636736,8.67
2025-05-11 10:03:35,0.051,20.34,11620352,8.66
2025-05-11 10:03:40,0.051,20.34,11620352,8.66
2025-05-11 10:03:46,0.057,22.97,11620352,8.66
2025-05-11 10:03:51,0.057,22.97,11620352,8.66
2025-05-11 10:03:56,0.057,22.97,11620352,8.66
2025-05-11 10:04:01,0.057,22.97,11620352,8.66
2025-05-11 10:04:06,0.057,22.97,11673600,8.70
2025-05-11 10:04:12,0.057,22.97,11673600,8.70
2025-05-11 10:04:17,0.052,20.86,11673600,8.70
2025-05-11 10:04:22,0.052,20.86,11673600,8.70
2025-05-11 10:04:27,0.052,20.86,11673600,8.70
2025-05-11 10:04:33,0.052,20.86,11673600,8.70
