timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 00:41:14,2.392,74.75,410845184,76.53
2025-05-09 00:41:19,2.392,74.75,410845184,76.53
2025-05-09 00:41:24,2.392,74.75,410845184,76.53
2025-05-09 00:41:29,2.392,74.75,410845184,76.53
2025-05-09 00:41:35,2.392,74.75,434769920,80.98
2025-05-09 00:41:40,2.392,74.75,434769920,80.98
2025-05-09 00:41:45,1.719,53.71,434769920,80.98
2025-05-09 00:41:51,1.719,53.71,434769920,80.98
2025-05-09 00:41:56,1.719,53.71,434769920,80.98
2025-05-09 00:42:01,1.719,53.71,343707648,64.02
2025-05-09 00:42:07,1.719,53.71,343707648,64.02
2025-05-09 00:42:12,1.719,53.71,343707648,64.02
2025-05-09 00:42:17,2.064,64.50,343707648,64.02
2025-05-09 00:42:22,2.064,64.50,343707648,64.02
2025-05-09 00:42:28,2.064,64.50,343707648,64.02
2025-05-09 00:42:33,2.064,64.50,438460416,81.67
2025-05-09 00:42:38,2.064,64.50,438460416,81.67
2025-05-09 00:42:44,2.362,73.80,438460416,81.67
2025-05-09 00:42:49,2.362,73.80,438460416,81.67
2025-05-09 00:42:54,2.362,73.80,438460416,81.67
2025-05-09 00:42:59,2.362,73.80,438460416,81.67
2025-05-09 00:43:05,2.362,73.80,293330944,54.64
2025-05-09 00:43:10,2.362,73.80,293330944,54.64
2025-05-09 00:43:15,1.766,55.18,293330944,54.64
2025-05-09 00:43:21,1.766,55.18,293330944,54.64
2025-05-09 00:43:26,1.766,55.18,293330944,54.64
2025-05-09 00:43:31,1.766,55.18,422801408,78.75
2025-05-09 00:43:36,1.766,55.18,422801408,78.75
2025-05-09 00:43:42,1.766,55.18,422801408,78.75
2025-05-09 00:43:47,1.832,57.24,422801408,78.75
2025-05-09 00:43:52,1.832,57.24,422801408,78.75
2025-05-09 00:43:57,1.832,57.24,422801408,78.75
2025-05-09 00:44:03,1.832,57.24,419876864,78.21
2025-05-09 00:44:08,1.832,57.24,419876864,78.21
2025-05-09 00:44:13,1.514,47.31,419876864,78.21
2025-05-09 00:44:19,1.514,47.31,419876864,78.21
2025-05-09 00:44:24,1.514,47.31,419876864,78.21
2025-05-09 00:44:29,1.514,47.31,419876864,78.21
2025-05-09 00:44:35,1.514,47.31,299790336,55.84
2025-05-09 00:44:40,1.514,47.31,299790336,55.84
2025-05-09 00:44:46,1.387,43.35,299790336,55.84
2025-05-09 00:44:51,1.387,43.35,299790336,55.84
