timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 00:24:14,2.091,65.35,423890944,78.96
2025-05-10 00:24:19,2.091,65.35,423890944,78.96
2025-05-10 00:24:24,2.091,65.35,423890944,78.96
2025-05-10 00:24:29,2.091,65.35,423890944,78.96
2025-05-10 00:24:35,2.091,65.35,423890944,78.96
2025-05-10 00:24:40,2.091,65.35,30457856,5.67
2025-05-10 00:24:45,1.893,59.16,30457856,5.67
2025-05-10 00:24:51,1.893,59.16,30457856,5.67
2025-05-10 00:24:56,1.893,59.16,30457856,5.67
2025-05-10 00:25:01,1.893,59.16,30457856,5.67
2025-05-10 00:25:06,1.893,59.16,400064512,74.52
2025-05-10 00:25:11,1.893,59.16,400064512,74.52
2025-05-10 00:25:17,1.975,61.71,400064512,74.52
2025-05-10 00:25:22,1.975,61.71,400064512,74.52
2025-05-10 00:25:27,1.975,61.71,400064512,74.52
2025-05-10 00:25:33,1.975,61.71,400064512,74.52
2025-05-10 00:25:38,1.975,61.71,437948416,81.57
2025-05-10 00:25:43,2.301,71.91,437948416,81.57
2025-05-10 00:25:49,2.301,71.91,437948416,81.57
2025-05-10 00:25:54,2.301,71.91,437948416,81.57
2025-05-10 00:25:59,2.301,71.91,437948416,81.57
2025-05-10 00:26:04,2.301,71.91,437948416,81.57
2025-05-10 00:26:10,2.301,71.91,365244416,68.03
2025-05-10 00:26:15,1.905,59.52,365244416,68.03
2025-05-10 00:26:20,1.905,59.52,365244416,68.03
2025-05-10 00:26:25,1.905,59.52,365244416,68.03
2025-05-10 00:26:31,1.905,59.52,365244416,68.03
2025-05-10 00:26:36,1.905,59.52,429592576,80.02
2025-05-10 00:26:41,1.905,59.52,429592576,80.02
2025-05-10 00:26:46,1.862,58.17,429592576,80.02
2025-05-10 00:26:52,1.862,58.17,429592576,80.02
2025-05-10 00:26:57,1.862,58.17,429592576,80.02
2025-05-10 00:27:02,1.862,58.17,429592576,80.02
2025-05-10 00:27:08,1.862,58.17,434618368,80.95
2025-05-10 00:27:13,0.773,24.15,434618368,80.95
2025-05-10 00:27:18,0.773,24.15,434618368,80.95
2025-05-10 00:27:24,0.773,24.15,434618368,80.95
2025-05-10 00:27:29,0.773,24.15,434618368,80.95
2025-05-10 00:27:34,0.773,24.15,434618368,80.95
2025-05-10 00:27:40,0.773,24.15,405258240,75.49
2025-05-10 00:27:45,2.802,87.57,405258240,75.49
2025-05-10 00:27:50,2.802,87.57,405258240,75.49
2025-05-10 00:27:55,2.802,87.57,405258240,75.49
2025-05-10 00:28:01,2.802,87.57,405258240,75.49
2025-05-10 00:28:06,2.802,87.57,405258240,75.49
2025-05-10 00:28:11,2.802,87.57,425660416,79.29
2025-05-10 00:28:16,1.100,34.39,425660416,79.29
2025-05-10 00:28:22,1.100,34.39,425660416,79.29
2025-05-10 00:28:27,1.100,34.39,425660416,79.29
2025-05-10 00:28:32,1.100,34.39,425660416,79.29
2025-05-10 00:28:37,1.100,34.39,292704256,54.52
2025-05-10 00:28:43,1.953,61.03,292704256,54.52
2025-05-10 00:28:48,1.953,61.03,292704256,54.52
2025-05-10 00:28:53,1.953,61.03,292704256,54.52
2025-05-10 00:28:58,1.953,61.03,292704256,54.52
2025-05-10 00:29:04,1.953,61.03,292704256,54.52
2025-05-10 00:29:09,1.953,61.03,384024576,71.53
2025-05-10 00:29:14,2.224,69.50,384024576,71.53
2025-05-10 00:29:19,2.224,69.50,384024576,71.53
2025-05-10 00:29:25,2.224,69.50,384024576,71.53
2025-05-10 00:29:30,2.224,69.50,384024576,71.53
2025-05-10 00:29:35,2.224,69.50,384024576,71.53
2025-05-10 00:29:40,2.224,69.50,30466048,5.67
2025-05-10 00:29:46,1.447,45.23,30466048,5.67
2025-05-10 00:29:51,1.447,45.23,30466048,5.67
2025-05-10 00:29:56,1.447,45.23,30466048,5.67
2025-05-10 00:30:01,1.447,45.23,30466048,5.67
2025-05-10 00:30:07,1.447,45.23,403718144,75.20
2025-05-10 00:30:12,2.095,65.45,403718144,75.20
2025-05-10 00:30:17,2.095,65.45,403718144,75.20
2025-05-10 00:30:22,2.095,65.45,403718144,75.20
2025-05-10 00:30:28,2.095,65.45,403718144,75.20
2025-05-10 00:30:33,2.095,65.45,403718144,75.20
2025-05-10 00:30:38,2.095,65.45,422768640,78.75
2025-05-10 00:30:44,1.938,60.55,422768640,78.75
2025-05-10 00:30:49,1.938,60.55,422768640,78.75
2025-05-10 00:30:54,1.938,60.55,422768640,78.75
2025-05-10 00:31:00,1.938,60.55,422768640,78.75
2025-05-10 00:31:05,1.938,60.55,422768640,78.75
2025-05-10 00:31:10,1.938,60.55,213835776,39.83
2025-05-10 00:31:16,1.522,47.56,213835776,39.83
2025-05-10 00:31:21,1.522,47.56,213835776,39.83
2025-05-10 00:31:26,1.522,47.56,213835776,39.83
2025-05-10 00:31:31,1.522,47.56,213835776,39.83
2025-05-10 00:31:37,1.522,47.56,332263424,61.89
2025-05-10 00:31:42,2.456,76.76,332263424,61.89
2025-05-10 00:31:47,2.456,76.76,332263424,61.89
2025-05-10 00:31:53,2.456,76.76,332263424,61.89
2025-05-10 00:31:58,2.456,76.76,332263424,61.89
2025-05-10 00:32:03,2.456,76.76,332263424,61.89
2025-05-10 00:32:08,2.456,76.76,147853312,27.54
2025-05-10 00:32:14,1.755,54.83,147853312,27.54
2025-05-10 00:32:19,1.755,54.83,147853312,27.54
2025-05-10 00:32:24,1.755,54.83,147853312,27.54
2025-05-10 00:32:29,1.755,54.83,147853312,27.54
2025-05-10 00:32:35,1.755,54.83,147853312,27.54
2025-05-10 00:32:40,1.755,54.83,345214976,64.30
2025-05-10 00:32:45,2.092,65.37,345214976,64.30
2025-05-10 00:32:51,2.092,65.37,345214976,64.30
2025-05-10 00:32:56,2.092,65.37,345214976,64.30
2025-05-10 00:33:01,2.092,65.37,345214976,64.30
2025-05-10 00:33:07,2.092,65.37,360710144,67.19
2025-05-10 00:33:12,1.991,62.21,360710144,67.19
2025-05-10 00:33:17,1.991,62.21,360710144,67.19
2025-05-10 00:33:23,1.991,62.21,360710144,67.19
2025-05-10 00:33:28,1.991,62.21,360710144,67.19
2025-05-10 00:33:33,1.991,62.21,360710144,67.19
2025-05-10 00:33:39,1.991,62.21,310267904,57.79
2025-05-10 00:33:44,1.922,60.06,310267904,57.79
2025-05-10 00:33:49,1.922,60.06,310267904,57.79
2025-05-10 00:33:55,1.922,60.06,310267904,57.79
2025-05-10 00:34:00,1.922,60.06,310267904,57.79
2025-05-10 00:34:05,1.922,60.06,310267904,57.79
2025-05-10 00:34:11,1.922,60.06,416403456,77.56
2025-05-10 00:34:16,1.599,49.97,416403456,77.56
2025-05-10 00:34:21,1.599,49.97,416403456,77.56
2025-05-10 00:34:26,1.599,49.97,416403456,77.56
2025-05-10 00:34:32,1.599,49.97,416403456,77.56
2025-05-10 00:34:37,1.599,49.97,31006720,5.78
2025-05-10 00:34:42,1.400,43.75,31006720,5.78
2025-05-10 00:34:48,1.400,43.75,31006720,5.78
2025-05-10 00:34:53,1.400,43.75,31006720,5.78
2025-05-10 00:34:59,1.400,43.75,31006720,5.78
2025-05-10 00:35:04,1.400,43.75,31006720,5.78
2025-05-10 00:35:09,1.400,43.75,321540096,59.89
