timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:19:02,2.546,82.13,426319872,79.41
2025-05-14 15:19:07,2.546,82.13,436822016,81.36
2025-05-14 15:19:12,2.546,82.13,436822016,81.36
2025-05-14 15:19:18,2.546,82.13,436822016,81.36
2025-05-14 15:19:23,2.546,82.13,436822016,81.36
2025-05-14 15:19:28,1.074,34.64,436822016,81.36
2025-05-14 15:19:33,1.074,34.64,315539456,58.77
2025-05-14 15:19:39,1.074,34.64,315539456,58.77
2025-05-14 15:19:44,1.074,34.64,315539456,58.77
2025-05-14 15:19:49,1.074,34.64,315539456,58.77
2025-05-14 15:19:54,1.074,34.64,315539456,58.77
2025-05-14 15:19:59,2.417,77.97,315539456,58.77
2025-05-14 15:20:05,2.417,77.97,409939968,76.36
2025-05-14 15:20:10,2.417,77.97,409939968,76.36
2025-05-14 15:20:15,2.417,77.97,409939968,76.36
2025-05-14 15:20:20,2.417,77.97,409939968,76.36
2025-05-14 15:20:26,2.417,77.97,409939968,76.36
2025-05-14 15:20:31,1.008,32.52,409939968,76.36
2025-05-14 15:20:36,1.008,32.52,418131968,77.88
2025-05-14 15:20:42,1.008,32.52,418131968,77.88
2025-05-14 15:20:47,1.008,32.52,418131968,77.88
2025-05-14 15:20:52,1.008,32.52,418131968,77.88
2025-05-14 15:20:57,1.808,58.33,418131968,77.88
2025-05-14 15:21:03,1.808,58.33,418131968,77.88
2025-05-14 15:21:08,1.808,58.33,413921280,77.10
2025-05-14 15:21:13,1.808,58.33,413921280,77.10
2025-05-14 15:21:19,1.808,58.33,413921280,77.10
2025-05-14 15:21:24,1.808,58.33,413921280,77.10
2025-05-14 15:21:29,2.539,81.92,413921280,77.10
2025-05-14 15:21:35,2.539,81.92,413323264,76.99
2025-05-14 15:21:40,2.539,81.92,413323264,76.99
2025-05-14 15:21:45,2.539,81.92,413323264,76.99
2025-05-14 15:21:50,2.539,81.92,413323264,76.99
2025-05-14 15:21:56,2.539,81.92,413323264,76.99
2025-05-14 15:22:01,1.047,33.76,413323264,76.99
2025-05-14 15:22:06,1.047,33.76,315494400,58.77
2025-05-14 15:22:12,1.047,33.76,315494400,58.77
2025-05-14 15:22:17,1.047,33.76,315494400,58.77
2025-05-14 15:22:22,1.047,33.76,315494400,58.77
2025-05-14 15:22:27,2.178,70.26,315494400,58.77
2025-05-14 15:22:33,2.178,70.26,315494400,58.77
2025-05-14 15:22:38,2.178,70.26,417316864,77.73
