timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 00:29:15,1.889,59.03,410300416,76.42
2025-05-09 00:29:20,1.889,59.03,410300416,76.42
2025-05-09 00:29:26,1.889,59.03,410300416,76.42
2025-05-09 00:29:31,1.889,59.03,427401216,79.61
2025-05-09 00:29:36,1.889,59.03,427401216,79.61
2025-05-09 00:29:42,1.889,59.03,427401216,79.61
2025-05-09 00:29:47,2.058,64.30,427401216,79.61
2025-05-09 00:29:52,2.058,64.30,427401216,79.61
2025-05-09 00:29:57,2.058,64.30,427401216,79.61
2025-05-09 00:30:03,2.058,64.30,317440000,59.13
2025-05-09 00:30:08,2.058,64.30,317440000,59.13
2025-05-09 00:30:13,1.692,52.89,317440000,59.13
2025-05-09 00:30:18,1.692,52.89,317440000,59.13
2025-05-09 00:30:24,1.692,52.89,317440000,59.13
2025-05-09 00:30:29,1.692,52.89,317440000,59.13
2025-05-09 00:30:34,1.692,52.89,420122624,78.25
2025-05-09 00:30:40,1.692,52.89,420122624,78.25
2025-05-09 00:30:45,2.192,68.50,420122624,78.25
2025-05-09 00:30:50,2.192,68.50,420122624,78.25
2025-05-09 00:30:55,2.192,68.50,420122624,78.25
2025-05-09 00:31:01,2.192,68.50,232841216,43.37
2025-05-09 00:31:06,2.192,68.50,232841216,43.37
2025-05-09 00:31:11,2.192,68.50,232841216,43.37
2025-05-09 00:31:17,1.615,50.48,232841216,43.37
2025-05-09 00:31:22,1.615,50.48,232841216,43.37
2025-05-09 00:31:27,1.615,50.48,232841216,43.37
2025-05-09 00:31:32,1.615,50.48,424091648,78.99
2025-05-09 00:31:38,1.615,50.48,424091648,78.99
2025-05-09 00:31:43,2.733,85.41,424091648,78.99
2025-05-09 00:31:48,2.733,85.41,424091648,78.99
2025-05-09 00:31:54,2.733,85.41,424091648,78.99
2025-05-09 00:31:59,2.733,85.41,424091648,78.99
2025-05-09 00:32:04,2.733,85.41,133619712,24.89
2025-05-09 00:32:10,2.733,85.41,133619712,24.89
2025-05-09 00:32:15,1.569,49.04,133619712,24.89
2025-05-09 00:32:20,1.569,49.04,133619712,24.89
2025-05-09 00:32:26,1.569,49.04,133619712,24.89
2025-05-09 00:32:31,1.569,49.04,402866176,75.04
2025-05-09 00:32:36,1.569,49.04,402866176,75.04
2025-05-09 00:32:42,1.569,49.04,402866176,75.04
2025-05-09 00:32:47,2.202,68.80,402866176,75.04
2025-05-09 00:32:52,2.202,68.80,402866176,75.04
2025-05-09 00:32:58,2.202,68.80,402866176,75.04
2025-05-09 00:33:03,2.202,68.80,408039424,76.00
2025-05-09 00:33:08,2.202,68.80,408039424,76.00
2025-05-09 00:33:13,1.112,34.74,408039424,76.00
2025-05-09 00:33:19,1.112,34.74,408039424,76.00
2025-05-09 00:33:24,1.112,34.74,408039424,76.00
2025-05-09 00:33:29,1.112,34.74,408039424,76.00
2025-05-09 00:33:35,1.112,34.74,224301056,41.78
2025-05-09 00:33:40,1.112,34.74,224301056,41.78
2025-05-09 00:33:45,1.788,55.88,224301056,41.78
2025-05-09 00:33:51,1.788,55.88,224301056,41.78
2025-05-09 00:33:56,1.788,55.88,224301056,41.78
2025-05-09 00:34:01,1.788,55.88,365686784,68.11
2025-05-09 00:34:07,1.788,55.88,365686784,68.11
2025-05-09 00:34:12,1.788,55.88,365686784,68.11
2025-05-09 00:34:17,2.555,79.86,365686784,68.11
2025-05-09 00:34:23,2.555,79.86,365686784,68.11
2025-05-09 00:34:28,2.555,79.86,365686784,68.11
2025-05-09 00:34:33,2.555,79.86,126025728,23.47
