timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 13:22:40,1.612,50.38,323985408,60.35
2025-05-10 13:22:46,1.612,50.38,323985408,60.35
2025-05-10 13:22:51,1.612,50.38,323985408,60.35
2025-05-10 13:22:56,1.612,50.38,420491264,78.32
2025-05-10 13:23:01,1.612,50.38,420491264,78.32
2025-05-10 13:23:07,1.612,50.38,420491264,78.32
2025-05-10 13:23:12,1.583,49.47,420491264,78.32
2025-05-10 13:23:17,1.583,49.47,420491264,78.32
2025-05-10 13:23:23,1.583,49.47,171024384,31.86
2025-05-10 13:23:28,1.583,49.47,171024384,31.86
2025-05-10 13:23:33,1.583,49.47,171024384,31.86
2025-05-10 13:23:38,1.583,49.47,171024384,31.86
2025-05-10 13:23:44,1.662,51.94,171024384,31.86
2025-05-10 13:23:49,1.662,51.94,171024384,31.86
2025-05-10 13:23:54,1.662,51.94,345604096,64.37
2025-05-10 13:24:00,1.662,51.94,345604096,64.37
2025-05-10 13:24:05,1.662,51.94,345604096,64.37
2025-05-10 13:24:10,1.728,54.01,345604096,64.37
2025-05-10 13:24:16,1.728,54.01,345604096,64.37
2025-05-10 13:24:21,1.728,54.01,345604096,64.37
2025-05-10 13:24:26,1.728,54.01,452096000,84.21
2025-05-10 13:24:31,1.728,54.01,452096000,84.21
2025-05-10 13:24:37,1.728,54.01,452096000,84.21
2025-05-10 13:24:42,2.396,74.86,452096000,84.21
2025-05-10 13:24:47,2.396,74.86,452096000,84.21
2025-05-10 13:24:53,2.396,74.86,397082624,73.96
2025-05-10 13:24:58,2.396,74.86,397082624,73.96
2025-05-10 13:25:03,2.396,74.86,397082624,73.96
2025-05-10 13:25:09,2.396,74.86,397082624,73.96
2025-05-10 13:25:14,2.520,78.74,397082624,73.96
2025-05-10 13:25:19,2.520,78.74,397082624,73.96
2025-05-10 13:25:24,2.520,78.74,436154368,81.24
2025-05-10 13:25:30,2.520,78.74,436154368,81.24
2025-05-10 13:25:35,2.520,78.74,436154368,81.24
2025-05-10 13:25:40,1.088,34.01,436154368,81.24
2025-05-10 13:25:46,1.088,34.01,436154368,81.24
2025-05-10 13:25:51,1.088,34.01,436154368,81.24
2025-05-10 13:25:56,1.088,34.01,60825600,11.33
2025-05-10 13:26:01,1.088,34.01,60825600,11.33
2025-05-10 13:26:07,1.088,34.01,60825600,11.33
2025-05-10 13:26:12,1.440,45.01,60825600,11.33
2025-05-10 13:26:17,1.440,45.01,60825600,11.33
2025-05-10 13:26:23,1.440,45.01,358060032,66.69
2025-05-10 13:26:28,1.440,45.01,358060032,66.69
2025-05-10 13:26:33,1.440,45.01,358060032,66.69
2025-05-10 13:26:38,1.440,45.01,358060032,66.69
2025-05-10 13:26:44,2.297,71.78,358060032,66.69
2025-05-10 13:26:49,2.297,71.78,358060032,66.69
2025-05-10 13:26:54,2.297,71.78,387633152,72.20
2025-05-10 13:27:00,2.297,71.78,387633152,72.20
2025-05-10 13:27:05,2.297,71.78,387633152,72.20
2025-05-10 13:27:10,2.297,71.78,387633152,72.20
2025-05-10 13:27:15,1.831,57.23,387633152,72.20
2025-05-10 13:27:21,1.831,57.23,387633152,72.20
2025-05-10 13:27:26,1.831,57.23,244858880,45.61
2025-05-10 13:27:31,1.831,57.23,244858880,45.61
2025-05-10 13:27:37,1.831,57.23,244858880,45.61
2025-05-10 13:27:42,1.055,32.97,244858880,45.61
2025-05-10 13:27:47,1.055,32.97,244858880,45.61
2025-05-10 13:27:53,1.055,32.97,408678400,76.12
2025-05-10 13:27:58,1.055,32.97,408678400,76.12
2025-05-10 13:28:03,1.055,32.97,408678400,76.12
2025-05-10 13:28:09,1.055,32.97,408678400,76.12
2025-05-10 13:28:14,2.161,67.52,408678400,76.12
2025-05-10 13:28:19,2.161,67.52,408678400,76.12
2025-05-10 13:28:24,2.161,67.52,281866240,52.50
2025-05-10 13:28:30,2.161,67.52,281866240,52.50
2025-05-10 13:28:35,2.161,67.52,281866240,52.50
2025-05-10 13:28:40,2.161,67.52,281866240,52.50
2025-05-10 13:28:45,2.556,79.87,281866240,52.50
2025-05-10 13:28:51,2.556,79.87,281866240,52.50
2025-05-10 13:28:56,2.556,79.87,403079168,75.08
2025-05-10 13:29:01,2.556,79.87,403079168,75.08
2025-05-10 13:29:06,2.556,79.87,403079168,75.08
2025-05-10 13:29:12,1.352,42.25,403079168,75.08
2025-05-10 13:29:17,1.352,42.25,403079168,75.08
2025-05-10 13:29:22,1.352,42.25,411283456,76.61
2025-05-10 13:29:28,1.352,42.25,411283456,76.61
2025-05-10 13:29:33,1.352,42.25,411283456,76.61
2025-05-10 13:29:38,1.352,42.25,411283456,76.61
2025-05-10 13:29:43,1.929,60.27,411283456,76.61
2025-05-10 13:29:49,1.929,60.27,411283456,76.61
2025-05-10 13:29:54,1.929,60.27,374857728,69.82
2025-05-10 13:29:59,1.929,60.27,374857728,69.82
2025-05-10 13:30:05,1.929,60.27,374857728,69.82
2025-05-10 13:30:10,1.929,60.27,374857728,69.82
2025-05-10 13:30:15,2.167,67.70,374857728,69.82
2025-05-10 13:30:20,2.167,67.70,374857728,69.82
2025-05-10 13:30:26,2.167,67.70,406654976,75.75
2025-05-10 13:30:31,2.167,67.70,406654976,75.75
2025-05-10 13:30:36,2.167,67.70,406654976,75.75
2025-05-10 13:30:42,1.800,56.26,406654976,75.75
2025-05-10 13:30:47,1.800,56.26,406654976,75.75
2025-05-10 13:30:52,1.800,56.26,187617280,34.95
2025-05-10 13:30:57,1.800,56.26,187617280,34.95
2025-05-10 13:31:03,1.800,56.26,187617280,34.95
2025-05-10 13:31:08,1.800,56.26,187617280,34.95
2025-05-10 13:31:13,1.409,44.02,187617280,34.95
2025-05-10 13:31:19,1.409,44.02,187617280,34.95
2025-05-10 13:31:24,1.409,44.02,348106752,64.84
2025-05-10 13:31:29,1.409,44.02,348106752,64.84
2025-05-10 13:31:35,1.409,44.02,348106752,64.84
2025-05-10 13:31:40,1.409,44.02,348106752,64.84
2025-05-10 13:31:45,1.768,55.25,348106752,64.84
2025-05-10 13:31:50,1.768,55.25,348106752,64.84
2025-05-10 13:31:56,1.768,55.25,385585152,71.82
2025-05-10 13:32:01,1.768,55.25,385585152,71.82
2025-05-10 13:32:06,1.768,55.25,385585152,71.82
2025-05-10 13:32:12,1.887,58.98,385585152,71.82
2025-05-10 13:32:17,1.887,58.98,385585152,71.82
2025-05-10 13:32:22,1.887,58.98,286257152,53.32
2025-05-10 13:32:27,1.887,58.98,286257152,53.32
2025-05-10 13:32:33,1.887,58.98,286257152,53.32
2025-05-10 13:32:38,1.887,58.98,286257152,53.32
2025-05-10 13:32:43,1.804,56.37,286257152,53.32
2025-05-10 13:32:48,1.804,56.37,286257152,53.32
2025-05-10 13:32:53,1.804,56.37,414113792,77.13
2025-05-10 13:32:59,1.804,56.37,414113792,77.13
2025-05-10 13:33:04,1.804,56.37,414113792,77.13
2025-05-10 13:33:09,1.804,56.37,414113792,77.13
2025-05-10 13:33:14,2.539,79.35,414113792,77.13
2025-05-10 13:33:20,2.539,79.35,414113792,77.13
2025-05-10 13:33:25,2.539,79.35,417988608,77.86
2025-05-10 13:33:30,2.539,79.35,417988608,77.86
2025-05-10 13:33:35,2.539,79.35,417988608,77.86
2025-05-10 13:33:41,0.972,30.38,417988608,77.86
2025-05-10 13:33:46,0.972,30.38,417988608,77.86
2025-05-10 13:33:51,0.972,30.38,0,0.00
