timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 13:46:41,2.085,65.16,414461952,77.20
2025-05-10 13:46:46,2.085,65.16,414461952,77.20
2025-05-10 13:46:52,2.085,65.16,414461952,77.20
2025-05-10 13:46:57,2.085,65.16,414461952,77.20
2025-05-10 13:47:02,2.085,65.16,414461952,77.20
2025-05-10 13:47:07,2.085,65.16,424546304,79.08
2025-05-10 13:47:12,1.992,62.26,424546304,79.08
2025-05-10 13:47:18,1.992,62.26,424546304,79.08
2025-05-10 13:47:23,1.992,62.26,424546304,79.08
2025-05-10 13:47:28,1.992,62.26,424546304,79.08
2025-05-10 13:47:34,1.992,62.26,424546304,79.08
2025-05-10 13:47:39,1.992,62.26,184426496,34.35
2025-05-10 13:47:44,0.610,19.06,184426496,34.35
2025-05-10 13:47:49,0.610,19.06,184426496,34.35
2025-05-10 13:47:55,0.610,19.06,184426496,34.35
2025-05-10 13:48:00,0.610,19.06,184426496,34.35
2025-05-10 13:48:05,0.610,19.06,184426496,34.35
2025-05-10 13:48:10,2.966,92.67,423129088,78.81
2025-05-10 13:48:16,2.966,92.67,423129088,78.81
2025-05-10 13:48:21,2.966,92.67,423129088,78.81
2025-05-10 13:48:26,2.966,92.67,423129088,78.81
2025-05-10 13:48:31,2.966,92.67,423129088,78.81
2025-05-10 13:48:37,2.966,92.67,241504256,44.98
2025-05-10 13:48:42,1.867,58.36,241504256,44.98
2025-05-10 13:48:47,1.867,58.36,241504256,44.98
2025-05-10 13:48:53,1.867,58.36,241504256,44.98
2025-05-10 13:48:58,1.867,58.36,241504256,44.98
2025-05-10 13:49:03,1.867,58.36,241504256,44.98
2025-05-10 13:49:09,1.867,58.36,373198848,69.51
2025-05-10 13:49:14,1.297,40.55,373198848,69.51
2025-05-10 13:49:19,1.297,40.55,373198848,69.51
2025-05-10 13:49:25,1.297,40.55,373198848,69.51
2025-05-10 13:49:30,1.297,40.55,373198848,69.51
2025-05-10 13:49:35,1.297,40.55,373198848,69.51
2025-05-10 13:49:40,1.614,50.45,419524608,78.14
2025-05-10 13:49:46,1.614,50.45,419524608,78.14
2025-05-10 13:49:51,1.614,50.45,419524608,78.14
2025-05-10 13:49:57,1.614,50.45,419524608,78.14
2025-05-10 13:50:02,1.614,50.45,419524608,78.14
2025-05-10 13:50:07,1.614,50.45,355840000,66.28
2025-05-10 13:50:12,2.203,68.84,355840000,66.28
2025-05-10 13:50:18,2.203,68.84,355840000,66.28
2025-05-10 13:50:23,2.203,68.84,355840000,66.28
2025-05-10 13:50:29,2.203,68.84,355840000,66.28
2025-05-10 13:50:34,2.203,68.84,355840000,66.28
2025-05-10 13:50:39,2.203,68.84,405544960,75.54
2025-05-10 13:50:45,1.737,54.27,405544960,75.54
2025-05-10 13:50:50,1.737,54.27,405544960,75.54
2025-05-10 13:50:55,1.737,54.27,405544960,75.54
2025-05-10 13:51:00,1.737,54.27,405544960,75.54
2025-05-10 13:51:06,1.737,54.27,405544960,75.54
2025-05-10 13:51:11,1.786,55.80,218832896,40.76
2025-05-10 13:51:16,1.786,55.80,218832896,40.76
2025-05-10 13:51:21,1.786,55.80,218832896,40.76
2025-05-10 13:51:27,1.786,55.80,218832896,40.76
2025-05-10 13:51:32,1.786,55.80,218832896,40.76
2025-05-10 13:51:37,1.786,55.80,427491328,79.63
2025-05-10 13:51:42,2.049,64.02,427491328,79.63
2025-05-10 13:51:48,2.049,64.02,427491328,79.63
2025-05-10 13:51:53,2.049,64.02,427491328,79.63
2025-05-10 13:51:58,2.049,64.02,427491328,79.63
2025-05-10 13:52:04,2.049,64.02,427491328,79.63
2025-05-10 13:52:09,2.049,64.02,424775680,79.12
2025-05-10 13:52:14,1.855,57.97,424775680,79.12
2025-05-10 13:52:19,1.855,57.97,424775680,79.12
2025-05-10 13:52:25,1.855,57.97,424775680,79.12
2025-05-10 13:52:30,1.855,57.97,424775680,79.12
2025-05-10 13:52:35,1.855,57.97,424775680,79.12
2025-05-10 13:52:41,1.843,57.60,352497664,65.66
2025-05-10 13:52:46,1.843,57.60,352497664,65.66
2025-05-10 13:52:51,1.843,57.60,352497664,65.66
2025-05-10 13:52:56,1.843,57.60,352497664,65.66
2025-05-10 13:53:02,1.843,57.60,352497664,65.66
2025-05-10 13:53:07,1.843,57.60,403832832,75.22
2025-05-10 13:53:12,2.136,66.74,403832832,75.22
2025-05-10 13:53:18,2.136,66.74,403832832,75.22
2025-05-10 13:53:23,2.136,66.74,403832832,75.22
2025-05-10 13:53:28,2.136,66.74,403832832,75.22
2025-05-10 13:53:33,2.136,66.74,403832832,75.22
2025-05-10 13:53:39,2.136,66.74,31182848,5.81
2025-05-10 13:53:44,0.573,17.91,31182848,5.81
2025-05-10 13:53:49,0.573,17.91,31182848,5.81
2025-05-10 13:53:55,0.573,17.91,31182848,5.81
2025-05-10 13:54:00,0.573,17.91,31182848,5.81
2025-05-10 13:54:05,0.573,17.91,31182848,5.81
2025-05-10 13:54:11,2.579,80.60,426127360,79.37
2025-05-10 13:54:16,2.579,80.60,426127360,79.37
2025-05-10 13:54:21,2.579,80.60,426127360,79.37
2025-05-10 13:54:27,2.579,80.60,426127360,79.37
2025-05-10 13:54:32,2.579,80.60,426127360,79.37
2025-05-10 13:54:37,2.579,80.60,434180096,80.87
2025-05-10 13:54:42,1.799,56.21,434180096,80.87
2025-05-10 13:54:48,1.799,56.21,434180096,80.87
2025-05-10 13:54:53,1.799,56.21,434180096,80.87
2025-05-10 13:54:58,1.799,56.21,434180096,80.87
2025-05-10 13:55:04,1.799,56.21,434180096,80.87
2025-05-10 13:55:09,1.799,56.21,326782976,60.87
2025-05-10 13:55:14,1.836,57.36,326782976,60.87
2025-05-10 13:55:20,1.836,57.36,326782976,60.87
2025-05-10 13:55:25,1.836,57.36,326782976,60.87
2025-05-10 13:55:31,1.836,57.36,326782976,60.87
2025-05-10 13:55:36,1.836,57.36,326782976,60.87
2025-05-10 13:55:41,1.881,58.78,421998592,78.60
2025-05-10 13:55:46,1.881,58.78,421998592,78.60
2025-05-10 13:55:52,1.881,58.78,421998592,78.60
2025-05-10 13:55:57,1.881,58.78,421998592,78.60
2025-05-10 13:56:02,1.881,58.78,421998592,78.60
2025-05-10 13:56:08,1.881,58.78,317784064,59.19
2025-05-10 13:56:13,2.251,70.34,317784064,59.19
2025-05-10 13:56:18,2.251,70.34,317784064,59.19
2025-05-10 13:56:23,2.251,70.34,317784064,59.19
2025-05-10 13:56:29,2.251,70.34,317784064,59.19
2025-05-10 13:56:34,2.251,70.34,317784064,59.19
2025-05-10 13:56:39,2.251,70.34,419016704,78.05
2025-05-10 13:56:45,1.587,49.59,419016704,78.05
2025-05-10 13:56:50,1.587,49.59,419016704,78.05
2025-05-10 13:56:55,1.587,49.59,419016704,78.05
2025-05-10 13:57:01,1.587,49.59,419016704,78.05
2025-05-10 13:57:06,1.587,49.59,419016704,78.05
2025-05-10 13:57:11,1.470,45.93,31182848,5.81
2025-05-10 13:57:17,1.470,45.93,31182848,5.81
2025-05-10 13:57:22,1.470,45.93,31182848,5.81
2025-05-10 13:57:27,1.470,45.93,31182848,5.81
2025-05-10 13:57:33,1.470,45.93,31182848,5.81
2025-05-10 13:57:39,1.470,45.93,359104512,66.89
2025-05-10 13:57:44,2.682,83.80,359104512,66.89
2025-05-10 13:57:49,2.682,83.80,359104512,66.89
2025-05-10 13:57:55,2.682,83.80,359104512,66.89
