timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 01:50:10,1.441,45.03,445210624,82.93
2025-05-11 01:50:16,1.441,45.03,445210624,82.93
2025-05-11 01:50:21,1.441,45.03,399446016,74.40
2025-05-11 01:50:26,1.441,45.03,399446016,74.40
2025-05-11 01:50:31,1.441,45.03,399446016,74.40
2025-05-11 01:50:37,1.441,45.03,399446016,74.40
2025-05-11 01:50:42,2.266,70.81,399446016,74.40
2025-05-11 01:50:47,2.266,70.81,434716672,80.97
2025-05-11 01:50:52,2.266,70.81,434716672,80.97
2025-05-11 01:50:58,2.266,70.81,434716672,80.97
2025-05-11 01:51:03,2.266,70.81,434716672,80.97
2025-05-11 01:51:08,2.266,70.81,434716672,80.97
2025-05-11 01:51:13,1.589,49.65,434716672,80.97
2025-05-11 01:51:19,1.589,49.65,202260480,37.67
2025-05-11 01:51:24,1.589,49.65,202260480,37.67
2025-05-11 01:51:29,1.589,49.65,202260480,37.67
2025-05-11 01:51:34,1.589,49.65,202260480,37.67
2025-05-11 01:51:40,1.589,49.65,202260480,37.67
2025-05-11 01:51:45,1.555,48.58,202260480,37.67
2025-05-11 01:51:50,1.555,48.58,414457856,77.20
2025-05-11 01:51:55,1.555,48.58,414457856,77.20
2025-05-11 01:52:01,1.555,48.58,414457856,77.20
2025-05-11 01:52:06,1.555,48.58,414457856,77.20
2025-05-11 01:52:11,2.083,65.09,414457856,77.20
2025-05-11 01:52:16,2.083,65.09,418918400,78.03
2025-05-11 01:52:22,2.083,65.09,418918400,78.03
2025-05-11 01:52:27,2.083,65.09,418918400,78.03
2025-05-11 01:52:32,2.083,65.09,418918400,78.03
2025-05-11 01:52:37,2.083,65.09,418918400,78.03
2025-05-11 01:52:43,1.446,45.20,418918400,78.03
2025-05-11 01:52:48,1.446,45.20,294187008,54.80
2025-05-11 01:52:53,1.446,45.20,294187008,54.80
2025-05-11 01:52:58,1.446,45.20,294187008,54.80
2025-05-11 01:53:04,1.446,45.20,294187008,54.80
2025-05-11 01:53:09,1.446,45.20,294187008,54.80
2025-05-11 01:53:14,1.758,54.95,294187008,54.80
2025-05-11 01:53:19,1.758,54.95,425897984,79.33
2025-05-11 01:53:25,1.758,54.95,425897984,79.33
2025-05-11 01:53:30,1.758,54.95,425897984,79.33
2025-05-11 01:53:35,1.758,54.95,425897984,79.33
2025-05-11 01:53:40,1.929,60.27,425897984,79.33
2025-05-11 01:53:46,1.929,60.27,425897984,79.33
2025-05-11 01:53:51,1.929,60.27,125636608,23.40
2025-05-11 01:53:56,1.929,60.27,125636608,23.40
2025-05-11 01:54:01,1.929,60.27,125636608,23.40
2025-05-11 01:54:07,1.929,60.27,125636608,23.40
2025-05-11 01:54:12,1.864,58.24,125636608,23.40
2025-05-11 01:54:17,1.864,58.24,355180544,66.16
2025-05-11 01:54:22,1.864,58.24,355180544,66.16
2025-05-11 01:54:28,1.864,58.24,355180544,66.16
2025-05-11 01:54:33,1.864,58.24,355180544,66.16
2025-05-11 01:54:38,1.864,58.24,355180544,66.16
