timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 01:24:12,1.993,62.29,416374784,77.56
2025-05-10 01:24:17,1.993,62.29,416374784,77.56
2025-05-10 01:24:22,1.993,62.29,206417920,38.45
2025-05-10 01:24:28,1.993,62.29,206417920,38.45
2025-05-10 01:24:33,1.993,62.29,206417920,38.45
2025-05-10 01:24:38,1.993,62.29,206417920,38.45
2025-05-10 01:24:43,2.331,72.86,206417920,38.45
2025-05-10 01:24:49,2.331,72.86,206417920,38.45
2025-05-10 01:24:54,2.331,72.86,429707264,80.04
2025-05-10 01:24:59,2.331,72.86,429707264,80.04
2025-05-10 01:25:05,2.331,72.86,429707264,80.04
2025-05-10 01:25:10,2.331,72.86,429707264,80.04
2025-05-10 01:25:15,2.525,78.92,429707264,80.04
2025-05-10 01:25:21,2.525,78.92,457342976,85.19
2025-05-10 01:25:26,2.525,78.92,457342976,85.19
2025-05-10 01:25:31,2.525,78.92,457342976,85.19
2025-05-10 01:25:36,2.525,78.92,457342976,85.19
2025-05-10 01:25:42,1.364,42.62,457342976,85.19
2025-05-10 01:25:47,1.364,42.62,457342976,85.19
2025-05-10 01:25:52,1.364,42.62,225120256,41.93
2025-05-10 01:25:58,1.364,42.62,225120256,41.93
2025-05-10 01:26:03,1.364,42.62,225120256,41.93
2025-05-10 01:26:08,1.364,42.62,225120256,41.93
2025-05-10 01:26:13,0.935,29.21,225120256,41.93
2025-05-10 01:26:19,0.935,29.21,225120256,41.93
2025-05-10 01:26:24,0.935,29.21,425971712,79.34
2025-05-10 01:26:29,0.935,29.21,425971712,79.34
2025-05-10 01:26:35,0.935,29.21,425971712,79.34
2025-05-10 01:26:40,0.935,29.21,425971712,79.34
2025-05-10 01:26:45,2.389,74.66,425971712,79.34
2025-05-10 01:26:51,2.389,74.66,30089216,5.60
2025-05-10 01:26:56,2.389,74.66,30089216,5.60
2025-05-10 01:27:01,2.389,74.66,30089216,5.60
2025-05-10 01:27:06,2.389,74.66,30089216,5.60
2025-05-10 01:27:12,1.589,49.65,30089216,5.60
2025-05-10 01:27:17,1.589,49.65,30089216,5.60
2025-05-10 01:27:23,1.589,49.65,360214528,67.10
2025-05-10 01:29:30,0.935,29.21,30302208,5.64
2025-05-10 01:29:37,0.935,29.21,30302208,5.64
2025-05-10 01:29:42,2.048,64.01,30302208,5.64
2025-05-10 01:29:48,2.048,64.01,30302208,5.64
2025-05-10 01:29:53,2.048,64.01,409698304,76.31
2025-05-10 01:29:58,2.048,64.01,409698304,76.31
2025-05-10 01:30:04,2.048,64.01,409698304,76.31
2025-05-10 01:30:09,2.048,64.01,409698304,76.31
2025-05-10 01:30:14,2.518,78.70,409698304,76.31
2025-05-10 01:30:19,2.518,78.70,417275904,77.72
2025-05-10 01:30:25,2.518,78.70,417275904,77.72
2025-05-10 01:30:30,2.518,78.70,417275904,77.72
2025-05-10 01:30:35,2.518,78.70,417275904,77.72
2025-05-10 01:30:41,2.518,78.70,417275904,77.72
2025-05-10 01:30:46,1.643,51.36,417275904,77.72
2025-05-10 01:30:51,1.643,51.36,221474816,41.25
2025-05-10 01:30:57,1.643,51.36,221474816,41.25
2025-05-10 01:31:02,1.643,51.36,221474816,41.25
2025-05-10 01:31:07,1.643,51.36,221474816,41.25
2025-05-10 01:31:12,1.491,46.60,221474816,41.25
2025-05-10 01:31:18,1.491,46.60,221474816,41.25
2025-05-10 01:31:23,1.491,46.60,390123520,72.67
2025-05-10 01:31:28,1.491,46.60,390123520,72.67
2025-05-10 01:31:34,1.491,46.60,390123520,72.67
2025-05-10 01:31:39,1.491,46.60,390123520,72.67
2025-05-10 01:31:44,2.224,69.52,390123520,72.67
2025-05-10 01:31:49,2.224,69.52,389791744,72.60
2025-05-10 01:31:55,2.224,69.52,389791744,72.60
2025-05-10 01:32:00,2.224,69.52,389791744,72.60
2025-05-10 01:32:05,2.224,69.52,389791744,72.60
2025-05-10 01:32:10,2.224,69.52,389791744,72.60
2025-05-10 01:32:16,1.138,35.58,389791744,72.60
2025-05-10 01:32:21,1.138,35.58,383094784,71.36
2025-05-10 01:32:26,1.138,35.58,383094784,71.36
2025-05-10 01:32:31,1.138,35.58,383094784,71.36
2025-05-10 01:32:37,1.138,35.58,383094784,71.36
2025-05-10 01:32:42,2.098,65.55,383094784,71.36
2025-05-10 01:32:47,2.098,65.55,383094784,71.36
2025-05-10 01:32:52,2.098,65.55,431239168,80.32
2025-05-10 01:32:58,2.098,65.55,431239168,80.32
2025-05-10 01:33:03,2.098,65.55,431239168,80.32
2025-05-10 01:33:08,2.098,65.55,431239168,80.32
2025-05-10 01:33:14,1.613,50.40,431239168,80.32
2025-05-10 01:33:19,1.613,50.40,431239168,80.32
2025-05-10 01:33:24,1.613,50.40,352636928,65.68
2025-05-10 01:33:29,1.613,50.40,352636928,65.68
2025-05-10 01:33:35,1.613,50.40,352636928,65.68
2025-05-10 01:33:40,1.613,50.40,352636928,65.68
2025-05-10 01:33:45,2.057,64.28,352636928,65.68
2025-05-10 01:33:51,2.057,64.28,424845312,79.13
2025-05-10 01:33:56,2.057,64.28,424845312,79.13
2025-05-10 01:34:01,2.057,64.28,424845312,79.13
2025-05-10 01:34:07,2.057,64.28,424845312,79.13
2025-05-10 01:34:12,2.186,68.32,424845312,79.13
2025-05-10 01:34:17,2.186,68.32,424845312,79.13
2025-05-10 01:34:22,2.186,68.32,30703616,5.72
2025-05-10 01:34:28,2.186,68.32,30703616,5.72
2025-05-10 01:34:33,2.186,68.32,30703616,5.72
2025-05-10 01:34:38,2.186,68.32,30703616,5.72
2025-05-10 01:34:44,1.067,33.35,30703616,5.72
2025-05-10 01:34:49,1.067,33.35,30703616,5.72
2025-05-10 01:34:54,1.067,33.35,356433920,66.39
