timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 13:47:12,2.510,78.43,408576000,76.10
2025-05-10 13:47:18,2.510,78.43,408576000,76.10
2025-05-10 13:47:23,2.510,78.43,31191040,5.81
2025-05-10 13:47:28,2.510,78.43,31191040,5.81
2025-05-10 13:47:34,2.510,78.43,31191040,5.81
2025-05-10 13:47:39,2.510,78.43,31191040,5.81
2025-05-10 13:47:44,1.483,46.35,31191040,5.81
2025-05-10 13:47:49,1.483,46.35,31191040,5.81
2025-05-10 13:47:55,1.483,46.35,313303040,58.36
2025-05-10 13:48:00,1.483,46.35,313303040,58.36
2025-05-10 13:48:05,1.483,46.35,313303040,58.36
2025-05-10 13:48:10,1.206,37.67,313303040,58.36
2025-05-10 13:48:16,1.206,37.67,313303040,58.36
2025-05-10 13:48:21,1.206,37.67,313303040,58.36
2025-05-10 13:48:26,1.206,37.67,410923008,76.54
2025-05-10 13:48:31,1.206,37.67,410923008,76.54
2025-05-10 13:48:37,1.206,37.67,410923008,76.54
2025-05-10 13:48:42,2.104,65.74,410923008,76.54
2025-05-10 13:48:47,2.104,65.74,410923008,76.54
2025-05-10 13:48:53,2.104,65.74,249720832,46.51
2025-05-10 13:48:58,2.104,65.74,249720832,46.51
2025-05-10 13:49:03,2.104,65.74,249720832,46.51
2025-05-10 13:49:09,2.104,65.74,249720832,46.51
2025-05-10 13:49:14,2.069,64.64,249720832,46.51
2025-05-10 13:49:19,2.069,64.64,249720832,46.51
2025-05-10 13:49:25,2.069,64.64,399994880,74.50
2025-05-10 13:49:30,2.069,64.64,399994880,74.50
2025-05-10 13:49:35,2.069,64.64,399994880,74.50
2025-05-10 13:49:40,1.802,56.32,399994880,74.50
2025-05-10 13:49:46,1.802,56.32,399994880,74.50
2025-05-10 13:49:51,1.802,56.32,32260096,6.01
2025-05-10 13:49:57,1.802,56.32,32260096,6.01
2025-05-10 13:50:02,1.802,56.32,32260096,6.01
2025-05-10 13:50:07,1.802,56.32,32260096,6.01
2025-05-10 13:50:12,1.952,61.00,32260096,6.01
2025-05-10 13:50:18,1.952,61.00,32260096,6.01
2025-05-10 13:50:23,1.952,61.00,398245888,74.18
2025-05-10 13:50:29,1.952,61.00,398245888,74.18
2025-05-10 13:50:34,1.952,61.00,398245888,74.18
2025-05-10 13:50:39,1.952,61.00,398245888,74.18
2025-05-10 13:50:45,1.831,57.22,398245888,74.18
2025-05-10 13:50:50,1.831,57.22,398245888,74.18
2025-05-10 13:50:55,1.831,57.22,435326976,81.09
2025-05-10 13:51:00,1.831,57.22,435326976,81.09
2025-05-10 13:51:06,1.831,57.22,435326976,81.09
2025-05-10 13:51:11,1.824,57.01,435326976,81.09
2025-05-10 13:51:16,1.824,57.01,435326976,81.09
2025-05-10 13:51:21,1.824,57.01,179462144,33.43
2025-05-10 13:51:27,1.824,57.01,179462144,33.43
2025-05-10 13:51:32,1.824,57.01,179462144,33.43
2025-05-10 13:51:37,1.824,57.01,179462144,33.43
2025-05-10 13:51:42,1.258,39.31,179462144,33.43
2025-05-10 13:51:48,1.258,39.31,179462144,33.43
2025-05-10 13:51:53,1.258,39.31,420990976,78.42
2025-05-10 13:51:58,1.258,39.31,420990976,78.42
2025-05-10 13:52:04,1.258,39.31,420990976,78.42
2025-05-10 13:52:09,1.258,39.31,420990976,78.42
