timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 16:24:30,1.211,39.08,310190080,57.78
2025-05-14 16:24:35,1.211,39.08,310190080,57.78
2025-05-14 16:24:40,1.211,39.08,413687808,77.06
2025-05-14 16:24:45,1.211,39.08,413687808,77.06
2025-05-14 16:24:51,1.211,39.08,413687808,77.06
2025-05-14 16:24:56,1.211,39.08,413687808,77.06
2025-05-14 16:25:01,2.305,74.34,413687808,77.06
2025-05-14 16:25:06,2.305,74.34,413687808,77.06
2025-05-14 16:25:12,2.305,74.34,172556288,32.14
2025-05-14 16:25:17,2.305,74.34,172556288,32.14
2025-05-14 16:25:22,2.305,74.34,172556288,32.14
2025-05-14 16:25:27,1.628,52.52,172556288,32.14
2025-05-14 16:25:33,1.628,52.52,172556288,32.14
2025-05-14 16:25:38,1.628,52.52,172556288,32.14
2025-05-14 16:25:43,1.628,52.52,408961024,76.17
2025-05-14 16:25:48,1.628,52.52,408961024,76.17
2025-05-14 16:25:54,1.628,52.52,408961024,76.17
2025-05-14 16:25:59,1.864,60.13,408961024,76.17
2025-05-14 16:26:04,1.864,60.13,408961024,76.17
2025-05-14 16:26:10,1.864,60.13,428711936,79.85
2025-05-14 16:26:15,1.864,60.13,428711936,79.85
2025-05-14 16:26:20,1.864,60.13,428711936,79.85
2025-05-14 16:26:26,1.864,60.13,428711936,79.85
2025-05-14 16:26:31,1.989,64.15,428711936,79.85
2025-05-14 16:26:36,1.989,64.15,428711936,79.85
2025-05-14 16:26:41,1.989,64.15,331190272,61.69
2025-05-14 16:26:47,1.989,64.15,331190272,61.69
2025-05-14 16:26:52,1.989,64.15,331190272,61.69
2025-05-14 16:26:57,1.597,51.51,331190272,61.69
2025-05-14 16:27:02,1.597,51.51,331190272,61.69
2025-05-14 16:27:08,1.597,51.51,331190272,61.69
2025-05-14 16:27:13,1.597,51.51,427610112,79.65
2025-05-14 16:27:18,1.597,51.51,427610112,79.65
2025-05-14 16:27:23,1.597,51.51,427610112,79.65
2025-05-14 16:27:28,2.005,64.69,427610112,79.65
2025-05-14 16:27:34,2.005,64.69,427610112,79.65
2025-05-14 16:27:39,2.005,64.69,427610112,79.65
2025-05-14 16:27:44,2.005,64.69,429547520,80.01
2025-05-14 16:27:49,2.005,64.69,429547520,80.01
2025-05-14 16:27:55,2.005,64.69,429547520,80.01
2025-05-14 16:28:00,1.493,48.18,429547520,80.01
2025-05-14 16:28:05,1.493,48.18,429547520,80.01
2025-05-14 16:28:11,1.493,48.18,326496256,60.81
2025-05-14 16:28:16,1.493,48.18,326496256,60.81
2025-05-14 16:28:21,1.493,48.18,326496256,60.81
2025-05-14 16:28:26,1.493,48.18,326496256,60.81
2025-05-14 16:28:32,1.907,61.53,326496256,60.81
2025-05-14 16:28:37,1.907,61.53,326496256,60.81
2025-05-14 16:28:42,1.907,61.53,421588992,78.53
2025-05-14 16:28:48,1.907,61.53,421588992,78.53
2025-05-14 16:28:53,1.907,61.53,421588992,78.53
2025-05-14 16:28:58,2.274,73.37,421588992,78.53
2025-05-14 16:29:03,2.274,73.37,421588992,78.53
2025-05-14 16:29:09,2.274,73.37,421588992,78.53
2025-05-14 16:29:14,2.274,73.37,273342464,50.91
2025-05-14 16:29:19,2.274,73.37,273342464,50.91
2025-05-14 16:29:25,2.274,73.37,273342464,50.91
2025-05-14 16:29:30,1.638,52.82,273342464,50.91
2025-05-14 16:29:35,1.638,52.82,273342464,50.91
2025-05-14 16:29:41,1.638,52.82,416403456,77.56
2025-05-14 16:29:46,1.638,52.82,416403456,77.56
2025-05-14 16:29:51,1.638,52.82,416403456,77.56
2025-05-14 16:29:56,1.638,52.82,416403456,77.56
2025-05-14 16:30:02,1.365,44.03,416403456,77.56
2025-05-14 16:30:07,1.365,44.03,416403456,77.56
2025-05-14 16:30:12,1.365,44.03,422834176,78.76
2025-05-14 16:30:17,1.365,44.03,422834176,78.76
2025-05-14 16:30:23,1.365,44.03,422834176,78.76
2025-05-14 16:30:28,1.803,58.18,422834176,78.76
2025-05-14 16:30:33,1.803,58.18,422834176,78.76
2025-05-14 16:30:39,1.803,58.18,422834176,78.76
2025-05-14 16:30:44,1.803,58.18,320114688,59.63
2025-05-14 16:30:49,1.803,58.18,320114688,59.63
2025-05-14 16:30:55,1.803,58.18,320114688,59.63
2025-05-14 16:31:00,2.004,64.64,320114688,59.63
2025-05-14 16:31:05,2.004,64.64,320114688,59.63
2025-05-14 16:31:11,2.004,64.64,405176320,75.47
2025-05-14 16:31:16,2.004,64.64,405176320,75.47
2025-05-14 16:31:21,2.004,64.64,405176320,75.47
2025-05-14 16:31:27,2.004,64.64,405176320,75.47
2025-05-14 16:31:32,2.113,68.17,405176320,75.47
2025-05-14 16:31:37,2.113,68.17,405176320,75.47
2025-05-14 16:31:42,2.113,68.17,410247168,76.41
2025-05-14 16:31:48,2.113,68.17,410247168,76.41
2025-05-14 16:31:53,2.113,68.17,410247168,76.41
2025-05-14 16:31:58,1.053,33.96,410247168,76.41
2025-05-14 16:32:03,1.053,33.96,410247168,76.41
2025-05-14 16:32:09,1.053,33.96,410247168,76.41
2025-05-14 16:32:14,1.053,33.96,407756800,75.95
2025-05-14 16:32:19,1.053,33.96,407756800,75.95
2025-05-14 16:32:24,1.053,33.96,407756800,75.95
2025-05-14 16:32:30,2.379,76.75,407756800,75.95
