timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 00:49:41,1.876,58.62,433278976,80.70
2025-05-11 00:49:46,1.876,58.62,433278976,80.70
2025-05-11 00:49:51,1.876,58.62,222081024,41.37
2025-05-11 00:49:57,1.876,58.62,222081024,41.37
2025-05-11 00:50:02,1.876,58.62,222081024,41.37
2025-05-11 00:50:07,1.876,58.62,222081024,41.37
2025-05-11 00:50:12,2.145,67.04,222081024,41.37
2025-05-11 00:50:18,2.145,67.04,222081024,41.37
2025-05-11 00:50:23,2.145,67.04,405553152,75.54
2025-05-11 00:50:28,2.145,67.04,405553152,75.54
2025-05-11 00:50:33,2.145,67.04,405553152,75.54
2025-05-11 00:50:38,2.145,67.04,405553152,75.54
2025-05-11 00:50:44,1.747,54.59,405553152,75.54
2025-05-11 00:50:49,1.747,54.59,420163584,78.26
2025-05-11 00:50:54,1.747,54.59,420163584,78.26
2025-05-11 00:50:59,1.747,54.59,420163584,78.26
2025-05-11 00:51:05,1.747,54.59,420163584,78.26
2025-05-11 00:51:10,1.747,54.59,420163584,78.26
2025-05-11 00:51:15,1.517,47.40,420163584,78.26
2025-05-11 00:51:20,1.517,47.40,360878080,67.22
2025-05-11 00:51:25,1.517,47.40,360878080,67.22
2025-05-11 00:51:31,1.517,47.40,360878080,67.22
2025-05-11 00:51:36,1.517,47.40,360878080,67.22
2025-05-11 00:51:41,1.895,59.22,360878080,67.22
2025-05-11 00:51:46,1.895,59.22,360878080,67.22
2025-05-11 00:51:52,1.895,59.22,419160064,78.07
2025-05-11 00:51:57,1.895,59.22,419160064,78.07
2025-05-11 00:52:02,1.895,59.22,419160064,78.07
2025-05-11 00:52:07,1.895,59.22,419160064,78.07
2025-05-11 00:52:12,1.866,58.32,419160064,78.07
2025-05-11 00:52:18,1.866,58.32,419160064,78.07
2025-05-11 00:52:23,1.866,58.32,181374976,33.78
2025-05-11 00:52:28,1.866,58.32,181374976,33.78
2025-05-11 00:52:33,1.866,58.32,181374976,33.78
2025-05-11 00:52:38,1.866,58.32,181374976,33.78
2025-05-11 00:52:44,1.609,50.28,181374976,33.78
2025-05-11 00:52:49,1.609,50.28,425574400,79.27
2025-05-11 00:52:54,1.609,50.28,425574400,79.27
2025-05-11 00:52:59,1.609,50.28,425574400,79.27
2025-05-11 00:53:05,1.609,50.28,425574400,79.27
2025-05-11 00:53:10,1.609,50.28,425574400,79.27
2025-05-11 00:53:15,2.606,81.44,425574400,79.27
2025-05-11 00:53:20,2.606,81.44,31481856,5.86
2025-05-11 00:53:26,2.606,81.44,31481856,5.86
2025-05-11 00:53:31,2.606,81.44,31481856,5.86
2025-05-11 00:53:36,2.606,81.44,31481856,5.86
2025-05-11 00:53:41,1.488,46.50,31481856,5.86
2025-05-11 00:53:47,1.488,46.50,31481856,5.86
2025-05-11 00:53:52,1.488,46.50,323817472,60.32
2025-05-11 00:53:57,1.488,46.50,323817472,60.32
2025-05-11 00:54:02,1.488,46.50,323817472,60.32
2025-05-11 00:54:07,1.488,46.50,323817472,60.32
2025-05-11 00:54:13,1.250,39.07,323817472,60.32
2025-05-11 00:54:18,1.250,39.07,323817472,60.32
2025-05-11 00:54:23,1.250,39.07,430297088,80.15
2025-05-11 00:54:28,1.250,39.07,430297088,80.15
2025-05-11 00:54:34,1.250,39.07,430297088,80.15
2025-05-11 00:54:39,1.250,39.07,430297088,80.15
2025-05-11 00:54:44,2.309,72.14,430297088,80.15
2025-05-11 00:54:49,2.309,72.14,111435776,20.76
2025-05-11 00:54:55,2.309,72.14,111435776,20.76
2025-05-11 00:55:00,2.309,72.14,111435776,20.76
2025-05-11 00:55:05,2.309,72.14,111435776,20.76
2025-05-11 00:55:10,1.120,34.99,111435776,20.76
2025-05-11 00:55:15,1.120,34.99,111435776,20.76
2025-05-11 00:55:21,1.120,34.99,434593792,80.95
2025-05-11 00:55:26,1.120,34.99,434593792,80.95
2025-05-11 00:55:31,1.120,34.99,434593792,80.95
2025-05-11 00:55:36,1.120,34.99,434593792,80.95
2025-05-11 00:55:42,2.598,81.17,434593792,80.95
2025-05-11 00:55:47,2.598,81.17,434593792,80.95
2025-05-11 00:55:52,2.598,81.17,30351360,5.65
2025-05-11 00:55:57,2.598,81.17,30351360,5.65
2025-05-11 00:56:03,2.598,81.17,30351360,5.65
2025-05-11 00:56:08,2.598,81.17,30351360,5.65
2025-05-11 00:56:13,1.748,54.62,30351360,5.65
2025-05-11 00:56:19,1.748,54.62,247676928,46.13
2025-05-11 00:56:24,1.748,54.62,247676928,46.13
2025-05-11 00:56:29,1.748,54.62,247676928,46.13
2025-05-11 00:56:34,1.748,54.62,247676928,46.13
2025-05-11 00:56:40,1.748,54.62,247676928,46.13
2025-05-11 00:56:45,1.719,53.72,247676928,46.13
2025-05-11 00:56:50,1.719,53.72,392949760,73.19
2025-05-11 00:56:56,1.719,53.72,392949760,73.19
2025-05-11 00:57:01,1.719,53.72,392949760,73.19
2025-05-11 00:57:06,1.719,53.72,392949760,73.19
2025-05-11 00:57:11,1.807,56.47,392949760,73.19
2025-05-11 00:57:17,1.807,56.47,392949760,73.19
2025-05-11 00:57:22,1.807,56.47,133500928,24.87
2025-05-11 00:57:27,1.807,56.47,133500928,24.87
2025-05-11 00:57:33,1.807,56.47,133500928,24.87
2025-05-11 00:57:38,1.807,56.47,133500928,24.87
2025-05-11 00:57:43,1.558,48.68,133500928,24.87
2025-05-11 00:57:49,1.558,48.68,404570112,75.36
2025-05-11 00:57:54,1.558,48.68,404570112,75.36
2025-05-11 00:57:59,1.558,48.68,404570112,75.36
2025-05-11 00:58:04,1.558,48.68,404570112,75.36
2025-05-11 00:58:10,1.558,48.68,404570112,75.36
2025-05-11 00:58:15,2.206,68.94,404570112,75.36
2025-05-11 00:58:20,2.206,68.94,414720000,77.25
2025-05-11 00:58:25,2.206,68.94,414720000,77.25
2025-05-11 00:58:31,2.206,68.94,414720000,77.25
2025-05-11 00:58:36,2.206,68.94,414720000,77.25
2025-05-11 00:58:41,1.649,51.54,414720000,77.25
2025-05-11 00:58:47,1.649,51.54,414720000,77.25
2025-05-11 00:58:52,1.649,51.54,286818304,53.42
2025-05-11 00:58:57,1.649,51.54,286818304,53.42
2025-05-11 00:59:03,1.649,51.54,286818304,53.42
2025-05-11 00:59:08,1.649,51.54,286818304,53.42
2025-05-11 00:59:13,2.020,63.12,286818304,53.42
2025-05-11 00:59:18,2.020,63.12,399716352,74.45
2025-05-11 00:59:24,2.020,63.12,399716352,74.45
2025-05-11 00:59:29,2.020,63.12,399716352,74.45
2025-05-11 00:59:34,2.020,63.12,399716352,74.45
2025-05-11 00:59:39,2.020,63.12,399716352,74.45
2025-05-11 00:59:45,1.858,58.05,399716352,74.45
2025-05-11 00:59:50,1.858,58.05,31379456,5.84
2025-05-11 00:59:55,1.858,58.05,31379456,5.84
