timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 00:29:15,2.485,77.67,430882816,80.26
2025-05-09 00:29:20,2.485,77.67,430882816,80.26
2025-05-09 00:29:26,2.485,77.67,433344512,80.72
2025-05-09 00:29:31,2.485,77.67,433344512,80.72
2025-05-09 00:29:36,2.485,77.67,433344512,80.72
2025-05-09 00:29:42,2.485,77.67,433344512,80.72
2025-05-09 00:29:47,1.363,42.58,433344512,80.72
2025-05-09 00:29:52,1.363,42.58,433344512,80.72
2025-05-09 00:29:57,1.363,42.58,338264064,63.01
2025-05-09 00:30:03,1.363,42.58,338264064,63.01
2025-05-09 00:30:08,1.363,42.58,338264064,63.01
2025-05-09 00:30:13,2.366,73.94,338264064,63.01
2025-05-09 00:30:18,2.366,73.94,338264064,63.01
2025-05-09 00:30:24,2.366,73.94,362283008,67.48
2025-05-09 00:30:29,2.366,73.94,362283008,67.48
2025-05-09 00:30:34,2.366,73.94,362283008,67.48
2025-05-09 00:30:40,2.366,73.94,362283008,67.48
2025-05-09 00:30:45,1.554,48.58,362283008,67.48
2025-05-09 00:30:50,1.554,48.58,362283008,67.48
2025-05-09 00:30:55,1.554,48.58,100601856,18.74
2025-05-09 00:31:01,1.554,48.58,100601856,18.74
2025-05-09 00:31:06,1.554,48.58,100601856,18.74
2025-05-09 00:31:11,1.554,48.58,100601856,18.74
2025-05-09 00:31:17,1.418,44.33,100601856,18.74
2025-05-09 00:31:22,1.418,44.33,100601856,18.74
2025-05-09 00:31:27,1.418,44.33,383660032,71.46
2025-05-09 00:31:32,1.418,44.33,383660032,71.46
2025-05-09 00:31:38,1.418,44.33,383660032,71.46
2025-05-09 00:31:43,2.277,71.16,383660032,71.46
2025-05-09 00:31:48,2.277,71.16,383660032,71.46
2025-05-09 00:31:54,2.277,71.16,407592960,75.92
2025-05-09 00:31:59,2.277,71.16,407592960,75.92
2025-05-09 00:32:04,2.277,71.16,407592960,75.92
2025-05-09 00:32:10,2.277,71.16,407592960,75.92
2025-05-09 00:32:15,1.379,43.10,407592960,75.92
2025-05-09 00:32:20,1.379,43.10,407592960,75.92
2025-05-09 00:32:26,1.379,43.10,228610048,42.58
2025-05-09 00:32:31,1.379,43.10,228610048,42.58
2025-05-09 00:32:36,1.379,43.10,228610048,42.58
2025-05-09 00:32:42,1.379,43.10,228610048,42.58
2025-05-09 00:32:47,1.991,62.23,228610048,42.58
2025-05-09 00:32:52,1.991,62.23,228610048,42.58
2025-05-09 00:32:58,1.991,62.23,403513344,75.16
2025-05-09 00:33:03,1.991,62.23,403513344,75.16
2025-05-09 00:33:08,1.991,62.23,403513344,75.16
2025-05-09 00:33:13,2.269,70.92,403513344,75.16
2025-05-09 00:33:19,2.269,70.92,403513344,75.16
2025-05-09 00:33:24,2.269,70.92,34533376,6.43
2025-05-09 00:33:29,2.269,70.92,34533376,6.43
2025-05-09 00:33:35,2.269,70.92,34533376,6.43
2025-05-09 00:33:40,2.269,70.92,34533376,6.43
2025-05-09 00:33:45,1.923,60.10,34533376,6.43
2025-05-09 00:33:51,1.923,60.10,34533376,6.43
2025-05-09 00:33:56,1.923,60.10,327667712,61.03
2025-05-09 00:34:01,1.923,60.10,327667712,61.03
2025-05-09 00:34:07,1.923,60.10,327667712,61.03
2025-05-09 00:34:12,1.923,60.10,327667712,61.03
2025-05-09 00:34:17,1.751,54.72,327667712,61.03
2025-05-09 00:34:23,1.751,54.72,424579072,79.08
2025-05-09 00:34:28,1.751,54.72,424579072,79.08
2025-05-09 00:34:33,1.751,54.72,424579072,79.08
2025-05-09 00:34:39,1.751,54.72,424579072,79.08
2025-05-09 00:34:44,1.923,60.09,424579072,79.08
2025-05-09 00:34:49,1.923,60.09,424579072,79.08
2025-05-09 00:34:54,1.923,60.09,298565632,55.61
2025-05-09 00:35:00,1.923,60.09,298565632,55.61
2025-05-09 00:35:05,1.923,60.09,298565632,55.61
2025-05-09 00:35:10,1.923,60.09,298565632,55.61
2025-05-09 00:35:16,2.486,77.69,298565632,55.61
2025-05-09 00:35:21,2.486,77.69,298565632,55.61
2025-05-09 00:35:26,2.486,77.69,422309888,78.66
2025-05-09 00:35:32,2.486,77.69,422309888,78.66
2025-05-09 00:35:37,2.486,77.69,422309888,78.66
2025-05-09 00:35:42,2.486,77.69,422309888,78.66
2025-05-09 00:35:47,1.753,54.78,422309888,78.66
2025-05-09 00:35:53,1.753,54.78,423616512,78.90
2025-05-09 00:35:58,1.753,54.78,423616512,78.90
2025-05-09 00:36:03,1.753,54.78,423616512,78.90
2025-05-09 00:36:09,1.753,54.78,423616512,78.90
2025-05-09 00:36:14,1.512,47.24,423616512,78.90
2025-05-09 00:36:19,1.512,47.24,423616512,78.90
2025-05-09 00:36:25,1.512,47.24,325246976,60.58
2025-05-09 00:36:30,1.512,47.24,325246976,60.58
2025-05-09 00:36:35,1.512,47.24,325246976,60.58
2025-05-09 00:36:41,1.512,47.24,325246976,60.58
2025-05-09 00:36:46,2.412,75.36,325246976,60.58
2025-05-09 00:36:52,2.412,75.36,325246976,60.58
2025-05-09 00:36:57,2.412,75.36,373506048,69.57
