timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 13:10:45,1.983,61.98,424632320,79.09
2025-05-10 13:10:50,1.983,61.98,424632320,79.09
2025-05-10 13:10:56,1.983,61.98,424632320,79.09
2025-05-10 13:11:01,1.983,61.98,424632320,79.09
2025-05-10 13:11:06,1.983,61.98,424632320,79.09
2025-05-10 13:11:12,1.691,52.85,31248384,5.82
2025-05-10 13:11:17,1.691,52.85,31248384,5.82
2025-05-10 13:11:22,1.691,52.85,31248384,5.82
2025-05-10 13:11:28,1.691,52.85,31248384,5.82
2025-05-10 13:11:33,1.691,52.85,31248384,5.82
2025-05-10 13:11:38,1.691,52.85,421847040,78.58
2025-05-10 13:11:44,2.625,82.04,421847040,78.58
2025-05-10 13:11:49,2.625,82.04,421847040,78.58
2025-05-10 13:11:54,2.625,82.04,421847040,78.58
2025-05-10 13:11:59,2.625,82.04,421847040,78.58
2025-05-10 13:12:05,2.625,82.04,421847040,78.58
2025-05-10 13:12:10,2.625,82.04,428490752,79.81
2025-05-10 13:12:15,1.785,55.77,428490752,79.81
2025-05-10 13:12:21,1.785,55.77,428490752,79.81
2025-05-10 13:12:26,1.785,55.77,428490752,79.81
2025-05-10 13:12:31,1.785,55.77,428490752,79.81
2025-05-10 13:12:36,1.785,55.77,324087808,60.37
2025-05-10 13:12:42,1.904,59.50,324087808,60.37
2025-05-10 13:12:47,1.904,59.50,324087808,60.37
2025-05-10 13:12:52,1.904,59.50,324087808,60.37
2025-05-10 13:12:57,1.904,59.50,324087808,60.37
2025-05-10 13:13:03,1.904,59.50,324087808,60.37
2025-05-10 13:13:08,1.904,59.50,423239680,78.83
2025-05-10 13:13:13,1.734,54.18,423239680,78.83
2025-05-10 13:13:18,1.734,54.18,423239680,78.83
2025-05-10 13:13:24,1.734,54.18,423239680,78.83
2025-05-10 13:13:29,1.734,54.18,423239680,78.83
2025-05-10 13:13:34,1.734,54.18,423239680,78.83
2025-05-10 13:13:40,1.734,54.18,428818432,79.87
2025-05-10 13:13:45,1.114,34.82,428818432,79.87
2025-05-10 13:13:50,1.114,34.82,428818432,79.87
2025-05-10 13:13:56,1.114,34.82,428818432,79.87
2025-05-10 13:14:01,1.114,34.82,428818432,79.87
2025-05-10 13:14:06,1.114,34.82,428818432,79.87
2025-05-10 13:14:12,2.305,72.05,398372864,74.20
2025-05-10 13:14:17,2.305,72.05,398372864,74.20
