timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:34:10,1.771,55.34,495091712,92.22
2025-05-10 12:34:16,1.771,55.34,495091712,92.22
2025-05-10 12:34:21,1.771,55.34,495091712,92.22
2025-05-10 12:34:26,1.771,55.34,495091712,92.22
2025-05-10 12:34:32,1.771,55.34,495091712,92.22
2025-05-10 12:34:37,1.771,55.34,514985984,95.92
2025-05-10 12:34:42,1.834,57.31,514985984,95.92
2025-05-10 12:34:47,1.834,57.31,514985984,95.92
2025-05-10 12:34:53,1.834,57.31,514985984,95.92
2025-05-10 12:34:58,1.834,57.31,514985984,95.92
2025-05-10 12:35:03,1.834,57.31,514985984,95.92
2025-05-10 12:35:09,1.834,57.31,331735040,61.79
2025-05-10 12:35:14,1.497,46.80,331735040,61.79
2025-05-10 12:35:20,1.497,46.80,331735040,61.79
2025-05-10 12:35:25,1.497,46.80,331735040,61.79
2025-05-10 12:35:30,1.497,46.80,331735040,61.79
2025-05-10 12:35:35,1.497,46.80,331735040,61.79
2025-05-10 12:35:41,2.182,68.17,530415616,98.80
2025-05-10 12:35:46,2.182,68.17,530415616,98.80
2025-05-10 12:35:51,2.182,68.17,530415616,98.80
2025-05-10 12:35:57,2.182,68.17,530415616,98.80
2025-05-10 12:36:02,2.182,68.17,530415616,98.80
2025-05-10 12:36:07,2.182,68.17,182628352,34.02
2025-05-10 12:36:13,1.680,52.49,182628352,34.02
2025-05-10 12:36:18,1.680,52.49,182628352,34.02
2025-05-10 12:36:23,1.680,52.49,182628352,34.02
2025-05-10 12:36:29,1.680,52.49,182628352,34.02
2025-05-10 12:36:34,1.680,52.49,182628352,34.02
2025-05-10 12:36:39,1.680,52.49,490115072,91.29
2025-05-10 12:36:45,2.204,68.89,490115072,91.29
2025-05-10 12:36:50,2.204,68.89,490115072,91.29
2025-05-10 12:36:55,2.204,68.89,490115072,91.29
2025-05-10 12:37:01,2.204,68.89,490115072,91.29
2025-05-10 12:37:06,2.204,68.89,490115072,91.29
2025-05-10 12:37:11,1.881,58.77,502980608,93.69
