timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 14:50:31,1.757,56.67,445710336,83.02
2025-05-14 14:50:36,1.757,56.67,445710336,83.02
2025-05-14 14:50:42,1.757,56.67,445710336,83.02
2025-05-14 14:50:47,1.757,56.67,445710336,83.02
2025-05-14 14:50:52,1.757,56.67,445710336,83.02
2025-05-14 14:50:57,1.757,56.67,325619712,60.65
2025-05-14 14:51:02,2.138,68.98,325619712,60.65
2025-05-14 14:51:07,2.138,68.98,325619712,60.65
2025-05-14 14:51:13,2.138,68.98,325619712,60.65
2025-05-14 14:51:18,2.138,68.98,325619712,60.65
2025-05-14 14:51:23,2.138,68.98,393510912,73.30
2025-05-14 14:51:28,1.992,64.27,393510912,73.30
2025-05-14 14:51:33,1.992,64.27,393510912,73.30
2025-05-14 14:51:38,1.992,64.27,393510912,73.30
2025-05-14 14:51:44,1.992,64.27,393510912,73.30
2025-05-14 14:51:49,1.992,64.27,393510912,73.30
2025-05-14 14:51:54,1.992,64.27,453910528,84.55
2025-05-14 14:51:59,1.345,43.40,453910528,84.55
2025-05-14 14:52:04,1.345,43.40,453910528,84.55
2025-05-14 14:52:09,1.345,43.40,453910528,84.55
2025-05-14 14:52:14,1.345,43.40,453910528,84.55
2025-05-14 14:52:20,1.345,43.40,453910528,84.55
2025-05-14 14:52:25,1.345,43.40,430243840,80.14
2025-05-14 14:52:30,2.170,70.01,430243840,80.14
2025-05-14 14:52:35,2.170,70.01,430243840,80.14
2025-05-14 14:52:40,2.170,70.01,430243840,80.14
2025-05-14 14:52:45,2.170,70.01,430243840,80.14
2025-05-14 14:52:50,2.170,70.01,430243840,80.14
2025-05-14 14:52:56,2.170,70.01,453783552,84.52
2025-05-14 14:53:01,1.694,54.66,453783552,84.52
2025-05-14 14:53:06,1.694,54.66,453783552,84.52
2025-05-14 14:53:11,1.694,54.66,453783552,84.52
2025-05-14 14:53:16,1.694,54.66,453783552,84.52
2025-05-14 14:53:21,1.694,54.66,453783552,84.52
2025-05-14 14:53:27,1.694,54.66,281116672,52.36
2025-05-14 14:53:32,1.445,46.62,281116672,52.36
2025-05-14 14:53:37,1.445,46.62,281116672,52.36
