timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 00:21:45,0.369,73.74,54435840,40.56
2025-05-09 00:21:51,0.369,73.74,54980608,40.96
2025-05-09 00:21:56,0.369,73.74,54980608,40.96
2025-05-09 00:22:01,0.369,73.74,54980608,40.96
2025-05-09 00:22:07,0.369,73.74,54980608,40.96
2025-05-09 00:22:12,0.369,73.74,54980608,40.96
2025-05-09 00:22:17,0.293,58.56,54980608,40.96
2025-05-09 00:22:22,0.293,58.56,56389632,42.01
2025-05-09 00:22:28,0.293,58.56,56389632,42.01
2025-05-09 00:22:33,0.293,58.56,56389632,42.01
2025-05-09 00:22:38,0.293,58.56,56389632,42.01
2025-05-09 00:22:44,0.363,72.55,56389632,42.01
2025-05-09 00:22:49,0.363,72.55,56389632,42.01
2025-05-09 00:22:54,0.363,72.55,56115200,41.81
2025-05-09 00:22:59,0.363,72.55,56115200,41.81
2025-05-09 00:23:05,0.363,72.55,56115200,41.81
2025-05-09 00:23:10,0.363,72.55,56115200,41.81
2025-05-09 00:23:15,0.375,74.95,56115200,41.81
2025-05-09 00:23:21,0.375,74.95,56963072,42.44
2025-05-09 00:23:26,0.375,74.95,56963072,42.44
2025-05-09 00:23:31,0.375,74.95,56963072,42.44
2025-05-09 00:23:36,0.375,74.95,56963072,42.44
2025-05-09 00:23:42,0.375,74.95,56963072,42.44
2025-05-09 00:23:47,0.450,89.94,56963072,42.44
2025-05-09 00:23:52,0.450,89.94,56115200,41.81
2025-05-09 00:23:57,0.450,89.94,56115200,41.81
2025-05-09 00:24:03,0.450,89.94,56115200,41.81
2025-05-09 00:24:08,0.450,89.94,56115200,41.81
2025-05-09 00:24:13,0.632,126.49,56115200,41.81
2025-05-09 00:24:19,0.632,126.49,56115200,41.81
2025-05-09 00:24:24,0.632,126.49,56115200,41.81
2025-05-09 00:24:29,0.632,126.49,56115200,41.81
2025-05-09 00:24:34,0.632,126.49,56115200,41.81
2025-05-09 00:24:40,0.632,126.49,56115200,41.81
2025-05-09 00:24:45,0.415,83.05,56115200,41.81
2025-05-09 00:24:50,0.415,83.05,56115200,41.81
2025-05-09 00:24:56,0.415,83.05,56115200,41.81
2025-05-09 00:25:01,0.415,83.05,56115200,41.81
2025-05-09 00:25:06,0.415,83.05,56115200,41.81
2025-05-09 00:25:11,0.415,83.05,56115200,41.81
2025-05-09 00:25:17,0.148,29.68,56115200,41.81
2025-05-09 00:25:22,0.148,29.68,55566336,41.40
2025-05-09 00:25:27,0.148,29.68,55566336,41.40
