timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 00:21:13,0.354,70.70,56246272,41.91
2025-05-09 00:21:19,0.354,70.70,56246272,41.91
2025-05-09 00:21:24,0.354,70.70,56246272,41.91
2025-05-09 00:21:29,0.354,70.70,56246272,41.91
2025-05-09 00:21:35,0.354,70.70,56246272,41.91
2025-05-09 00:21:40,0.354,70.70,56246272,41.91
2025-05-09 00:21:45,0.434,86.87,56246272,41.91
2025-05-09 00:21:51,0.434,86.87,56246272,41.91
2025-05-09 00:21:56,0.434,86.87,56246272,41.91
2025-05-09 00:22:01,0.434,86.87,56246272,41.91
2025-05-09 00:22:07,0.434,86.87,56246272,41.91
2025-05-09 00:22:12,0.434,86.87,56246272,41.91
2025-05-09 00:22:17,0.299,59.81,56246272,41.91
2025-05-09 00:22:22,0.299,59.81,56246272,41.91
2025-05-09 00:22:28,0.299,59.81,56246272,41.91
2025-05-09 00:22:33,0.299,59.81,56246272,41.91
2025-05-09 00:22:38,0.299,59.81,56246272,41.91
2025-05-09 00:22:44,0.441,88.29,56659968,42.21
2025-05-09 00:22:49,0.441,88.29,56659968,42.21
2025-05-09 00:22:54,0.441,88.29,56659968,42.21
2025-05-09 00:22:59,0.441,88.29,56659968,42.21
2025-05-09 00:23:05,0.441,88.29,56659968,42.21
2025-05-09 00:23:10,0.441,88.29,56659968,42.21
2025-05-09 00:23:15,0.278,55.65,56483840,42.08
2025-05-09 00:23:21,0.278,55.65,56483840,42.08
2025-05-09 00:23:26,0.278,55.65,56483840,42.08
2025-05-09 00:23:31,0.278,55.65,56483840,42.08
2025-05-09 00:23:36,0.278,55.65,56483840,42.08
2025-05-09 00:23:42,0.278,55.65,56729600,42.27
2025-05-09 00:23:47,0.482,96.43,56729600,42.27
2025-05-09 00:23:52,0.482,96.43,56729600,42.27
2025-05-09 00:23:57,0.482,96.43,56729600,42.27
2025-05-09 00:24:03,0.482,96.43,56729600,42.27
2025-05-09 00:24:08,0.482,96.43,56729600,42.27
2025-05-09 00:24:13,0.470,93.96,56254464,41.91
2025-05-09 00:24:19,0.470,93.96,56254464,41.91
2025-05-09 00:24:24,0.470,93.96,56254464,41.91
2025-05-09 00:24:29,0.470,93.96,56254464,41.91
2025-05-09 00:24:34,0.470,93.96,56254464,41.91
2025-05-09 00:24:40,0.470,93.96,56254464,41.91
2025-05-09 00:24:45,0.404,80.87,56881152,42.38
2025-05-09 00:24:50,0.404,80.87,56881152,42.38
2025-05-09 00:24:56,0.404,80.87,56881152,42.38
2025-05-09 00:25:01,0.404,80.87,56881152,42.38
2025-05-09 00:25:06,0.404,80.87,56881152,42.38
2025-05-09 00:25:11,0.404,80.87,56279040,41.93
2025-05-09 00:25:17,0.400,79.97,56279040,41.93
2025-05-09 00:25:22,0.400,79.97,56279040,41.93
2025-05-09 00:25:27,0.400,79.97,56279040,41.93
2025-05-09 00:25:33,0.400,79.97,56279040,41.93
2025-05-09 00:25:38,0.400,79.97,56279040,41.93
