timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 01:01:43,0.328,65.55,55287808,41.19
2025-05-09 01:01:48,0.328,65.55,55287808,41.19
2025-05-09 01:01:54,0.328,65.55,54964224,40.95
2025-05-09 01:01:59,0.328,65.55,54964224,40.95
2025-05-09 01:02:05,0.328,65.55,54964224,40.95
2025-05-09 01:02:10,0.328,65.55,54964224,40.95
2025-05-09 01:02:16,0.462,92.46,54964224,40.95
2025-05-09 01:02:21,0.462,92.46,56258560,41.92
2025-05-09 01:02:27,0.462,92.46,56258560,41.92
2025-05-09 01:02:32,0.462,92.46,56258560,41.92
2025-05-09 01:02:38,0.462,92.46,56258560,41.92
2025-05-09 01:02:43,0.422,84.31,56258560,41.92
2025-05-09 01:02:49,0.422,84.31,56258560,41.92
2025-05-09 01:02:54,0.422,84.31,57401344,42.77
2025-05-09 01:03:00,0.422,84.31,57401344,42.77
2025-05-09 01:03:06,0.422,84.31,57401344,42.77
2025-05-09 01:03:11,0.422,84.31,57401344,42.77
2025-05-09 01:03:17,0.553,110.65,57401344,42.77
2025-05-09 01:03:22,0.553,110.65,56688640,42.24
2025-05-09 01:03:28,0.553,110.65,56688640,42.24
2025-05-09 01:03:33,0.553,110.65,56688640,42.24
2025-05-09 01:03:39,0.553,110.65,56688640,42.24
2025-05-09 01:03:44,0.291,58.23,56688640,42.24
2025-05-09 01:03:52,0.291,58.23,57118720,42.56
2025-05-09 01:03:58,0.291,58.23,57118720,42.56
2025-05-09 01:04:04,0.291,58.23,57118720,42.56
2025-05-09 01:04:09,0.291,58.23,57118720,42.56
2025-05-09 01:04:15,0.649,129.89,57118720,42.56
2025-05-09 01:04:20,0.649,129.89,56979456,42.45
2025-05-09 01:04:26,0.649,129.89,56979456,42.45
2025-05-09 01:04:31,0.649,129.89,56979456,42.45
2025-05-09 01:04:37,0.649,129.89,56979456,42.45
2025-05-09 01:04:42,0.649,129.89,56979456,42.45
2025-05-09 01:04:48,0.221,44.24,56979456,42.45
2025-05-09 01:04:53,0.221,44.24,56860672,42.36
2025-05-09 01:04:59,0.221,44.24,56860672,42.36
2025-05-09 01:05:04,0.221,44.24,56860672,42.36
2025-05-09 01:05:10,0.221,44.24,56860672,42.36
2025-05-09 01:05:15,0.568,113.53,56860672,42.36
2025-05-09 01:05:21,0.568,113.53,57503744,42.84
2025-05-09 01:05:27,0.568,113.53,57503744,42.84
2025-05-09 01:05:32,0.568,113.53,57503744,42.84
2025-05-09 01:05:37,0.568,113.53,57503744,42.84
2025-05-09 01:05:43,0.343,68.52,57503744,42.84
