timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 00:21:45,0.376,75.16,56500224,42.10
2025-05-09 00:21:51,0.376,75.16,57270272,42.67
2025-05-09 00:21:56,0.376,75.16,57270272,42.67
2025-05-09 00:22:01,0.376,75.16,57270272,42.67
2025-05-09 00:22:07,0.376,75.16,57270272,42.67
2025-05-09 00:22:12,0.376,75.16,57270272,42.67
2025-05-09 00:22:17,0.207,41.40,57270272,42.67
2025-05-09 00:22:22,0.207,41.40,56475648,42.08
2025-05-09 00:22:28,0.207,41.40,56475648,42.08
2025-05-09 00:22:33,0.207,41.40,56475648,42.08
2025-05-09 00:22:38,0.207,41.40,56475648,42.08
2025-05-09 00:22:44,0.612,122.44,56475648,42.08
2025-05-09 00:22:49,0.612,122.44,56475648,42.08
2025-05-09 00:22:54,0.612,122.44,56631296,42.19
2025-05-09 00:22:59,0.612,122.44,56631296,42.19
2025-05-09 00:23:05,0.612,122.44,56631296,42.19
2025-05-09 00:23:10,0.612,122.44,56631296,42.19
2025-05-09 00:23:15,0.436,87.20,56631296,42.19
2025-05-09 00:23:21,0.436,87.20,56893440,42.39
2025-05-09 00:23:26,0.436,87.20,56893440,42.39
2025-05-09 00:23:31,0.436,87.20,56893440,42.39
2025-05-09 00:23:36,0.436,87.20,56893440,42.39
2025-05-09 00:23:42,0.436,87.20,56893440,42.39
2025-05-09 00:23:47,0.405,81.05,56893440,42.39
2025-05-09 00:23:52,0.405,81.05,57180160,42.60
2025-05-09 00:23:57,0.405,81.05,57180160,42.60
2025-05-09 00:24:03,0.405,81.05,57180160,42.60
2025-05-09 00:24:08,0.405,81.05,57180160,42.60
2025-05-09 00:24:13,0.429,85.75,57180160,42.60
2025-05-09 00:24:19,0.429,85.75,57180160,42.60
2025-05-09 00:24:24,0.429,85.75,56631296,42.19
2025-05-09 00:24:29,0.429,85.75,56631296,42.19
2025-05-09 00:24:34,0.429,85.75,56631296,42.19
2025-05-09 00:24:40,0.429,85.75,56631296,42.19
2025-05-09 00:24:45,0.247,49.32,56631296,42.19
2025-05-09 00:24:50,0.247,49.32,56807424,42.32
2025-05-09 00:24:56,0.247,49.32,56807424,42.32
2025-05-09 00:25:01,0.247,49.32,56807424,42.32
2025-05-09 00:25:06,0.247,49.32,56807424,42.32
2025-05-09 00:25:11,0.247,49.32,56807424,42.32
2025-05-09 00:25:17,0.506,101.22,56807424,42.32
2025-05-09 00:25:22,0.506,101.22,56631296,42.19
2025-05-09 00:25:27,0.506,101.22,56631296,42.19
2025-05-09 00:25:33,0.506,101.22,56631296,42.19
2025-05-09 00:25:38,0.506,101.22,56631296,42.19
2025-05-09 00:25:43,0.294,58.86,56631296,42.19
2025-05-09 00:25:49,0.294,58.86,56631296,42.19
2025-05-09 00:25:54,0.294,58.86,56057856,41.77
2025-05-09 00:25:59,0.294,58.86,56057856,41.77
2025-05-09 00:26:04,0.294,58.86,56057856,41.77
2025-05-09 00:26:10,0.294,58.86,56057856,41.77
2025-05-09 00:26:15,0.259,51.74,56057856,41.77
2025-05-09 00:26:20,0.259,51.74,55754752,41.54
2025-05-09 00:26:26,0.259,51.74,55754752,41.54
2025-05-09 00:26:31,0.259,51.74,55754752,41.54
2025-05-09 00:26:36,0.259,51.74,55754752,41.54
2025-05-09 00:26:41,0.259,51.74,55754752,41.54
2025-05-09 00:26:47,0.188,37.55,55754752,41.54
2025-05-09 00:26:52,0.188,37.55,55754752,41.54
2025-05-09 00:26:57,0.188,37.55,55754752,41.54
2025-05-09 00:27:03,0.188,37.55,55754752,41.54
2025-05-09 00:27:08,0.188,37.55,55754752,41.54
2025-05-09 00:27:13,0.182,36.44,55754752,41.54
2025-05-09 00:27:19,0.182,36.44,55754752,41.54
2025-05-09 00:27:24,0.182,36.44,55717888,41.51
2025-05-09 00:27:29,0.182,36.44,55717888,41.51
2025-05-09 00:27:35,0.182,36.44,55717888,41.51
2025-05-09 00:27:40,0.182,36.44,55717888,41.51
2025-05-09 00:27:45,0.163,32.56,55717888,41.51
2025-05-09 00:27:50,0.163,32.56,55676928,41.48
2025-05-09 00:27:56,0.163,32.56,55676928,41.48
2025-05-09 00:28:01,0.163,32.56,55676928,41.48
2025-05-09 00:28:06,0.163,32.56,55676928,41.48
2025-05-09 00:28:12,0.163,32.56,55676928,41.48
2025-05-09 00:28:17,0.145,28.95,55676928,41.48
2025-05-09 00:28:22,0.145,28.95,56004608,41.73
2025-05-09 00:28:27,0.145,28.95,56004608,41.73
2025-05-09 00:28:33,0.145,28.95,56004608,41.73
2025-05-09 00:28:38,0.145,28.95,56004608,41.73
2025-05-09 00:28:43,0.120,24.06,56004608,41.73
2025-05-09 00:28:48,0.120,24.06,56004608,41.73
2025-05-09 00:28:54,0.120,24.06,55676928,41.48
2025-05-09 00:28:59,0.120,24.06,55676928,41.48
2025-05-09 00:29:05,0.120,24.06,55676928,41.48
2025-05-09 00:29:10,0.120,24.06,55676928,41.48
2025-05-09 00:29:15,0.110,22.07,55676928,41.48
2025-05-09 00:29:20,0.110,22.07,55676928,41.48
2025-05-09 00:29:26,0.110,22.07,55676928,41.48
2025-05-09 00:29:31,0.110,22.07,55676928,41.48
2025-05-09 00:29:36,0.110,22.07,55676928,41.48
2025-05-09 00:29:42,0.110,22.07,55676928,41.48
2025-05-09 00:29:47,0.169,33.81,55676928,41.48
2025-05-09 00:29:52,0.169,33.81,55746560,41.53
2025-05-09 00:29:57,0.169,33.81,55746560,41.53
2025-05-09 00:30:03,0.169,33.81,55746560,41.53
2025-05-09 00:30:08,0.169,33.81,55746560,41.53
2025-05-09 00:30:13,0.232,46.46,55746560,41.53
2025-05-09 00:30:18,0.232,46.46,55746560,41.53
2025-05-09 00:30:24,0.232,46.46,55791616,41.57
2025-05-09 00:30:29,0.232,46.46,55791616,41.57
2025-05-09 00:30:34,0.232,46.46,55791616,41.57
2025-05-09 00:30:40,0.232,46.46,55791616,41.57
2025-05-09 00:30:45,0.129,25.75,55791616,41.57
2025-05-09 00:30:50,0.129,25.75,55906304,41.65
2025-05-09 00:30:55,0.129,25.75,55906304,41.65
2025-05-09 00:31:01,0.129,25.75,55906304,41.65
2025-05-09 00:31:06,0.129,25.75,55906304,41.65
2025-05-09 00:31:11,0.129,25.75,55906304,41.65
2025-05-09 00:31:17,0.245,49.04,55906304,41.65
2025-05-09 00:31:22,0.245,49.04,56741888,42.28
2025-05-09 00:31:27,0.245,49.04,56741888,42.28
2025-05-09 00:31:32,0.245,49.04,56741888,42.28
2025-05-09 00:31:38,0.245,49.04,56741888,42.28
2025-05-09 00:31:43,0.424,84.88,56741888,42.28
2025-05-09 00:31:48,0.424,84.88,56741888,42.28
2025-05-09 00:31:54,0.424,84.88,56324096,41.96
2025-05-09 00:31:59,0.424,84.88,56324096,41.96
2025-05-09 00:32:04,0.424,84.88,56324096,41.96
2025-05-09 00:32:10,0.424,84.88,56324096,41.96
2025-05-09 00:32:15,0.396,79.21,56324096,41.96
2025-05-09 00:32:20,0.396,79.21,56508416,42.10
2025-05-09 00:32:26,0.396,79.21,56508416,42.10
2025-05-09 00:32:31,0.396,79.21,56508416,42.10
2025-05-09 00:32:36,0.396,79.21,56508416,42.10
2025-05-09 00:32:42,0.396,79.21,56508416,42.10
2025-05-09 00:32:47,0.415,83.04,56508416,42.10
2025-05-09 00:32:52,0.415,83.04,57012224,42.48
2025-05-09 00:32:58,0.415,83.04,57012224,42.48
2025-05-09 00:33:03,0.415,83.04,57012224,42.48
2025-05-09 00:33:08,0.415,83.04,57012224,42.48
2025-05-09 00:33:13,0.470,93.97,57012224,42.48
2025-05-09 00:33:19,0.470,93.97,57012224,42.48
2025-05-09 00:33:24,0.470,93.97,57229312,42.64
2025-05-09 00:33:29,0.470,93.97,57229312,42.64
2025-05-09 00:33:35,0.470,93.97,57229312,42.64
2025-05-09 00:33:40,0.470,93.97,57229312,42.64
2025-05-09 00:33:45,0.507,101.34,57229312,42.64
2025-05-09 00:33:51,0.507,101.34,57700352,42.99
2025-05-09 00:33:56,0.507,101.34,57700352,42.99
2025-05-09 00:34:01,0.507,101.34,57700352,42.99
2025-05-09 00:34:07,0.507,101.34,57700352,42.99
2025-05-09 00:34:12,0.507,101.34,57700352,42.99
2025-05-09 00:34:17,0.367,73.38,57700352,42.99
2025-05-09 00:34:23,0.367,73.38,56737792,42.27
2025-05-09 00:34:28,0.367,73.38,56737792,42.27
2025-05-09 00:34:33,0.367,73.38,56737792,42.27
2025-05-09 00:34:39,0.367,73.38,56737792,42.27
2025-05-09 00:34:44,0.516,103.24,56737792,42.27
2025-05-09 00:34:49,0.516,103.24,56737792,42.27
2025-05-09 00:34:54,0.516,103.24,57102336,42.54
2025-05-09 00:35:00,0.516,103.24,57102336,42.54
2025-05-09 00:35:05,0.516,103.24,57102336,42.54
2025-05-09 00:35:10,0.516,103.24,57102336,42.54
2025-05-09 00:35:16,0.366,73.13,57102336,42.54
2025-05-09 00:35:21,0.366,73.13,56000512,41.72
2025-05-09 00:35:26,0.366,73.13,56000512,41.72
2025-05-09 00:35:32,0.366,73.13,56000512,41.72
2025-05-09 00:35:37,0.366,73.13,56000512,41.72
2025-05-09 00:35:42,0.366,73.13,56000512,41.72
2025-05-09 00:35:47,0.549,109.84,56000512,41.72
2025-05-09 00:35:53,0.549,109.84,55877632,41.63
2025-05-09 00:35:58,0.549,109.84,55877632,41.63
2025-05-09 00:36:03,0.549,109.84,55877632,41.63
2025-05-09 00:36:09,0.549,109.84,55877632,41.63
2025-05-09 00:36:14,0.186,37.24,55877632,41.63
2025-05-09 00:36:19,0.186,37.24,55877632,41.63
2025-05-09 00:36:25,0.186,37.24,55779328,41.56
2025-05-09 00:36:30,0.186,37.24,55779328,41.56
2025-05-09 00:36:35,0.186,37.24,55779328,41.56
2025-05-09 00:36:41,0.186,37.24,55779328,41.56
2025-05-09 00:36:46,0.326,65.15,55779328,41.56
2025-05-09 00:36:52,0.326,65.15,55705600,41.50
2025-05-09 00:36:57,0.326,65.15,55705600,41.50
2025-05-09 00:37:02,0.326,65.15,55705600,41.50
2025-05-09 00:37:08,0.326,65.15,55705600,41.50
2025-05-09 00:37:13,0.229,45.81,55705600,41.50
2025-05-09 00:37:18,0.229,45.81,55705600,41.50
2025-05-09 00:37:24,0.229,45.81,55808000,41.58
2025-05-09 00:37:29,0.229,45.81,55808000,41.58
2025-05-09 00:37:34,0.229,45.81,55808000,41.58
2025-05-09 00:37:39,0.229,45.81,55808000,41.58
2025-05-09 00:37:45,0.247,49.41,55808000,41.58
2025-05-09 00:37:50,0.247,49.41,55808000,41.58
2025-05-09 00:37:55,0.247,49.41,55808000,41.58
2025-05-09 00:38:01,0.247,49.41,55808000,41.58
2025-05-09 00:38:06,0.247,49.41,55808000,41.58
2025-05-09 00:38:12,0.247,49.41,55808000,41.58
2025-05-09 00:38:17,0.205,41.01,55808000,41.58
2025-05-09 00:38:23,0.205,41.01,55808000,41.58
2025-05-09 00:38:28,0.205,41.01,55808000,41.58
2025-05-09 00:38:33,0.205,41.01,55808000,41.58
2025-05-09 00:38:39,0.205,41.01,55808000,41.58
2025-05-09 00:38:44,0.188,37.70,55808000,41.58
2025-05-09 00:38:49,0.188,37.70,55808000,41.58
2025-05-09 00:38:55,0.188,37.70,55894016,41.64
2025-05-09 00:39:00,0.188,37.70,55894016,41.64
2025-05-09 00:39:05,0.188,37.70,55894016,41.64
2025-05-09 00:39:11,0.188,37.70,55894016,41.64
2025-05-09 00:39:16,0.158,31.54,55894016,41.64
2025-05-09 00:39:21,0.158,31.54,55984128,41.71
2025-05-09 00:39:27,0.158,31.54,55984128,41.71
2025-05-09 00:39:32,0.158,31.54,55984128,41.71
2025-05-09 00:39:37,0.158,31.54,55984128,41.71
2025-05-09 00:39:42,0.249,49.79,55984128,41.71
2025-05-09 00:39:48,0.249,49.79,55984128,41.71
2025-05-09 00:39:53,0.249,49.79,56127488,41.82
2025-05-09 00:39:58,0.249,49.79,56127488,41.82
2025-05-09 00:40:04,0.249,49.79,56127488,41.82
2025-05-09 00:40:09,0.249,49.79,56127488,41.82
2025-05-09 00:40:14,0.143,28.59,56127488,41.82
2025-05-09 00:40:20,0.143,28.59,56127488,41.82
2025-05-09 00:40:25,0.143,28.59,55869440,41.63
2025-05-09 00:40:30,0.143,28.59,55869440,41.63
2025-05-09 00:40:36,0.143,28.59,55869440,41.63
2025-05-09 00:40:41,0.143,28.59,55869440,41.63
2025-05-09 00:40:47,0.280,56.03,55869440,41.63
2025-05-09 00:40:52,0.280,56.03,55910400,41.66
