timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 00:21:13,0.476,95.27,56954880,42.43
2025-05-09 00:21:19,0.476,95.27,56954880,42.43
2025-05-09 00:21:24,0.476,95.27,56954880,42.43
2025-05-09 00:21:29,0.476,95.27,56954880,42.43
2025-05-09 00:21:35,0.476,95.27,56954880,42.43
2025-05-09 00:21:40,0.476,95.27,56193024,41.87
2025-05-09 00:21:45,0.270,53.92,56193024,41.87
2025-05-09 00:21:51,0.270,53.92,56193024,41.87
2025-05-09 00:21:56,0.270,53.92,56193024,41.87
2025-05-09 00:22:01,0.270,53.92,56193024,41.87
2025-05-09 00:22:07,0.270,53.92,56193024,41.87
2025-05-09 00:22:12,0.270,53.92,56631296,42.19
2025-05-09 00:22:17,0.456,91.22,56631296,42.19
2025-05-09 00:22:22,0.456,91.22,56631296,42.19
2025-05-09 00:22:28,0.456,91.22,56631296,42.19
2025-05-09 00:22:33,0.456,91.22,56631296,42.19
2025-05-09 00:22:38,0.456,91.22,57241600,42.65
2025-05-09 00:22:44,0.663,132.52,57241600,42.65
2025-05-09 00:22:49,0.663,132.52,57241600,42.65
2025-05-09 00:22:54,0.663,132.52,57241600,42.65
2025-05-09 00:22:59,0.663,132.52,57241600,42.65
2025-05-09 00:23:05,0.663,132.52,57241600,42.65
2025-05-09 00:23:10,0.663,132.52,57110528,42.55
2025-05-09 00:23:15,0.300,59.96,57110528,42.55
2025-05-09 00:23:21,0.300,59.96,57110528,42.55
2025-05-09 00:23:26,0.300,59.96,57110528,42.55
2025-05-09 00:23:31,0.300,59.96,57110528,42.55
2025-05-09 00:23:36,0.300,59.96,57110528,42.55
2025-05-09 00:23:42,0.300,59.96,57827328,43.08
2025-05-09 00:23:47,0.648,129.66,57827328,43.08
2025-05-09 00:23:52,0.648,129.66,57827328,43.08
2025-05-09 00:23:57,0.648,129.66,57827328,43.08
2025-05-09 00:24:03,0.648,129.66,57827328,43.08
2025-05-09 00:24:08,0.648,129.66,57827328,43.08
2025-05-09 00:24:13,0.495,98.98,57585664,42.90
2025-05-09 00:24:19,0.495,98.98,57585664,42.90
2025-05-09 00:24:24,0.495,98.98,57585664,42.90
2025-05-09 00:24:29,0.495,98.98,57585664,42.90
2025-05-09 00:24:34,0.495,98.98,57585664,42.90
2025-05-09 00:24:40,0.495,98.98,57585664,42.90
2025-05-09 00:24:45,0.228,45.70,57585664,42.90
2025-05-09 00:24:50,0.228,45.70,57585664,42.90
2025-05-09 00:24:56,0.228,45.70,57585664,42.90
2025-05-09 00:25:01,0.228,45.70,57585664,42.90
2025-05-09 00:25:06,0.228,45.70,57585664,42.90
2025-05-09 00:25:11,0.228,45.70,57585664,42.90
2025-05-09 00:25:17,0.474,94.86,57585664,42.90
2025-05-09 00:25:22,0.474,94.86,57585664,42.90
2025-05-09 00:25:27,0.474,94.86,57585664,42.90
2025-05-09 00:25:33,0.474,94.86,57585664,42.90
2025-05-09 00:25:38,0.474,94.86,57585664,42.90
2025-05-09 00:25:43,0.409,81.80,57585664,42.90
2025-05-09 00:25:49,0.409,81.80,57585664,42.90
2025-05-09 00:25:54,0.409,81.80,57585664,42.90
2025-05-09 00:25:59,0.409,81.80,57585664,42.90
2025-05-09 00:26:04,0.409,81.80,57585664,42.90
2025-05-09 00:26:10,0.409,81.80,57585664,42.90
2025-05-09 00:26:15,0.274,54.78,57585664,42.90
2025-05-09 00:26:20,0.274,54.78,57585664,42.90
2025-05-09 00:26:26,0.274,54.78,57585664,42.90
2025-05-09 00:26:31,0.274,54.78,57585664,42.90
2025-05-09 00:26:36,0.274,54.78,57585664,42.90
2025-05-09 00:26:41,0.274,54.78,57532416,42.86
2025-05-09 00:26:47,0.229,45.74,57532416,42.86
2025-05-09 00:26:52,0.229,45.74,57532416,42.86
2025-05-09 00:26:57,0.229,45.74,57532416,42.86
2025-05-09 00:27:03,0.229,45.74,57532416,42.86
2025-05-09 00:27:08,0.229,45.74,57532416,42.86
2025-05-09 00:27:13,0.178,35.63,57008128,42.47
2025-05-09 00:27:19,0.178,35.63,57008128,42.47
2025-05-09 00:27:24,0.178,35.63,57008128,42.47
