timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 00:21:13,0.368,73.50,57008128,42.47
2025-05-09 00:21:19,0.368,73.50,57008128,42.47
2025-05-09 00:21:24,0.368,73.50,57008128,42.47
2025-05-09 00:21:29,0.368,73.50,57008128,42.47
2025-05-09 00:21:35,0.368,73.50,57008128,42.47
2025-05-09 00:21:40,0.368,73.50,57008128,42.47
2025-05-09 00:21:45,0.412,82.32,56262656,41.92
2025-05-09 00:21:51,0.412,82.32,56262656,41.92
2025-05-09 00:21:56,0.412,82.32,56262656,41.92
2025-05-09 00:22:01,0.412,82.32,56262656,41.92
2025-05-09 00:22:07,0.412,82.32,56262656,41.92
2025-05-09 00:22:12,0.412,82.32,56401920,42.02
2025-05-09 00:22:17,0.176,35.28,56401920,42.02
2025-05-09 00:22:22,0.176,35.28,56401920,42.02
2025-05-09 00:22:28,0.176,35.28,56401920,42.02
2025-05-09 00:22:33,0.176,35.28,56401920,42.02
2025-05-09 00:22:38,0.176,35.28,56401920,42.02
2025-05-09 00:22:44,0.663,132.68,56262656,41.92
2025-05-09 00:22:49,0.663,132.68,56262656,41.92
2025-05-09 00:22:54,0.663,132.68,56262656,41.92
2025-05-09 00:22:59,0.663,132.68,56262656,41.92
2025-05-09 00:23:05,0.663,132.68,56262656,41.92
2025-05-09 00:23:10,0.663,132.68,56262656,41.92
2025-05-09 00:23:15,0.353,70.53,56274944,41.93
2025-05-09 00:23:21,0.353,70.53,56274944,41.93
2025-05-09 00:23:26,0.353,70.53,56274944,41.93
2025-05-09 00:23:31,0.353,70.53,56274944,41.93
2025-05-09 00:23:36,0.353,70.53,56274944,41.93
2025-05-09 00:23:42,0.353,70.53,56283136,41.93
2025-05-09 00:23:47,0.360,71.91,56283136,41.93
2025-05-09 00:23:52,0.360,71.91,56283136,41.93
2025-05-09 00:23:57,0.360,71.91,56283136,41.93
2025-05-09 00:24:03,0.360,71.91,56283136,41.93
2025-05-09 00:24:08,0.360,71.91,56283136,41.93
2025-05-09 00:24:13,0.415,82.91,56274944,41.93
2025-05-09 00:24:19,0.415,82.91,56274944,41.93
2025-05-09 00:24:24,0.415,82.91,56274944,41.93
2025-05-09 00:24:29,0.415,82.91,56274944,41.93
2025-05-09 00:24:34,0.415,82.91,56274944,41.93
2025-05-09 00:24:40,0.415,82.91,56274944,41.93
2025-05-09 00:24:45,0.404,80.87,56537088,42.12
2025-05-09 00:24:50,0.404,80.87,56537088,42.12
2025-05-09 00:24:56,0.404,80.87,56537088,42.12
2025-05-09 00:25:01,0.404,80.87,56537088,42.12
2025-05-09 00:25:06,0.404,80.87,56537088,42.12
2025-05-09 00:25:11,0.404,80.87,56250368,41.91
2025-05-09 00:25:17,0.360,71.95,56250368,41.91
2025-05-09 00:25:22,0.360,71.95,56250368,41.91
2025-05-09 00:25:27,0.360,71.95,56250368,41.91
2025-05-09 00:25:33,0.360,71.95,56250368,41.91
2025-05-09 00:25:38,0.360,71.95,56250368,41.91
2025-05-09 00:25:43,0.230,46.00,55779328,41.56
2025-05-09 00:25:49,0.230,46.00,55779328,41.56
2025-05-09 00:25:54,0.230,46.00,55779328,41.56
2025-05-09 00:25:59,0.230,46.00,55779328,41.56
2025-05-09 00:26:04,0.230,46.00,55779328,41.56
2025-05-09 00:26:10,0.230,46.00,55779328,41.56
2025-05-09 00:26:15,0.231,46.12,55582720,41.41
2025-05-09 00:26:20,0.231,46.12,55582720,41.41
2025-05-09 00:26:26,0.231,46.12,55582720,41.41
2025-05-09 00:26:31,0.231,46.12,55582720,41.41
2025-05-09 00:26:36,0.231,46.12,55582720,41.41
2025-05-09 00:26:41,0.231,46.12,55664640,41.47
2025-05-09 00:26:47,0.283,56.66,55664640,41.47
2025-05-09 00:26:52,0.283,56.66,55664640,41.47
2025-05-09 00:26:57,0.283,56.66,55664640,41.47
2025-05-09 00:27:03,0.283,56.66,55664640,41.47
2025-05-09 00:27:08,0.283,56.66,55664640,41.47
2025-05-09 00:27:13,0.170,33.97,55574528,41.41
2025-05-09 00:27:19,0.170,33.97,55574528,41.41
2025-05-09 00:27:24,0.170,33.97,55574528,41.41
2025-05-09 00:27:29,0.170,33.97,55574528,41.41
2025-05-09 00:27:35,0.170,33.97,55574528,41.41
2025-05-09 00:27:40,0.170,33.97,55574528,41.41
2025-05-09 00:27:45,0.140,28.02,55574528,41.41
2025-05-09 00:27:50,0.140,28.02,55574528,41.41
2025-05-09 00:27:56,0.140,28.02,55574528,41.41
2025-05-09 00:28:01,0.140,28.02,55574528,41.41
2025-05-09 00:28:06,0.140,28.02,55574528,41.41
2025-05-09 00:28:12,0.140,28.02,55861248,41.62
2025-05-09 00:28:17,0.158,31.53,55861248,41.62
2025-05-09 00:28:22,0.158,31.53,55861248,41.62
2025-05-09 00:28:27,0.158,31.53,55861248,41.62
2025-05-09 00:28:33,0.158,31.53,55861248,41.62
2025-05-09 00:28:38,0.158,31.53,55861248,41.62
2025-05-09 00:28:43,0.086,17.21,55574528,41.41
2025-05-09 00:28:48,0.086,17.21,55574528,41.41
2025-05-09 00:28:54,0.086,17.21,55574528,41.41
2025-05-09 00:28:59,0.086,17.21,55574528,41.41
2025-05-09 00:29:05,0.086,17.21,55574528,41.41
2025-05-09 00:29:10,0.086,17.21,55574528,41.41
2025-05-09 00:29:15,0.151,30.11,55574528,41.41
2025-05-09 00:29:20,0.151,30.11,55574528,41.41
2025-05-09 00:29:26,0.151,30.11,55574528,41.41
2025-05-09 00:29:31,0.151,30.11,55574528,41.41
2025-05-09 00:29:36,0.151,30.11,55574528,41.41
2025-05-09 00:29:42,0.151,30.11,55574528,41.41
2025-05-09 00:29:47,0.208,41.61,55574528,41.41
2025-05-09 00:29:52,0.208,41.61,55574528,41.41
2025-05-09 00:29:57,0.208,41.61,55574528,41.41
2025-05-09 00:30:03,0.208,41.61,55574528,41.41
2025-05-09 00:30:08,0.208,41.61,55574528,41.41
2025-05-09 00:30:13,0.246,49.13,55574528,41.41
2025-05-09 00:30:18,0.246,49.13,55574528,41.41
2025-05-09 00:30:24,0.246,49.13,55574528,41.41
2025-05-09 00:30:29,0.246,49.13,55574528,41.41
2025-05-09 00:30:34,0.246,49.13,55574528,41.41
2025-05-09 00:30:40,0.246,49.13,55574528,41.41
2025-05-09 00:30:45,0.229,45.90,55627776,41.45
2025-05-09 00:30:50,0.229,45.90,55627776,41.45
2025-05-09 00:30:55,0.229,45.90,55627776,41.45
2025-05-09 00:31:01,0.229,45.90,55627776,41.45
2025-05-09 00:31:06,0.229,45.90,55627776,41.45
2025-05-09 00:31:11,0.229,45.90,55742464,41.53
2025-05-09 00:31:17,0.379,75.89,55742464,41.53
2025-05-09 00:31:22,0.379,75.89,55742464,41.53
2025-05-09 00:31:27,0.379,75.89,55742464,41.53
2025-05-09 00:31:32,0.379,75.89,55742464,41.53
2025-05-09 00:31:38,0.379,75.89,55742464,41.53
2025-05-09 00:31:43,0.448,89.50,56627200,42.19
2025-05-09 00:31:48,0.448,89.50,56627200,42.19
2025-05-09 00:31:54,0.448,89.50,56627200,42.19
2025-05-09 00:31:59,0.448,89.50,56627200,42.19
2025-05-09 00:32:04,0.448,89.50,56627200,42.19
2025-05-09 00:32:10,0.448,89.50,56627200,42.19
2025-05-09 00:32:15,0.507,101.44,56836096,42.35
2025-05-09 00:32:20,0.507,101.44,56836096,42.35
2025-05-09 00:32:26,0.507,101.44,56836096,42.35
2025-05-09 00:32:31,0.507,101.44,56836096,42.35
2025-05-09 00:32:36,0.507,101.44,56836096,42.35
2025-05-09 00:32:42,0.507,101.44,60882944,45.36
2025-05-09 00:32:47,0.569,113.85,60882944,45.36
2025-05-09 00:32:52,0.569,113.85,60882944,45.36
2025-05-09 00:32:58,0.569,113.85,60882944,45.36
2025-05-09 00:33:03,0.569,113.85,60882944,45.36
2025-05-09 00:33:08,0.569,113.85,60882944,45.36
2025-05-09 00:33:13,0.478,95.62,60833792,45.32
2025-05-09 00:33:19,0.478,95.62,60833792,45.32
2025-05-09 00:33:24,0.478,95.62,60833792,45.32
2025-05-09 00:33:29,0.478,95.62,60833792,45.32
2025-05-09 00:33:35,0.478,95.62,60833792,45.32
2025-05-09 00:33:40,0.478,95.62,60833792,45.32
2025-05-09 00:33:45,0.513,102.61,61104128,45.53
2025-05-09 00:33:51,0.513,102.61,61104128,45.53
2025-05-09 00:33:56,0.513,102.61,61104128,45.53
2025-05-09 00:34:01,0.513,102.61,61104128,45.53
2025-05-09 00:34:07,0.513,102.61,61104128,45.53
2025-05-09 00:34:12,0.513,102.61,60559360,45.12
2025-05-09 00:34:17,0.415,82.99,60559360,45.12
2025-05-09 00:34:23,0.415,82.99,60559360,45.12
2025-05-09 00:34:28,0.415,82.99,60559360,45.12
2025-05-09 00:34:33,0.415,82.99,60559360,45.12
2025-05-09 00:34:39,0.415,82.99,60559360,45.12
2025-05-09 00:34:44,0.452,90.45,60858368,45.34
2025-05-09 00:34:49,0.452,90.45,60858368,45.34
2025-05-09 00:34:54,0.452,90.45,60858368,45.34
2025-05-09 00:35:00,0.452,90.45,60858368,45.34
2025-05-09 00:35:05,0.452,90.45,60858368,45.34
2025-05-09 00:35:10,0.452,90.45,60858368,45.34
2025-05-09 00:35:16,0.409,81.78,60526592,45.10
2025-05-09 00:35:21,0.409,81.78,60526592,45.10
2025-05-09 00:35:26,0.409,81.78,60526592,45.10
2025-05-09 00:35:32,0.409,81.78,60526592,45.10
2025-05-09 00:35:37,0.409,81.78,60526592,45.10
2025-05-09 00:35:42,0.409,81.78,60878848,45.36
2025-05-09 00:35:47,0.469,93.83,60878848,45.36
2025-05-09 00:35:53,0.469,93.83,60878848,45.36
2025-05-09 00:35:58,0.469,93.83,60878848,45.36
2025-05-09 00:36:03,0.469,93.83,60878848,45.36
2025-05-09 00:36:09,0.469,93.83,60878848,45.36
2025-05-09 00:36:14,0.329,65.73,61050880,45.49
2025-05-09 00:36:19,0.329,65.73,61050880,45.49
2025-05-09 00:36:25,0.329,65.73,61050880,45.49
2025-05-09 00:36:30,0.329,65.73,61050880,45.49
2025-05-09 00:36:35,0.329,65.73,61050880,45.49
2025-05-09 00:36:41,0.329,65.73,60731392,45.25
2025-05-09 00:36:46,0.240,47.92,60731392,45.25
2025-05-09 00:36:52,0.240,47.92,60731392,45.25
2025-05-09 00:36:57,0.240,47.92,60731392,45.25
2025-05-09 00:37:02,0.240,47.92,60731392,45.25
2025-05-09 00:37:08,0.240,47.92,60731392,45.25
2025-05-09 00:37:13,0.182,36.46,60248064,44.89
2025-05-09 00:37:18,0.182,36.46,60248064,44.89
2025-05-09 00:37:24,0.182,36.46,60248064,44.89
2025-05-09 00:37:29,0.182,36.46,60248064,44.89
2025-05-09 00:37:34,0.182,36.46,60248064,44.89
2025-05-09 00:37:39,0.182,36.46,60248064,44.89
2025-05-09 00:37:45,0.204,40.80,59965440,44.68
2025-05-09 00:37:50,0.204,40.80,59965440,44.68
2025-05-09 00:37:55,0.204,40.80,59965440,44.68
2025-05-09 00:38:01,0.204,40.80,59965440,44.68
2025-05-09 00:38:06,0.204,40.80,59965440,44.68
2025-05-09 00:38:12,0.204,40.80,60166144,44.83
2025-05-09 00:38:17,0.186,37.24,60166144,44.83
2025-05-09 00:38:23,0.186,37.24,60166144,44.83
2025-05-09 00:38:28,0.186,37.24,60166144,44.83
2025-05-09 00:38:33,0.186,37.24,60166144,44.83
2025-05-09 00:38:39,0.186,37.24,60166144,44.83
