timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-09 01:01:16,0.371,74.26,58286080,43.43
2025-05-09 01:01:21,0.371,74.26,58286080,43.43
2025-05-09 01:01:26,0.371,74.26,58286080,43.43
2025-05-09 01:01:32,0.371,74.26,58286080,43.43
2025-05-09 01:01:37,0.371,74.26,58286080,43.43
2025-05-09 01:01:43,0.493,98.68,63201280,47.09
2025-05-09 01:01:48,0.493,98.68,63201280,47.09
2025-05-09 01:01:54,0.493,98.68,63201280,47.09
2025-05-09 01:01:59,0.493,98.68,63201280,47.09
2025-05-09 01:02:05,0.493,98.68,63201280,47.09
2025-05-09 01:02:10,0.493,98.68,62889984,46.86
2025-05-09 01:02:16,0.395,79.04,62889984,46.86
2025-05-09 01:02:21,0.395,79.04,62889984,46.86
2025-05-09 01:02:27,0.395,79.04,62889984,46.86
2025-05-09 01:02:32,0.395,79.04,62889984,46.86
2025-05-09 01:02:38,0.395,79.04,62889984,46.86
2025-05-09 01:02:43,0.528,105.68,63074304,46.99
2025-05-09 01:02:49,0.528,105.68,63074304,46.99
2025-05-09 01:02:54,0.528,105.68,63074304,46.99
2025-05-09 01:03:00,0.528,105.68,63074304,46.99
2025-05-09 01:03:06,0.528,105.68,63074304,46.99
2025-05-09 01:03:11,0.528,105.68,63283200,47.15
2025-05-09 01:03:17,0.491,98.22,63283200,47.15
2025-05-09 01:03:22,0.491,98.22,63283200,47.15
2025-05-09 01:03:28,0.491,98.22,63283200,47.15
2025-05-09 01:03:33,0.491,98.22,63283200,47.15
2025-05-09 01:03:39,0.491,98.22,63283200,47.15
2025-05-09 01:03:44,0.525,104.95,62636032,46.67
2025-05-09 01:03:52,0.525,104.95,62636032,46.67
2025-05-09 01:03:58,0.525,104.95,62636032,46.67
2025-05-09 01:04:04,0.525,104.95,62636032,46.67
2025-05-09 01:04:09,0.525,104.95,62636032,46.67
2025-05-09 01:04:15,0.344,68.90,62636032,46.67
2025-05-09 01:04:20,0.344,68.90,62636032,46.67
2025-05-09 01:04:26,0.344,68.90,62636032,46.67
2025-05-09 01:04:31,0.344,68.90,62636032,46.67
2025-05-09 01:04:37,0.344,68.90,62636032,46.67
2025-05-09 01:04:42,0.344,68.90,62443520,46.52
