timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:13:02,0.217,43.34,55144448,41.09
2025-05-14 15:13:07,0.217,43.34,55144448,41.09
2025-05-14 15:13:12,0.217,43.34,55144448,41.09
2025-05-14 15:13:18,0.217,43.34,55144448,41.09
2025-05-14 15:13:23,0.217,43.34,55144448,41.09
2025-05-14 15:13:28,0.259,51.73,55726080,41.52
2025-05-14 15:13:33,0.259,51.73,55726080,41.52
2025-05-14 15:13:39,0.259,51.73,55726080,41.52
2025-05-14 15:13:44,0.259,51.73,55726080,41.52
2025-05-14 15:13:49,0.259,51.73,55726080,41.52
2025-05-14 15:13:54,0.259,51.73,55726080,41.52
2025-05-14 15:14:00,0.268,53.54,55926784,41.67
2025-05-14 15:14:05,0.268,53.54,55926784,41.67
2025-05-14 15:14:10,0.268,53.54,55926784,41.67
2025-05-14 15:14:16,0.268,53.54,55926784,41.67
2025-05-14 15:14:21,0.268,53.54,55926784,41.67
2025-05-14 15:14:27,0.268,53.54,55926784,41.67
2025-05-14 15:14:32,0.288,57.56,56209408,41.88
2025-05-14 15:14:37,0.288,57.56,56209408,41.88
2025-05-14 15:14:42,0.288,57.56,56209408,41.88
2025-05-14 15:14:48,0.288,57.56,56209408,41.88
2025-05-14 15:14:53,0.288,57.56,56209408,41.88
2025-05-14 15:14:59,0.269,53.86,57221120,42.63
2025-05-14 15:15:04,0.269,53.86,57221120,42.63
2025-05-14 15:15:09,0.269,53.86,57221120,42.63
2025-05-14 15:15:15,0.269,53.86,57221120,42.63
2025-05-14 15:15:20,0.269,53.86,57221120,42.63
2025-05-14 15:15:25,0.269,53.86,57221120,42.63
2025-05-14 15:15:31,0.185,37.00,56897536,42.39
2025-05-14 15:15:36,0.185,37.00,56897536,42.39
2025-05-14 15:15:41,0.185,37.00,56897536,42.39
2025-05-14 15:15:47,0.185,37.00,56897536,42.39
2025-05-14 15:15:52,0.185,37.00,56897536,42.39
