timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:35:59,0.203,40.58,57405440,42.77
2025-05-14 15:36:05,0.203,40.58,57405440,42.77
2025-05-14 15:36:10,0.203,40.58,57405440,42.77
2025-05-14 15:36:15,0.203,40.58,57405440,42.77
2025-05-14 15:36:20,0.203,40.58,57405440,42.77
2025-05-14 15:36:26,0.203,40.58,57556992,42.88
2025-05-14 15:36:31,0.556,111.22,57556992,42.88
2025-05-14 15:36:36,0.556,111.22,57556992,42.88
2025-05-14 15:36:41,0.556,111.22,57556992,42.88
2025-05-14 15:36:47,0.556,111.22,57556992,42.88
2025-05-14 15:36:52,0.556,111.22,57556992,42.88
2025-05-14 15:36:57,0.283,56.63,58695680,43.73
2025-05-14 15:37:02,0.283,56.63,58695680,43.73
2025-05-14 15:37:08,0.283,56.63,58695680,43.73
2025-05-14 15:37:13,0.283,56.63,58695680,43.73
2025-05-14 15:37:18,0.283,56.63,58695680,43.73
2025-05-14 15:37:24,0.283,56.63,58695680,43.73
2025-05-14 15:37:29,0.441,88.11,60284928,44.92
2025-05-14 15:37:34,0.441,88.11,60284928,44.92
2025-05-14 15:37:39,0.441,88.11,60284928,44.92
2025-05-14 15:37:45,0.441,88.11,60284928,44.92
2025-05-14 15:37:50,0.441,88.11,60284928,44.92
2025-05-14 15:37:55,0.441,88.11,60284928,44.92
2025-05-14 15:38:00,0.168,33.50,60731392,45.25
2025-05-14 15:38:05,0.168,33.50,60731392,45.25
2025-05-14 15:38:11,0.168,33.50,60731392,45.25
2025-05-14 15:38:16,0.168,33.50,60731392,45.25
2025-05-14 15:38:21,0.168,33.50,60731392,45.25
2025-05-14 15:38:26,0.168,33.50,60698624,45.22
2025-05-14 15:38:32,0.414,82.87,60698624,45.22
2025-05-14 15:38:37,0.414,82.87,60698624,45.22
2025-05-14 15:38:42,0.414,82.87,60698624,45.22
2025-05-14 15:38:47,0.414,82.87,60698624,45.22
2025-05-14 15:38:52,0.414,82.87,60698624,45.22
2025-05-14 15:38:58,0.288,57.70,60686336,45.21
2025-05-14 15:39:03,0.288,57.70,60686336,45.21
2025-05-14 15:39:08,0.288,57.70,60686336,45.21
2025-05-14 15:39:13,0.288,57.70,60686336,45.21
2025-05-14 15:39:19,0.288,57.70,60686336,45.21
2025-05-14 15:39:24,0.288,57.70,60686336,45.21
2025-05-14 15:39:29,0.538,107.62,61300736,45.67
2025-05-14 15:39:34,0.538,107.62,61300736,45.67
2025-05-14 15:39:40,0.538,107.62,61300736,45.67
2025-05-14 15:39:45,0.538,107.62,61300736,45.67
2025-05-14 15:39:50,0.538,107.62,61300736,45.67
2025-05-14 15:39:56,0.538,107.62,60563456,45.12
2025-05-14 15:40:01,0.329,65.88,60563456,45.12
2025-05-14 15:40:06,0.329,65.88,60563456,45.12
2025-05-14 15:40:11,0.329,65.88,60563456,45.12
2025-05-14 15:40:17,0.329,65.88,60563456,45.12
2025-05-14 15:40:22,0.329,65.88,60563456,45.12
2025-05-14 15:40:27,0.305,61.10,60391424,45.00
2025-05-14 15:40:32,0.305,61.10,60391424,45.00
2025-05-14 15:40:38,0.305,61.10,60391424,45.00
2025-05-14 15:40:43,0.305,61.10,60391424,45.00
2025-05-14 15:40:48,0.305,61.10,60391424,45.00
2025-05-14 15:40:54,0.305,61.10,60391424,45.00
2025-05-14 15:40:59,0.229,45.83,60448768,45.04
2025-05-14 15:41:05,0.229,45.83,60448768,45.04
2025-05-14 15:41:10,0.229,45.83,60448768,45.04
2025-05-14 15:41:15,0.229,45.83,60448768,45.04
2025-05-14 15:41:21,0.229,45.83,60448768,45.04
2025-05-14 15:41:26,0.229,45.83,60215296,44.86
2025-05-14 15:41:32,0.205,41.01,60215296,44.86
2025-05-14 15:41:37,0.205,41.01,60215296,44.86
2025-05-14 15:41:42,0.205,41.01,60215296,44.86
2025-05-14 15:41:48,0.205,41.01,60215296,44.86
2025-05-14 15:41:53,0.205,41.01,60215296,44.86
2025-05-14 15:41:58,0.195,38.93,60047360,44.74
2025-05-14 15:42:04,0.195,38.93,60047360,44.74
2025-05-14 15:42:09,0.195,38.93,60047360,44.74
2025-05-14 15:42:14,0.195,38.93,60047360,44.74
2025-05-14 15:42:20,0.195,38.93,60047360,44.74
2025-05-14 15:42:25,0.195,38.93,60047360,44.74
2025-05-14 15:42:30,0.193,38.67,59600896,44.41
2025-05-14 15:42:36,0.193,38.67,59600896,44.41
2025-05-14 15:42:41,0.193,38.67,59600896,44.41
2025-05-14 15:42:47,0.193,38.67,59600896,44.41
2025-05-14 15:42:52,0.193,38.67,59600896,44.41
2025-05-14 15:42:57,0.141,28.16,59793408,44.55
2025-05-14 15:43:02,0.141,28.16,59793408,44.55
2025-05-14 15:43:08,0.141,28.16,59793408,44.55
2025-05-14 15:43:13,0.141,28.16,59793408,44.55
2025-05-14 15:43:19,0.141,28.16,59793408,44.55
2025-05-14 15:43:24,0.141,28.16,59793408,44.55
2025-05-14 15:43:29,0.211,42.15,59437056,44.28
2025-05-14 15:43:35,0.211,42.15,59437056,44.28
2025-05-14 15:43:40,0.211,42.15,59437056,44.28
2025-05-14 15:43:45,0.211,42.15,59437056,44.28
2025-05-14 15:43:51,0.211,42.15,59437056,44.28
2025-05-14 15:43:56,0.211,42.15,59342848,44.21
2025-05-14 15:44:01,0.110,22.09,59342848,44.21
2025-05-14 15:44:07,0.110,22.09,59342848,44.21
2025-05-14 15:44:12,0.110,22.09,59342848,44.21
2025-05-14 15:44:17,0.110,22.09,59342848,44.21
2025-05-14 15:44:23,0.110,22.09,59342848,44.21
2025-05-14 15:44:28,0.257,51.47,59621376,44.42
2025-05-14 15:44:33,0.257,51.47,59621376,44.42
2025-05-14 15:44:39,0.257,51.47,59621376,44.42
2025-05-14 15:44:44,0.257,51.47,59621376,44.42
2025-05-14 15:44:49,0.257,51.47,59621376,44.42
2025-05-14 15:44:55,0.257,51.47,59621376,44.42
2025-05-14 15:45:00,0.192,38.31,59473920,44.31
