timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:54:02,0.412,82.33,62603264,46.64
2025-05-14 15:54:07,0.412,82.33,62521344,46.58
2025-05-14 15:54:13,0.412,82.33,62521344,46.58
2025-05-14 15:54:18,0.412,82.33,62521344,46.58
2025-05-14 15:54:23,0.412,82.33,62521344,46.58
2025-05-14 15:54:28,0.235,47.08,62521344,46.58
2025-05-14 15:54:33,0.235,47.08,62521344,46.58
2025-05-14 15:54:39,0.235,47.08,63733760,47.49
2025-05-14 15:54:44,0.235,47.08,63733760,47.49
2025-05-14 15:54:49,0.235,47.08,63733760,47.49
2025-05-14 15:54:54,0.235,47.08,63733760,47.49
2025-05-14 15:54:59,0.425,84.99,63733760,47.49
2025-05-14 15:55:04,0.425,84.99,64466944,48.03
2025-05-14 15:55:10,0.425,84.99,64466944,48.03
2025-05-14 15:55:15,0.425,84.99,64466944,48.03
2025-05-14 15:55:20,0.425,84.99,64466944,48.03
2025-05-14 15:55:25,0.425,84.99,64466944,48.03
2025-05-14 15:55:30,0.592,118.38,64466944,48.03
2025-05-14 15:55:36,0.592,118.38,64663552,48.18
2025-05-14 15:55:41,0.592,118.38,64663552,48.18
2025-05-14 15:55:46,0.592,118.38,64663552,48.18
2025-05-14 15:55:51,0.592,118.38,64663552,48.18
2025-05-14 15:55:56,0.592,118.38,64663552,48.18
