timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:35:59,0.237,47.31,57176064,42.60
2025-05-14 15:36:05,0.237,47.31,57176064,42.60
2025-05-14 15:36:10,0.237,47.31,57176064,42.60
2025-05-14 15:36:15,0.237,47.31,57176064,42.60
2025-05-14 15:36:20,0.237,47.31,57176064,42.60
2025-05-14 15:36:26,0.237,47.31,57942016,43.17
2025-05-14 15:36:31,0.455,91.05,57942016,43.17
2025-05-14 15:36:36,0.455,91.05,57942016,43.17
2025-05-14 15:36:41,0.455,91.05,57942016,43.17
2025-05-14 15:36:47,0.455,91.05,57942016,43.17
2025-05-14 15:36:52,0.455,91.05,57942016,43.17
2025-05-14 15:36:57,0.310,61.93,58818560,43.82
2025-05-14 15:37:02,0.310,61.93,58818560,43.82
2025-05-14 15:37:08,0.310,61.93,58818560,43.82
2025-05-14 15:37:13,0.310,61.93,58818560,43.82
2025-05-14 15:37:18,0.310,61.93,58818560,43.82
2025-05-14 15:37:24,0.310,61.93,58818560,43.82
2025-05-14 15:37:29,0.424,84.83,59740160,44.51
2025-05-14 15:37:34,0.424,84.83,59740160,44.51
2025-05-14 15:37:39,0.424,84.83,59740160,44.51
2025-05-14 15:37:45,0.424,84.83,59740160,44.51
2025-05-14 15:37:50,0.424,84.83,59740160,44.51
2025-05-14 15:37:55,0.424,84.83,59740160,44.51
2025-05-14 15:38:00,0.386,77.26,59121664,44.05
2025-05-14 15:38:05,0.386,77.26,59121664,44.05
2025-05-14 15:38:11,0.386,77.26,59121664,44.05
2025-05-14 15:38:16,0.386,77.26,59121664,44.05
2025-05-14 15:38:21,0.386,77.26,59121664,44.05
2025-05-14 15:38:26,0.386,77.26,60833792,45.32
2025-05-14 15:38:32,0.335,66.97,60833792,45.32
2025-05-14 15:38:37,0.335,66.97,60833792,45.32
2025-05-14 15:38:42,0.335,66.97,60833792,45.32
2025-05-14 15:38:47,0.335,66.97,60833792,45.32
2025-05-14 15:38:52,0.335,66.97,60833792,45.32
2025-05-14 15:38:58,0.179,35.82,60702720,45.23
2025-05-14 15:39:03,0.179,35.82,60702720,45.23
2025-05-14 15:39:08,0.179,35.82,60702720,45.23
2025-05-14 15:39:13,0.179,35.82,60702720,45.23
2025-05-14 15:39:19,0.179,35.82,60702720,45.23
2025-05-14 15:39:24,0.179,35.82,60702720,45.23
2025-05-14 15:39:29,0.400,80.01,60645376,45.18
2025-05-14 15:39:34,0.400,80.01,60645376,45.18
2025-05-14 15:39:40,0.400,80.01,60645376,45.18
2025-05-14 15:39:45,0.400,80.01,60645376,45.18
