timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:08:58,0.235,46.91,56229888,41.89
2025-05-14 15:09:03,0.235,46.91,56229888,41.89
2025-05-14 15:09:08,0.235,46.91,56229888,41.89
2025-05-14 15:09:13,0.235,46.91,56229888,41.89
2025-05-14 15:09:19,0.235,46.91,56229888,41.89
2025-05-14 15:09:24,0.235,46.91,56102912,41.80
2025-05-14 15:09:29,0.325,64.92,56102912,41.80
2025-05-14 15:09:35,0.325,64.92,56102912,41.80
2025-05-14 15:09:40,0.325,64.92,56102912,41.80
2025-05-14 15:09:45,0.325,64.92,56102912,41.80
2025-05-14 15:09:51,0.325,64.92,56979456,42.45
2025-05-14 15:09:56,0.325,64.92,56979456,42.45
2025-05-14 15:10:02,0.463,92.64,56979456,42.45
2025-05-14 15:10:07,0.463,92.64,56979456,42.45
2025-05-14 15:10:12,0.463,92.64,56979456,42.45
2025-05-14 15:10:18,0.463,92.64,56979456,42.45
2025-05-14 15:10:23,0.463,92.64,57012224,42.48
2025-05-14 15:10:28,0.400,79.93,57012224,42.48
2025-05-14 15:10:33,0.400,79.93,57012224,42.48
2025-05-14 15:10:39,0.400,79.93,57012224,42.48
2025-05-14 15:10:44,0.400,79.93,57012224,42.48
2025-05-14 15:10:49,0.400,79.93,57012224,42.48
2025-05-14 15:10:54,0.400,79.93,56770560,42.30
2025-05-14 15:11:00,0.188,37.70,56770560,42.30
2025-05-14 15:11:05,0.188,37.70,56770560,42.30
2025-05-14 15:11:10,0.188,37.70,56770560,42.30
2025-05-14 15:11:16,0.188,37.70,56770560,42.30
2025-05-14 15:11:21,0.188,37.70,57614336,42.93
2025-05-14 15:11:26,0.188,37.70,57614336,42.93
2025-05-14 15:11:32,0.369,73.80,57614336,42.93
2025-05-14 15:11:37,0.369,73.80,57614336,42.93
2025-05-14 15:11:42,0.369,73.80,57614336,42.93
2025-05-14 15:11:48,0.369,73.80,57614336,42.93
2025-05-14 15:11:53,0.369,73.80,57569280,42.89
2025-05-14 15:11:58,0.476,95.16,57569280,42.89
2025-05-14 15:12:04,0.476,95.16,57569280,42.89
2025-05-14 15:12:09,0.476,95.16,57569280,42.89
2025-05-14 15:12:14,0.476,95.16,57569280,42.89
2025-05-14 15:12:20,0.476,95.16,57569280,42.89
2025-05-14 15:12:25,0.476,95.16,56995840,42.47
2025-05-14 15:12:30,0.390,77.93,56995840,42.47
2025-05-14 15:12:36,0.390,77.93,56995840,42.47
2025-05-14 15:12:41,0.390,77.93,56995840,42.47
2025-05-14 15:12:46,0.390,77.93,56995840,42.47
2025-05-14 15:12:51,0.390,77.93,56410112,42.03
2025-05-14 15:12:57,0.390,77.93,56410112,42.03
2025-05-14 15:13:02,0.370,74.07,56410112,42.03
2025-05-14 15:13:07,0.370,74.07,56410112,42.03
2025-05-14 15:13:12,0.370,74.07,56410112,42.03
