timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 14:59:31,0.193,38.51,65921024,49.11
2025-05-14 14:59:36,0.193,38.51,65921024,49.11
2025-05-14 14:59:41,0.193,38.51,65921024,49.11
2025-05-14 14:59:47,0.193,38.51,65921024,49.11
2025-05-14 14:59:52,0.193,38.51,65921024,49.11
2025-05-14 14:59:57,0.193,38.51,65921024,49.11
2025-05-14 15:00:02,0.485,97.00,65441792,48.76
2025-05-14 15:00:07,0.485,97.00,65441792,48.76
2025-05-14 15:00:12,0.485,97.00,65441792,48.76
2025-05-14 15:00:17,0.485,97.00,65441792,48.76
2025-05-14 15:00:23,0.485,97.00,65441792,48.76
2025-05-14 15:00:28,0.374,74.90,66654208,49.66
2025-05-14 15:00:33,0.374,74.90,66654208,49.66
2025-05-14 15:00:38,0.374,74.90,66654208,49.66
2025-05-14 15:00:43,0.374,74.90,66654208,49.66
2025-05-14 15:00:48,0.374,74.90,66654208,49.66
2025-05-14 15:00:53,0.374,74.90,66654208,49.66
2025-05-14 15:00:59,0.375,75.02,66060288,49.22
2025-05-14 15:01:04,0.375,75.02,66060288,49.22
2025-05-14 15:01:09,0.375,75.02,66060288,49.22
2025-05-14 15:01:14,0.375,75.02,66060288,49.22
2025-05-14 15:01:19,0.375,75.02,66060288,49.22
2025-05-14 15:01:25,0.375,75.02,66060288,49.22
2025-05-14 15:01:30,0.603,120.62,65757184,48.99
2025-05-14 15:01:35,0.603,120.62,65757184,48.99
2025-05-14 15:01:40,0.603,120.62,65757184,48.99
2025-05-14 15:01:45,0.603,120.62,65757184,48.99
2025-05-14 15:01:50,0.603,120.62,65757184,48.99
2025-05-14 15:01:55,0.603,120.62,65757184,48.99
2025-05-14 15:02:01,0.382,76.48,65650688,48.91
2025-05-14 15:02:06,0.382,76.48,65650688,48.91
2025-05-14 15:02:11,0.382,76.48,65650688,48.91
2025-05-14 15:02:16,0.382,76.48,65650688,48.91
2025-05-14 15:02:21,0.382,76.48,65650688,48.91
2025-05-14 15:02:26,0.382,76.48,65650688,48.91
2025-05-14 15:02:31,0.425,85.03,65867776,49.08
2025-05-14 15:02:37,0.425,85.03,65867776,49.08
2025-05-14 15:02:42,0.425,85.03,65867776,49.08
2025-05-14 15:02:47,0.425,85.03,65867776,49.08
2025-05-14 15:02:52,0.425,85.03,65867776,49.08
2025-05-14 15:02:57,0.425,85.03,65867776,49.08
2025-05-14 15:03:02,0.425,85.03,65761280,49.00
2025-05-14 15:03:07,0.425,85.03,65761280,49.00
2025-05-14 15:03:13,0.425,85.03,65761280,49.00
2025-05-14 15:03:18,0.425,85.03,65761280,49.00
2025-05-14 15:03:23,0.425,85.03,65761280,49.00
2025-05-14 15:03:28,0.414,82.89,65867776,49.08
2025-05-14 15:03:33,0.414,82.89,65867776,49.08
2025-05-14 15:03:38,0.414,82.89,65867776,49.08
2025-05-14 15:03:44,0.414,82.89,65867776,49.08
2025-05-14 15:03:49,0.414,82.89,65867776,49.08
2025-05-14 15:03:54,0.414,82.89,65867776,49.08
2025-05-14 15:03:59,0.440,87.97,65830912,49.05
2025-05-14 15:04:04,0.440,87.97,65830912,49.05
2025-05-14 15:04:09,0.440,87.97,65830912,49.05
2025-05-14 15:04:14,0.440,87.97,65830912,49.05
2025-05-14 15:04:20,0.440,87.97,65830912,49.05
2025-05-14 15:04:25,0.440,87.97,65830912,49.05
2025-05-14 15:04:30,0.440,88.07,65622016,48.89
2025-05-14 15:04:35,0.440,88.07,65622016,48.89
2025-05-14 15:04:40,0.440,88.07,65622016,48.89
2025-05-14 15:04:46,0.440,88.07,65622016,48.89
2025-05-14 15:04:51,0.440,88.07,65622016,48.89
2025-05-14 15:04:56,0.440,88.07,65622016,48.89
2025-05-14 15:05:01,0.306,61.30,65400832,48.73
2025-05-14 15:05:06,0.306,61.30,65400832,48.73
2025-05-14 15:05:12,0.306,61.30,65400832,48.73
2025-05-14 15:05:17,0.306,61.30,65400832,48.73
2025-05-14 15:05:22,0.306,61.30,65400832,48.73
2025-05-14 15:05:27,0.351,70.24,65060864,48.47
2025-05-14 15:05:32,0.351,70.24,65060864,48.47
2025-05-14 15:05:38,0.351,70.24,65060864,48.47
2025-05-14 15:05:43,0.351,70.24,65060864,48.47
2025-05-14 15:05:48,0.351,70.24,65060864,48.47
2025-05-14 15:05:53,0.351,70.24,65060864,48.47
2025-05-14 15:05:58,0.156,31.24,65216512,48.59
2025-05-14 15:06:03,0.156,31.24,65216512,48.59
2025-05-14 15:06:09,0.156,31.24,65216512,48.59
2025-05-14 15:06:14,0.156,31.24,65216512,48.59
2025-05-14 15:06:19,0.156,31.24,65216512,48.59
2025-05-14 15:06:24,0.156,31.24,65216512,48.59
2025-05-14 15:06:29,0.184,36.75,64880640,48.34
2025-05-14 15:06:35,0.184,36.75,64880640,48.34
2025-05-14 15:06:40,0.184,36.75,64880640,48.34
2025-05-14 15:06:45,0.184,36.75,64880640,48.34
2025-05-14 15:06:50,0.184,36.75,64880640,48.34
2025-05-14 15:06:55,0.184,36.75,64880640,48.34
2025-05-14 15:07:01,0.232,46.33,65167360,48.55
2025-05-14 15:07:06,0.232,46.33,65167360,48.55
2025-05-14 15:07:11,0.232,46.33,65167360,48.55
2025-05-14 15:07:16,0.232,46.33,65167360,48.55
2025-05-14 15:07:22,0.232,46.33,65167360,48.55
2025-05-14 15:07:27,0.232,46.33,64950272,48.39
2025-05-14 15:07:32,0.221,44.22,64950272,48.39
2025-05-14 15:07:37,0.221,44.22,64950272,48.39
2025-05-14 15:07:43,0.221,44.22,64950272,48.39
2025-05-14 15:07:48,0.221,44.22,64950272,48.39
2025-05-14 15:07:53,0.221,44.22,64950272,48.39
2025-05-14 15:07:58,0.327,65.46,65224704,48.60
2025-05-14 15:08:04,0.327,65.46,65224704,48.60
2025-05-14 15:08:09,0.327,65.46,65224704,48.60
2025-05-14 15:08:14,0.327,65.46,65224704,48.60
2025-05-14 15:08:20,0.327,65.46,65224704,48.60
2025-05-14 15:08:25,0.327,65.46,65224704,48.60
2025-05-14 15:08:30,0.359,71.82,64974848,48.41
2025-05-14 15:08:36,0.359,71.82,64974848,48.41
2025-05-14 15:08:41,0.359,71.82,64974848,48.41
2025-05-14 15:08:47,0.359,71.82,64974848,48.41
2025-05-14 15:08:52,0.359,71.82,64974848,48.41
2025-05-14 15:08:58,0.359,71.82,64880640,48.34
2025-05-14 15:09:03,0.359,71.82,64880640,48.34
2025-05-14 15:09:08,0.359,71.82,64880640,48.34
2025-05-14 15:09:13,0.359,71.82,64880640,48.34
2025-05-14 15:09:19,0.359,71.82,64880640,48.34
2025-05-14 15:09:24,0.359,71.82,64880640,48.34
2025-05-14 15:09:29,0.197,39.39,65044480,48.46
2025-05-14 15:09:35,0.197,39.39,65044480,48.46
2025-05-14 15:09:40,0.197,39.39,65044480,48.46
2025-05-14 15:09:45,0.197,39.39,65044480,48.46
2025-05-14 15:09:51,0.197,39.39,65044480,48.46
2025-05-14 15:09:56,0.197,39.39,65044480,48.46
2025-05-14 15:10:02,0.182,36.33,64491520,48.05
2025-05-14 15:10:07,0.182,36.33,64491520,48.05
2025-05-14 15:10:12,0.182,36.33,64491520,48.05
2025-05-14 15:10:18,0.182,36.33,64491520,48.05
2025-05-14 15:10:23,0.182,36.33,64491520,48.05
2025-05-14 15:10:28,0.237,47.33,64565248,48.10
2025-05-14 15:10:33,0.237,47.33,64565248,48.10
2025-05-14 15:10:39,0.237,47.33,64565248,48.10
2025-05-14 15:10:44,0.237,47.33,64565248,48.10
2025-05-14 15:10:49,0.237,47.33,64565248,48.10
2025-05-14 15:10:54,0.237,47.33,64565248,48.10
2025-05-14 15:11:00,0.290,57.90,65515520,48.81
2025-05-14 15:11:05,0.290,57.90,65515520,48.81
2025-05-14 15:11:10,0.290,57.90,65515520,48.81
2025-05-14 15:11:16,0.290,57.90,65515520,48.81
2025-05-14 15:11:21,0.290,57.90,65515520,48.81
2025-05-14 15:11:26,0.290,57.90,65515520,48.81
2025-05-14 15:11:32,0.312,62.40,65355776,48.69
2025-05-14 15:11:37,0.312,62.40,65355776,48.69
2025-05-14 15:11:42,0.312,62.40,65355776,48.69
2025-05-14 15:11:48,0.312,62.40,65355776,48.69
2025-05-14 15:11:53,0.312,62.40,65355776,48.69
2025-05-14 15:11:58,0.285,57.07,64929792,48.38
2025-05-14 15:12:04,0.285,57.07,64929792,48.38
2025-05-14 15:12:09,0.285,57.07,64929792,48.38
2025-05-14 15:12:14,0.285,57.07,64929792,48.38
2025-05-14 15:12:20,0.285,57.07,64929792,48.38
2025-05-14 15:12:25,0.285,57.07,64929792,48.38
2025-05-14 15:12:30,0.289,57.79,65294336,48.65
2025-05-14 15:12:36,0.289,57.79,65294336,48.65
2025-05-14 15:12:41,0.289,57.79,65294336,48.65
2025-05-14 15:12:46,0.289,57.79,65294336,48.65
2025-05-14 15:12:51,0.289,57.79,65294336,48.65
2025-05-14 15:12:57,0.289,57.79,65294336,48.65
2025-05-14 15:13:02,0.250,49.96,65413120,48.74
2025-05-14 15:13:07,0.250,49.96,65413120,48.74
2025-05-14 15:13:12,0.250,49.96,65413120,48.74
2025-05-14 15:13:18,0.250,49.96,65413120,48.74
2025-05-14 15:13:23,0.250,49.96,65413120,48.74
2025-05-14 15:13:28,0.264,52.84,65470464,48.78
2025-05-14 15:13:33,0.264,52.84,65470464,48.78
2025-05-14 15:13:39,0.264,52.84,65470464,48.78
2025-05-14 15:13:44,0.264,52.84,65470464,48.78
2025-05-14 15:13:49,0.264,52.84,65470464,48.78
2025-05-14 15:13:54,0.264,52.84,65470464,48.78
2025-05-14 15:14:00,0.215,43.05,64978944,48.41
2025-05-14 15:14:05,0.215,43.05,64978944,48.41
2025-05-14 15:14:10,0.215,43.05,64978944,48.41
2025-05-14 15:14:16,0.215,43.05,64978944,48.41
2025-05-14 15:14:21,0.215,43.05,64978944,48.41
2025-05-14 15:14:27,0.215,43.05,64978944,48.41
2025-05-14 15:14:32,0.224,44.70,64544768,48.09
2025-05-14 15:14:37,0.224,44.70,64544768,48.09
2025-05-14 15:14:42,0.224,44.70,64544768,48.09
2025-05-14 15:14:48,0.224,44.70,64544768,48.09
2025-05-14 15:14:53,0.224,44.70,64544768,48.09
2025-05-14 15:14:59,0.107,21.43,64475136,48.04
2025-05-14 15:15:04,0.107,21.43,64475136,48.04
2025-05-14 15:15:09,0.107,21.43,64475136,48.04
2025-05-14 15:15:15,0.107,21.43,64475136,48.04
2025-05-14 15:15:20,0.107,21.43,64475136,48.04
2025-05-14 15:15:25,0.107,21.43,64475136,48.04
2025-05-14 15:15:31,0.232,46.43,64294912,47.90
2025-05-14 15:15:36,0.232,46.43,64294912,47.90
2025-05-14 15:15:41,0.232,46.43,64294912,47.90
2025-05-14 15:15:47,0.232,46.43,64294912,47.90
2025-05-14 15:15:52,0.232,46.43,64294912,47.90
2025-05-14 15:15:57,0.097,19.49,63893504,47.60
2025-05-14 15:16:02,0.097,19.49,63893504,47.60
2025-05-14 15:16:08,0.097,19.49,63893504,47.60
2025-05-14 15:16:13,0.097,19.49,63893504,47.60
2025-05-14 15:16:18,0.097,19.49,63893504,47.60
2025-05-14 15:16:24,0.097,19.49,63893504,47.60
2025-05-14 15:16:29,0.144,28.78,63930368,47.63
2025-05-14 15:16:34,0.144,28.78,63930368,47.63
2025-05-14 15:16:39,0.144,28.78,63930368,47.63
2025-05-14 15:16:45,0.144,28.78,63930368,47.63
2025-05-14 15:16:50,0.144,28.78,63930368,47.63
2025-05-14 15:16:55,0.144,28.78,63930368,47.63
2025-05-14 15:17:00,0.119,23.76,64036864,47.71
2025-05-14 15:17:06,0.119,23.76,64036864,47.71
2025-05-14 15:17:11,0.119,23.76,64036864,47.71
2025-05-14 15:17:16,0.119,23.76,64036864,47.71
2025-05-14 15:17:22,0.119,23.76,64036864,47.71
2025-05-14 15:17:27,0.119,23.76,64086016,47.75
2025-05-14 15:17:32,0.132,26.31,64086016,47.75
2025-05-14 15:17:38,0.132,26.31,64086016,47.75
2025-05-14 15:17:43,0.132,26.31,64086016,47.75
2025-05-14 15:17:48,0.132,26.31,64086016,47.75
2025-05-14 15:17:53,0.132,26.31,64086016,47.75
2025-05-14 15:17:58,0.082,16.38,64323584,47.92
2025-05-14 15:18:04,0.082,16.38,64323584,47.92
2025-05-14 15:18:09,0.082,16.38,64323584,47.92
2025-05-14 15:18:14,0.082,16.38,64323584,47.92
2025-05-14 15:18:20,0.082,16.38,64323584,47.92
2025-05-14 15:18:25,0.082,16.38,64323584,47.92
2025-05-14 15:18:30,0.354,70.86,64462848,48.03
2025-05-14 15:18:35,0.354,70.86,64462848,48.03
2025-05-14 15:18:41,0.354,70.86,64462848,48.03
2025-05-14 15:18:46,0.354,70.86,64462848,48.03
2025-05-14 15:18:51,0.354,70.86,64462848,48.03
2025-05-14 15:18:57,0.354,70.86,64462848,48.03
2025-05-14 15:19:02,0.282,56.39,64598016,48.13
2025-05-14 15:19:07,0.282,56.39,64598016,48.13
2025-05-14 15:19:12,0.282,56.39,64598016,48.13
2025-05-14 15:19:18,0.282,56.39,64598016,48.13
2025-05-14 15:19:23,0.282,56.39,64598016,48.13
2025-05-14 15:19:28,0.282,56.39,64544768,48.09
2025-05-14 15:19:33,0.282,56.39,64544768,48.09
2025-05-14 15:19:39,0.282,56.39,64544768,48.09
2025-05-14 15:19:44,0.282,56.39,64544768,48.09
2025-05-14 15:19:49,0.282,56.39,64544768,48.09
2025-05-14 15:19:54,0.282,56.39,64544768,48.09
2025-05-14 15:19:59,0.390,78.05,65064960,48.48
2025-05-14 15:20:05,0.390,78.05,65064960,48.48
2025-05-14 15:20:10,0.390,78.05,65064960,48.48
2025-05-14 15:20:15,0.390,78.05,65064960,48.48
2025-05-14 15:20:20,0.390,78.05,65064960,48.48
2025-05-14 15:20:26,0.390,78.05,65064960,48.48
2025-05-14 15:20:31,0.202,40.49,64962560,48.40
2025-05-14 15:20:36,0.202,40.49,64962560,48.40
2025-05-14 15:20:42,0.202,40.49,64962560,48.40
2025-05-14 15:20:47,0.202,40.49,64962560,48.40
2025-05-14 15:20:52,0.202,40.49,64962560,48.40
2025-05-14 15:20:57,0.286,57.24,64925696,48.37
2025-05-14 15:21:03,0.286,57.24,64925696,48.37
2025-05-14 15:21:08,0.286,57.24,64925696,48.37
2025-05-14 15:21:13,0.286,57.24,64925696,48.37
2025-05-14 15:21:19,0.286,57.24,64925696,48.37
2025-05-14 15:21:24,0.286,57.24,64925696,48.37
2025-05-14 15:21:29,0.131,26.18,64978944,48.41
2025-05-14 15:21:35,0.131,26.18,64978944,48.41
2025-05-14 15:21:40,0.131,26.18,64978944,48.41
2025-05-14 15:21:45,0.131,26.18,64978944,48.41
2025-05-14 15:21:50,0.131,26.18,64978944,48.41
2025-05-14 15:21:56,0.131,26.18,64978944,48.41
2025-05-14 15:22:01,0.340,68.05,66068480,49.22
2025-05-14 15:22:06,0.340,68.05,66068480,49.22
2025-05-14 15:22:12,0.340,68.05,66068480,49.22
2025-05-14 15:22:17,0.340,68.05,66068480,49.22
2025-05-14 15:22:22,0.340,68.05,66068480,49.22
