timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 14:59:31,0.362,72.46,65142784,48.54
2025-05-14 14:59:36,0.362,72.46,65142784,48.54
2025-05-14 14:59:41,0.362,72.46,65142784,48.54
2025-05-14 14:59:47,0.362,72.46,65142784,48.54
2025-05-14 14:59:52,0.362,72.46,65142784,48.54
2025-05-14 14:59:57,0.362,72.46,65142784,48.54
2025-05-14 15:00:02,0.514,102.87,65220608,48.59
2025-05-14 15:00:07,0.514,102.87,65220608,48.59
2025-05-14 15:00:12,0.514,102.87,65220608,48.59
2025-05-14 15:00:17,0.514,102.87,65220608,48.59
2025-05-14 15:00:23,0.514,102.87,65220608,48.59
2025-05-14 15:00:28,0.438,87.68,66134016,49.27
2025-05-14 15:00:33,0.438,87.68,66134016,49.27
2025-05-14 15:00:38,0.438,87.68,66134016,49.27
2025-05-14 15:00:43,0.438,87.68,66134016,49.27
2025-05-14 15:00:48,0.438,87.68,66134016,49.27
2025-05-14 15:00:53,0.438,87.68,66134016,49.27
2025-05-14 15:00:59,0.171,34.17,65712128,48.96
2025-05-14 15:01:04,0.171,34.17,65712128,48.96
2025-05-14 15:01:09,0.171,34.17,65712128,48.96
2025-05-14 15:01:14,0.171,34.17,65712128,48.96
2025-05-14 15:01:19,0.171,34.17,65712128,48.96
2025-05-14 15:01:25,0.171,34.17,65712128,48.96
2025-05-14 15:01:30,0.479,95.80,66265088,49.37
2025-05-14 15:01:35,0.479,95.80,66265088,49.37
2025-05-14 15:01:40,0.479,95.80,66265088,49.37
2025-05-14 15:01:45,0.479,95.80,66265088,49.37
2025-05-14 15:01:50,0.479,95.80,66265088,49.37
2025-05-14 15:01:55,0.479,95.80,66265088,49.37
2025-05-14 15:02:01,0.520,103.94,65335296,48.68
2025-05-14 15:02:06,0.520,103.94,65335296,48.68
2025-05-14 15:02:11,0.520,103.94,65335296,48.68
2025-05-14 15:02:16,0.520,103.94,65335296,48.68
2025-05-14 15:02:21,0.520,103.94,65335296,48.68
2025-05-14 15:02:26,0.520,103.94,65335296,48.68
2025-05-14 15:02:31,0.484,96.85,65798144,49.02
2025-05-14 15:02:37,0.484,96.85,65798144,49.02
2025-05-14 15:02:42,0.484,96.85,65798144,49.02
2025-05-14 15:02:47,0.484,96.85,65798144,49.02
2025-05-14 15:02:52,0.484,96.85,65798144,49.02
2025-05-14 15:02:57,0.484,96.85,65798144,49.02
2025-05-14 15:03:02,0.484,96.85,65880064,49.08
2025-05-14 15:03:07,0.484,96.85,65880064,49.08
2025-05-14 15:03:13,0.484,96.85,65880064,49.08
2025-05-14 15:03:18,0.484,96.85,65880064,49.08
2025-05-14 15:03:23,0.484,96.85,65880064,49.08
2025-05-14 15:03:28,0.225,45.05,65216512,48.59
2025-05-14 15:03:33,0.225,45.05,65216512,48.59
2025-05-14 15:03:38,0.225,45.05,65216512,48.59
2025-05-14 15:03:44,0.225,45.05,65216512,48.59
2025-05-14 15:03:49,0.225,45.05,65216512,48.59
2025-05-14 15:03:54,0.225,45.05,65216512,48.59
2025-05-14 15:03:59,0.501,100.11,65216512,48.59
2025-05-14 15:04:04,0.501,100.11,65216512,48.59
2025-05-14 15:04:09,0.501,100.11,65216512,48.59
2025-05-14 15:04:14,0.501,100.11,65216512,48.59
2025-05-14 15:04:20,0.501,100.11,65216512,48.59
2025-05-14 15:04:25,0.501,100.11,65216512,48.59
2025-05-14 15:04:30,0.398,79.54,65265664,48.63
2025-05-14 15:04:35,0.398,79.54,65265664,48.63
2025-05-14 15:04:40,0.398,79.54,65265664,48.63
2025-05-14 15:04:46,0.398,79.54,65265664,48.63
2025-05-14 15:04:51,0.398,79.54,65265664,48.63
2025-05-14 15:04:56,0.398,79.54,65265664,48.63
2025-05-14 15:05:01,0.422,84.46,65048576,48.46
2025-05-14 15:05:06,0.422,84.46,65048576,48.46
2025-05-14 15:05:12,0.422,84.46,65048576,48.46
2025-05-14 15:05:17,0.422,84.46,65048576,48.46
2025-05-14 15:05:22,0.422,84.46,65048576,48.46
2025-05-14 15:05:27,0.301,60.19,64782336,48.27
2025-05-14 15:05:32,0.301,60.19,64782336,48.27
2025-05-14 15:05:38,0.301,60.19,64782336,48.27
2025-05-14 15:05:43,0.301,60.19,64782336,48.27
2025-05-14 15:05:48,0.301,60.19,64782336,48.27
2025-05-14 15:05:53,0.301,60.19,64782336,48.27
2025-05-14 15:05:58,0.258,51.58,64704512,48.21
2025-05-14 15:06:03,0.258,51.58,64704512,48.21
2025-05-14 15:06:09,0.258,51.58,64704512,48.21
2025-05-14 15:06:14,0.258,51.58,64704512,48.21
2025-05-14 15:06:19,0.258,51.58,64704512,48.21
2025-05-14 15:06:24,0.258,51.58,64704512,48.21
2025-05-14 15:06:29,0.049,9.82,64704512,48.21
2025-05-14 15:06:35,0.049,9.82,64704512,48.21
2025-05-14 15:06:40,0.049,9.82,64704512,48.21
2025-05-14 15:06:45,0.049,9.82,64704512,48.21
2025-05-14 15:06:50,0.049,9.82,64704512,48.21
2025-05-14 15:06:55,0.049,9.82,64704512,48.21
2025-05-14 15:07:01,0.255,51.09,64950272,48.39
2025-05-14 15:07:06,0.255,51.09,64950272,48.39
2025-05-14 15:07:11,0.255,51.09,64950272,48.39
2025-05-14 15:07:16,0.255,51.09,64950272,48.39
2025-05-14 15:07:22,0.255,51.09,64950272,48.39
2025-05-14 15:07:27,0.255,51.09,64610304,48.14
2025-05-14 15:07:32,0.213,42.63,64610304,48.14
2025-05-14 15:07:37,0.213,42.63,64610304,48.14
2025-05-14 15:07:43,0.213,42.63,64610304,48.14
2025-05-14 15:07:48,0.213,42.63,64610304,48.14
2025-05-14 15:07:53,0.213,42.63,64610304,48.14
2025-05-14 15:07:58,0.312,62.33,64643072,48.16
2025-05-14 15:08:04,0.312,62.33,64643072,48.16
2025-05-14 15:08:09,0.312,62.33,64643072,48.16
2025-05-14 15:08:14,0.312,62.33,64643072,48.16
2025-05-14 15:08:20,0.312,62.33,64643072,48.16
2025-05-14 15:08:25,0.312,62.33,64643072,48.16
2025-05-14 15:08:30,0.306,61.16,64614400,48.14
2025-05-14 15:08:36,0.306,61.16,64614400,48.14
2025-05-14 15:08:41,0.306,61.16,64614400,48.14
2025-05-14 15:08:47,0.306,61.16,64614400,48.14
2025-05-14 15:08:52,0.306,61.16,64614400,48.14
2025-05-14 15:08:58,0.306,61.16,64610304,48.14
2025-05-14 15:09:03,0.306,61.16,64610304,48.14
2025-05-14 15:09:08,0.306,61.16,64610304,48.14
2025-05-14 15:09:13,0.306,61.16,64610304,48.14
2025-05-14 15:09:19,0.306,61.16,64610304,48.14
2025-05-14 15:09:24,0.306,61.16,64610304,48.14
2025-05-14 15:09:29,0.153,30.68,64434176,48.01
2025-05-14 15:09:35,0.153,30.68,64434176,48.01
2025-05-14 15:09:40,0.153,30.68,64434176,48.01
2025-05-14 15:09:45,0.153,30.68,64434176,48.01
2025-05-14 15:09:51,0.153,30.68,64434176,48.01
2025-05-14 15:09:56,0.153,30.68,64434176,48.01
2025-05-14 15:10:02,0.236,47.25,64131072,47.78
2025-05-14 15:10:07,0.236,47.25,64131072,47.78
2025-05-14 15:10:12,0.236,47.25,64131072,47.78
2025-05-14 15:10:18,0.236,47.25,64131072,47.78
2025-05-14 15:10:23,0.236,47.25,64131072,47.78
2025-05-14 15:10:28,0.107,21.45,64507904,48.06
2025-05-14 15:10:33,0.107,21.45,64507904,48.06
2025-05-14 15:10:39,0.107,21.45,64507904,48.06
2025-05-14 15:10:44,0.107,21.45,64507904,48.06
2025-05-14 15:10:49,0.107,21.45,64507904,48.06
2025-05-14 15:10:54,0.107,21.45,64507904,48.06
2025-05-14 15:11:00,0.307,61.34,64454656,48.02
2025-05-14 15:11:05,0.307,61.34,64454656,48.02
2025-05-14 15:11:10,0.307,61.34,64454656,48.02
2025-05-14 15:11:16,0.307,61.34,64454656,48.02
2025-05-14 15:11:21,0.307,61.34,64454656,48.02
2025-05-14 15:11:26,0.307,61.34,64454656,48.02
2025-05-14 15:11:32,0.269,53.74,65503232,48.80
2025-05-14 15:11:37,0.269,53.74,65503232,48.80
2025-05-14 15:11:42,0.269,53.74,65503232,48.80
2025-05-14 15:11:48,0.269,53.74,65503232,48.80
2025-05-14 15:11:53,0.269,53.74,65503232,48.80
2025-05-14 15:11:58,0.386,77.20,65286144,48.64
2025-05-14 15:12:04,0.386,77.20,65286144,48.64
2025-05-14 15:12:09,0.386,77.20,65286144,48.64
2025-05-14 15:12:14,0.386,77.20,65286144,48.64
2025-05-14 15:12:20,0.386,77.20,65286144,48.64
2025-05-14 15:12:25,0.386,77.20,65286144,48.64
2025-05-14 15:12:30,0.268,53.58,64688128,48.20
2025-05-14 15:12:36,0.268,53.58,64688128,48.20
2025-05-14 15:12:41,0.268,53.58,64688128,48.20
2025-05-14 15:12:46,0.268,53.58,64688128,48.20
2025-05-14 15:12:51,0.268,53.58,64688128,48.20
2025-05-14 15:12:57,0.268,53.58,64688128,48.20
2025-05-14 15:13:02,0.258,51.66,64688128,48.20
2025-05-14 15:13:07,0.258,51.66,64688128,48.20
2025-05-14 15:13:12,0.258,51.66,64688128,48.20
2025-05-14 15:13:18,0.258,51.66,64688128,48.20
2025-05-14 15:13:23,0.258,51.66,64688128,48.20
2025-05-14 15:13:28,0.218,43.59,65085440,48.49
2025-05-14 15:13:33,0.218,43.59,65085440,48.49
2025-05-14 15:13:39,0.218,43.59,65085440,48.49
2025-05-14 15:13:44,0.218,43.59,65085440,48.49
2025-05-14 15:13:49,0.218,43.59,65085440,48.49
2025-05-14 15:13:54,0.218,43.59,65085440,48.49
2025-05-14 15:14:00,0.221,44.24,65290240,48.65
2025-05-14 15:14:05,0.221,44.24,65290240,48.65
2025-05-14 15:14:10,0.221,44.24,65290240,48.65
2025-05-14 15:14:16,0.221,44.24,65290240,48.65
2025-05-14 15:14:21,0.221,44.24,65290240,48.65
2025-05-14 15:14:27,0.221,44.24,65290240,48.65
2025-05-14 15:14:32,0.189,37.78,64651264,48.17
2025-05-14 15:14:37,0.189,37.78,64651264,48.17
2025-05-14 15:14:42,0.189,37.78,64651264,48.17
2025-05-14 15:14:48,0.189,37.78,64651264,48.17
2025-05-14 15:14:53,0.189,37.78,64651264,48.17
2025-05-14 15:14:59,0.211,42.12,64327680,47.93
