timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 17:18:30,0.294,58.84,73666560,54.89
2025-05-14 17:18:35,0.294,58.84,72392704,53.94
2025-05-14 17:18:40,0.294,58.84,72392704,53.94
2025-05-14 17:18:45,0.294,58.84,72392704,53.94
2025-05-14 17:18:51,0.294,58.84,72392704,53.94
2025-05-14 17:18:56,0.294,58.84,72392704,53.94
2025-05-14 17:19:01,0.244,48.75,72392704,53.94
2025-05-14 17:19:06,0.244,48.75,72921088,54.33
2025-05-14 17:19:11,0.244,48.75,72921088,54.33
2025-05-14 17:19:16,0.244,48.75,72921088,54.33
2025-05-14 17:19:22,0.244,48.75,72921088,54.33
2025-05-14 17:19:27,0.244,48.75,72921088,54.33
2025-05-14 17:19:32,0.417,83.31,72921088,54.33
2025-05-14 17:19:37,0.417,83.31,72794112,54.24
2025-05-14 17:19:42,0.417,83.31,72794112,54.24
2025-05-14 17:19:47,0.417,83.31,72794112,54.24
2025-05-14 17:19:52,0.417,83.31,72794112,54.24
2025-05-14 17:19:58,0.173,34.51,72794112,54.24
2025-05-14 17:20:03,0.173,34.51,72794112,54.24
2025-05-14 17:20:08,0.173,34.51,72953856,54.35
2025-05-14 17:20:13,0.173,34.51,72953856,54.35
2025-05-14 17:20:18,0.173,34.51,72953856,54.35
2025-05-14 17:20:23,0.173,34.51,72953856,54.35
2025-05-14 17:20:28,0.344,68.84,72953856,54.35
2025-05-14 17:20:34,0.344,68.84,72953856,54.35
2025-05-14 17:20:39,0.344,68.84,72769536,54.22
2025-05-14 17:20:44,0.344,68.84,72769536,54.22
2025-05-14 17:20:49,0.344,68.84,72769536,54.22
2025-05-14 17:20:54,0.344,68.84,72769536,54.22
2025-05-14 17:20:59,0.389,77.89,72769536,54.22
2025-05-14 17:21:04,0.389,77.89,76013568,56.63
2025-05-14 17:21:10,0.389,77.89,76013568,56.63
