timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 16:50:28,0.411,82.12,64393216,47.98
2025-05-14 16:50:33,0.411,82.12,64393216,47.98
2025-05-14 16:50:38,0.411,82.12,64393216,47.98
2025-05-14 16:50:44,0.411,82.12,64393216,47.98
2025-05-14 16:50:49,0.411,82.12,64122880,47.78
2025-05-14 16:50:54,0.411,82.12,64122880,47.78
2025-05-14 16:50:59,0.323,64.68,64122880,47.78
2025-05-14 16:51:04,0.323,64.68,64122880,47.78
2025-05-14 16:51:09,0.323,64.68,64122880,47.78
2025-05-14 16:51:14,0.323,64.68,64122880,47.78
2025-05-14 16:51:20,0.323,64.68,64135168,47.78
2025-05-14 16:51:25,0.323,64.68,64135168,47.78
2025-05-14 16:51:30,0.346,69.11,64135168,47.78
2025-05-14 16:51:35,0.346,69.11,64135168,47.78
2025-05-14 16:51:40,0.346,69.11,64135168,47.78
2025-05-14 16:51:45,0.346,69.11,64135168,47.78
2025-05-14 16:51:51,0.346,69.11,64872448,48.33
2025-05-14 16:51:56,0.346,69.11,64872448,48.33
2025-05-14 16:52:01,0.330,66.05,64872448,48.33
2025-05-14 16:52:06,0.330,66.05,64872448,48.33
2025-05-14 16:52:11,0.330,66.05,64872448,48.33
2025-05-14 16:52:16,0.330,66.05,64872448,48.33
2025-05-14 16:52:22,0.330,66.05,64049152,47.72
2025-05-14 16:52:27,0.330,66.05,64049152,47.72
2025-05-14 16:52:32,0.424,84.90,64049152,47.72
2025-05-14 16:52:37,0.424,84.90,64049152,47.72
2025-05-14 16:52:42,0.424,84.90,64049152,47.72
2025-05-14 16:52:47,0.424,84.90,64049152,47.72
2025-05-14 16:52:53,0.424,84.90,63791104,47.53
2025-05-14 16:52:58,0.342,68.45,63791104,47.53
2025-05-14 16:53:03,0.342,68.45,63791104,47.53
2025-05-14 16:53:08,0.342,68.45,63791104,47.53
2025-05-14 16:53:13,0.342,68.45,63791104,47.53
2025-05-14 16:53:18,0.342,68.45,63938560,47.64
2025-05-14 16:53:24,0.342,68.45,63938560,47.64
2025-05-14 16:53:29,0.243,48.57,63938560,47.64
2025-05-14 16:53:34,0.243,48.57,63938560,47.64
2025-05-14 16:53:39,0.243,48.57,63938560,47.64
2025-05-14 16:53:44,0.243,48.57,63938560,47.64
2025-05-14 16:53:49,0.243,48.57,64380928,47.97
2025-05-14 16:53:55,0.243,48.57,64380928,47.97
2025-05-14 16:54:00,0.127,25.39,64380928,47.97
2025-05-14 16:54:05,0.127,25.39,64380928,47.97
2025-05-14 16:54:10,0.127,25.39,64380928,47.97
2025-05-14 16:54:15,0.127,25.39,64380928,47.97
2025-05-14 16:54:20,0.127,25.39,63836160,47.56
2025-05-14 16:54:25,0.127,25.39,63836160,47.56
2025-05-14 16:54:31,0.279,55.77,63836160,47.56
2025-05-14 16:54:36,0.279,55.77,63836160,47.56
2025-05-14 16:54:41,0.279,55.77,63836160,47.56
2025-05-14 16:54:46,0.279,55.77,63836160,47.56
2025-05-14 16:54:51,0.279,55.77,63520768,47.33
2025-05-14 16:54:56,0.279,55.77,63520768,47.33
2025-05-14 16:55:02,0.277,55.36,63520768,47.33
2025-05-14 16:55:07,0.277,55.36,63520768,47.33
2025-05-14 16:55:12,0.277,55.36,63520768,47.33
2025-05-14 16:55:17,0.277,55.36,63520768,47.33
2025-05-14 16:55:22,0.277,55.36,63516672,47.32
2025-05-14 16:55:27,0.192,38.34,63516672,47.32
2025-05-14 16:55:33,0.192,38.34,63516672,47.32
2025-05-14 16:55:38,0.192,38.34,63516672,47.32
2025-05-14 16:55:43,0.192,38.34,63516672,47.32
2025-05-14 16:55:48,0.192,38.34,63508480,47.32
2025-05-14 16:55:53,0.192,38.34,63508480,47.32
2025-05-14 16:55:58,0.188,37.60,63508480,47.32
2025-05-14 16:56:04,0.188,37.60,63508480,47.32
2025-05-14 16:56:09,0.188,37.60,63508480,47.32
2025-05-14 16:56:14,0.188,37.60,63508480,47.32
2025-05-14 16:56:19,0.188,37.60,63762432,47.51
2025-05-14 16:56:24,0.188,37.60,63762432,47.51
2025-05-14 16:56:29,0.129,25.80,63762432,47.51
2025-05-14 16:56:34,0.129,25.80,63762432,47.51
2025-05-14 16:56:40,0.129,25.80,63762432,47.51
2025-05-14 16:56:45,0.129,25.80,63762432,47.51
2025-05-14 16:56:50,0.129,25.80,58982400,43.95
2025-05-14 16:56:55,0.129,25.80,58982400,43.95
2025-05-14 16:57:00,0.228,45.54,58982400,43.95
2025-05-14 16:57:05,0.228,45.54,58982400,43.95
2025-05-14 16:57:10,0.228,45.54,58982400,43.95
2025-05-14 16:57:16,0.228,45.54,58982400,43.95
2025-05-14 16:57:21,0.228,45.54,58744832,43.77
2025-05-14 16:57:26,0.228,45.54,58744832,43.77
2025-05-14 16:57:31,0.277,55.34,58744832,43.77
2025-05-14 16:57:36,0.277,55.34,58744832,43.77
2025-05-14 16:57:41,0.277,55.34,58744832,43.77
2025-05-14 16:57:46,0.277,55.34,58744832,43.77
2025-05-14 16:57:52,0.277,55.34,58560512,43.63
2025-05-14 16:57:57,0.277,55.34,58560512,43.63
2025-05-14 16:58:02,0.183,36.59,58560512,43.63
2025-05-14 16:58:07,0.183,36.59,58560512,43.63
2025-05-14 16:58:12,0.183,36.59,58560512,43.63
2025-05-14 16:58:17,0.183,36.59,58560512,43.63
2025-05-14 16:58:22,0.183,36.59,58568704,43.64
2025-05-14 16:58:28,0.312,62.35,58568704,43.64
2025-05-14 16:58:33,0.312,62.35,58568704,43.64
2025-05-14 16:58:38,0.312,62.35,58568704,43.64
2025-05-14 16:58:43,0.312,62.35,58568704,43.64
2025-05-14 16:58:48,0.312,62.35,58793984,43.80
2025-05-14 16:58:53,0.312,62.35,58793984,43.80
2025-05-14 16:58:58,0.140,28.00,58793984,43.80
2025-05-14 16:59:04,0.140,28.00,58793984,43.80
2025-05-14 16:59:09,0.140,28.00,58793984,43.80
2025-05-14 16:59:14,0.140,28.00,58793984,43.80
2025-05-14 16:59:19,0.140,28.00,58597376,43.66
2025-05-14 16:59:24,0.140,28.00,58597376,43.66
2025-05-14 16:59:29,0.221,44.18,58597376,43.66
2025-05-14 16:59:34,0.221,44.18,58597376,43.66
2025-05-14 16:59:39,0.221,44.18,58597376,43.66
2025-05-14 16:59:45,0.221,44.18,58597376,43.66
2025-05-14 16:59:50,0.221,44.18,59314176,44.19
2025-05-14 16:59:55,0.221,44.18,59314176,44.19
2025-05-14 17:00:00,0.182,36.33,59314176,44.19
2025-05-14 17:00:05,0.182,36.33,59314176,44.19
2025-05-14 17:00:10,0.182,36.33,59314176,44.19
2025-05-14 17:00:15,0.182,36.33,59314176,44.19
2025-05-14 17:00:21,0.182,36.33,58720256,43.75
2025-05-14 17:00:26,0.182,36.33,58720256,43.75
2025-05-14 17:00:31,0.121,24.14,58720256,43.75
2025-05-14 17:00:36,0.121,24.14,58720256,43.75
2025-05-14 17:00:41,0.121,24.14,58720256,43.75
