timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:36:31,0.316,63.17,55705600,41.50
2025-05-14 15:36:36,0.316,63.17,55705600,41.50
2025-05-14 15:36:41,0.316,63.17,55705600,41.50
2025-05-14 15:36:47,0.316,63.17,55705600,41.50
2025-05-14 15:36:52,0.316,63.17,55705600,41.50
2025-05-14 15:36:57,0.344,68.77,55705600,41.50
2025-05-14 15:37:02,0.344,68.77,56438784,42.05
2025-05-14 15:37:08,0.344,68.77,56438784,42.05
2025-05-14 15:37:13,0.344,68.77,56438784,42.05
2025-05-14 15:37:18,0.344,68.77,56438784,42.05
2025-05-14 15:37:24,0.344,68.77,56438784,42.05
2025-05-14 15:37:29,0.358,71.61,56438784,42.05
2025-05-14 15:37:34,0.358,71.61,57532416,42.86
2025-05-14 15:37:39,0.358,71.61,57532416,42.86
2025-05-14 15:37:45,0.358,71.61,57532416,42.86
2025-05-14 15:37:50,0.358,71.61,57532416,42.86
2025-05-14 15:37:55,0.358,71.61,57532416,42.86
2025-05-14 15:38:00,0.369,73.79,58617856,43.67
2025-05-14 15:38:05,0.369,73.79,58617856,43.67
2025-05-14 15:38:11,0.369,73.79,58617856,43.67
2025-05-14 15:38:16,0.369,73.79,58617856,43.67
2025-05-14 15:38:21,0.369,73.79,58617856,43.67
2025-05-14 15:38:26,0.369,73.79,58617856,43.67
2025-05-14 15:38:32,0.386,77.24,58290176,43.43
2025-05-14 15:38:37,0.386,77.24,58290176,43.43
2025-05-14 15:38:42,0.386,77.24,58290176,43.43
2025-05-14 15:38:47,0.386,77.24,58290176,43.43
2025-05-14 15:38:52,0.386,77.24,58290176,43.43
2025-05-14 15:38:58,0.420,84.07,58290176,43.43
2025-05-14 15:39:03,0.420,84.07,58118144,43.30
2025-05-14 15:39:08,0.420,84.07,58118144,43.30
2025-05-14 15:39:13,0.420,84.07,58118144,43.30
2025-05-14 15:39:19,0.420,84.07,58118144,43.30
2025-05-14 15:39:24,0.420,84.07,58118144,43.30
2025-05-14 15:39:29,0.389,77.89,58118144,43.30
2025-05-14 15:39:34,0.389,77.89,58613760,43.67
2025-05-14 15:39:40,0.389,77.89,58613760,43.67
2025-05-14 15:39:45,0.389,77.89,58613760,43.67
2025-05-14 15:39:50,0.389,77.89,58613760,43.67
2025-05-14 15:39:56,0.389,77.89,58613760,43.67
2025-05-14 15:40:01,0.422,84.47,58474496,43.57
2025-05-14 15:40:06,0.422,84.47,58474496,43.57
2025-05-14 15:40:11,0.422,84.47,58474496,43.57
2025-05-14 15:40:17,0.422,84.47,58474496,43.57
2025-05-14 15:40:22,0.422,84.47,58474496,43.57
2025-05-14 15:40:27,0.169,33.74,58474496,43.57
2025-05-14 15:40:32,0.169,33.74,58376192,43.49
2025-05-14 15:40:38,0.169,33.74,58376192,43.49
2025-05-14 15:40:43,0.169,33.74,58376192,43.49
2025-05-14 15:40:48,0.169,33.74,58376192,43.49
2025-05-14 15:40:54,0.169,33.74,58376192,43.49
2025-05-14 15:40:59,0.328,65.54,58220544,43.38
2025-05-14 15:41:05,0.328,65.54,58220544,43.38
2025-05-14 15:41:10,0.328,65.54,58220544,43.38
