timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 15:36:57,0.336,67.14,58912768,43.89
2025-05-14 15:37:02,0.336,67.14,58429440,43.53
2025-05-14 15:37:08,0.336,67.14,58429440,43.53
2025-05-14 15:37:13,0.336,67.14,58429440,43.53
2025-05-14 15:37:18,0.336,67.14,58429440,43.53
2025-05-14 15:37:24,0.336,67.14,58429440,43.53
2025-05-14 15:37:29,0.150,30.04,58429440,43.53
2025-05-14 15:37:34,0.150,30.04,59006976,43.96
2025-05-14 15:37:39,0.150,30.04,59006976,43.96
2025-05-14 15:37:45,0.150,30.04,59006976,43.96
2025-05-14 15:37:50,0.150,30.04,59006976,43.96
2025-05-14 15:37:55,0.150,30.04,59006976,43.96
2025-05-14 15:38:00,0.418,83.57,59219968,44.12
2025-05-14 15:38:05,0.418,83.57,59219968,44.12
2025-05-14 15:38:11,0.418,83.57,59219968,44.12
2025-05-14 15:38:16,0.418,83.57,59219968,44.12
2025-05-14 15:38:21,0.418,83.57,59219968,44.12
2025-05-14 15:38:26,0.418,83.57,59219968,44.12
2025-05-14 15:38:32,0.267,53.44,60952576,45.41
2025-05-14 15:38:37,0.267,53.44,60952576,45.41
2025-05-14 15:38:42,0.267,53.44,60952576,45.41
2025-05-14 15:38:47,0.267,53.44,60952576,45.41
2025-05-14 15:38:52,0.267,53.44,60952576,45.41
2025-05-14 15:38:58,0.315,62.95,60952576,45.41
2025-05-14 15:39:03,0.315,62.95,61194240,45.59
2025-05-14 15:39:08,0.315,62.95,61194240,45.59
2025-05-14 15:39:13,0.315,62.95,61194240,45.59
2025-05-14 15:39:19,0.315,62.95,61194240,45.59
2025-05-14 15:39:24,0.315,62.95,61194240,45.59
2025-05-14 15:39:29,0.293,58.54,61194240,45.59
2025-05-14 15:39:34,0.293,58.54,60833792,45.32
2025-05-14 15:39:40,0.293,58.54,60833792,45.32
2025-05-14 15:39:45,0.293,58.54,60833792,45.32
2025-05-14 15:39:50,0.293,58.54,60833792,45.32
2025-05-14 15:39:56,0.293,58.54,60833792,45.32
2025-05-14 15:40:01,0.334,66.88,61120512,45.54
2025-05-14 15:40:06,0.334,66.88,61120512,45.54
2025-05-14 15:40:11,0.334,66.88,61120512,45.54
2025-05-14 15:40:17,0.334,66.88,61120512,45.54
2025-05-14 15:40:22,0.334,66.88,61120512,45.54
2025-05-14 15:40:27,0.265,52.96,61120512,45.54
2025-05-14 15:40:32,0.265,52.96,60891136,45.37
2025-05-14 15:40:38,0.265,52.96,60891136,45.37
2025-05-14 15:40:43,0.265,52.96,60891136,45.37
2025-05-14 15:40:48,0.265,52.96,60891136,45.37
2025-05-14 15:40:54,0.265,52.96,60891136,45.37
2025-05-14 15:40:59,0.270,53.95,60891136,45.37
2025-05-14 15:41:05,0.270,53.95,60403712,45.00
2025-05-14 15:41:10,0.270,53.95,60403712,45.00
2025-05-14 15:41:15,0.270,53.95,60403712,45.00
2025-05-14 15:41:21,0.270,53.95,60403712,45.00
2025-05-14 15:41:26,0.270,53.95,60403712,45.00
2025-05-14 15:41:32,0.163,32.68,60211200,44.86
2025-05-14 15:41:37,0.163,32.68,60211200,44.86
2025-05-14 15:41:42,0.163,32.68,60211200,44.86
2025-05-14 15:41:48,0.163,32.68,60211200,44.86
2025-05-14 15:41:53,0.163,32.68,60211200,44.86
2025-05-14 15:41:58,0.311,62.28,60211200,44.86
2025-05-14 15:42:04,0.311,62.28,60231680,44.88
2025-05-14 15:42:09,0.311,62.28,60231680,44.88
2025-05-14 15:42:14,0.311,62.28,60231680,44.88
2025-05-14 15:42:20,0.311,62.28,60231680,44.88
2025-05-14 15:42:25,0.311,62.28,60231680,44.88
2025-05-14 15:42:30,0.071,14.16,60108800,44.78
2025-05-14 15:42:36,0.071,14.16,60108800,44.78
2025-05-14 15:42:41,0.071,14.16,60108800,44.78
2025-05-14 15:42:47,0.071,14.16,60108800,44.78
2025-05-14 15:42:52,0.071,14.16,60108800,44.78
2025-05-14 15:42:57,0.204,40.84,60108800,44.78
2025-05-14 15:43:02,0.204,40.84,60067840,44.75
2025-05-14 15:43:08,0.204,40.84,60067840,44.75
2025-05-14 15:43:13,0.204,40.84,60067840,44.75
2025-05-14 15:43:19,0.204,40.84,60067840,44.75
2025-05-14 15:43:24,0.204,40.84,60067840,44.75
2025-05-14 15:43:29,0.161,32.28,60067840,44.75
2025-05-14 15:43:35,0.161,32.28,59953152,44.67
