timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 14:38:30,0.585,116.91,66342912,49.43
2025-05-14 14:38:35,0.585,116.91,72200192,53.79
2025-05-14 14:38:40,0.585,116.91,72200192,53.79
2025-05-14 14:38:45,0.585,116.91,72200192,53.79
2025-05-14 14:38:50,0.585,116.91,72200192,53.79
2025-05-14 14:38:55,0.585,116.91,72200192,53.79
2025-05-14 14:39:00,0.408,81.63,72122368,53.74
2025-05-14 14:39:05,0.408,81.63,72122368,53.74
2025-05-14 14:39:11,0.408,81.63,72122368,53.74
2025-05-14 14:39:16,0.408,81.63,72122368,53.74
2025-05-14 14:39:21,0.408,81.63,72122368,53.74
2025-05-14 14:39:26,0.408,81.63,72122368,53.74
2025-05-14 14:39:31,0.369,73.81,72474624,54.00
2025-05-14 14:39:36,0.369,73.81,72474624,54.00
2025-05-14 14:39:41,0.369,73.81,72474624,54.00
2025-05-14 14:39:46,0.369,73.81,72474624,54.00
2025-05-14 14:39:51,0.369,73.81,72474624,54.00
2025-05-14 14:39:57,0.369,73.81,72474624,54.00
2025-05-14 14:40:02,0.432,86.46,72667136,54.14
2025-05-14 14:40:07,0.432,86.46,72667136,54.14
2025-05-14 14:40:12,0.432,86.46,72667136,54.14
2025-05-14 14:40:17,0.432,86.46,72667136,54.14
2025-05-14 14:40:22,0.432,86.46,72667136,54.14
2025-05-14 14:40:27,0.419,83.81,72667136,54.14
2025-05-14 14:40:32,0.419,83.81,78004224,58.12
2025-05-14 14:40:37,0.419,83.81,78004224,58.12
2025-05-14 14:40:43,0.419,83.81,78004224,58.12
2025-05-14 14:40:48,0.419,83.81,78004224,58.12
2025-05-14 14:40:53,0.419,83.81,78004224,58.12
2025-05-14 14:40:58,0.420,83.91,78004224,58.12
2025-05-14 14:41:03,0.420,83.91,78204928,58.27
2025-05-14 14:41:08,0.420,83.91,78204928,58.27
2025-05-14 14:41:13,0.420,83.91,78204928,58.27
2025-05-14 14:41:18,0.420,83.91,78204928,58.27
2025-05-14 14:41:24,0.420,83.91,78204928,58.27
2025-05-14 14:41:29,0.409,81.89,78204928,58.27
2025-05-14 14:41:34,0.409,81.89,78430208,58.44
2025-05-14 14:41:39,0.409,81.89,78430208,58.44
2025-05-14 14:41:44,0.409,81.89,78430208,58.44
2025-05-14 14:41:49,0.409,81.89,78430208,58.44
2025-05-14 14:41:54,0.409,81.89,78430208,58.44
2025-05-14 14:41:59,0.434,86.81,78430208,58.44
2025-05-14 14:42:04,0.434,86.81,77684736,57.88
2025-05-14 14:42:10,0.434,86.81,77684736,57.88
2025-05-14 14:42:15,0.434,86.81,77684736,57.88
2025-05-14 14:42:20,0.434,86.81,77684736,57.88
2025-05-14 14:42:25,0.434,86.81,77684736,57.88
2025-05-14 14:42:30,0.360,72.10,77262848,57.57
2025-05-14 14:42:35,0.360,72.10,77262848,57.57
2025-05-14 14:42:40,0.360,72.10,77262848,57.57
2025-05-14 14:42:45,0.360,72.10,77262848,57.57
2025-05-14 14:42:50,0.360,72.10,77262848,57.57
2025-05-14 14:42:56,0.360,72.10,77262848,57.57
2025-05-14 14:43:01,0.245,48.94,76783616,57.21
2025-05-14 14:43:06,0.245,48.94,76783616,57.21
2025-05-14 14:43:11,0.245,48.94,76783616,57.21
2025-05-14 14:43:16,0.245,48.94,76783616,57.21
2025-05-14 14:43:21,0.245,48.94,76783616,57.21
2025-05-14 14:43:26,0.245,48.94,76783616,57.21
2025-05-14 14:43:31,0.249,49.89,76713984,57.16
2025-05-14 14:43:36,0.249,49.89,76713984,57.16
2025-05-14 14:43:41,0.249,49.89,76713984,57.16
2025-05-14 14:43:47,0.249,49.89,76713984,57.16
2025-05-14 14:43:52,0.249,49.89,76713984,57.16
2025-05-14 14:43:57,0.249,49.89,76713984,57.16
2025-05-14 14:44:02,0.179,35.72,75923456,56.57
2025-05-14 14:44:07,0.179,35.72,75923456,56.57
2025-05-14 14:44:12,0.179,35.72,75923456,56.57
2025-05-14 14:44:17,0.179,35.72,75923456,56.57
2025-05-14 14:44:22,0.179,35.72,75923456,56.57
2025-05-14 14:44:27,0.152,30.43,75923456,56.57
2025-05-14 14:44:33,0.152,30.43,75825152,56.49
2025-05-14 14:44:38,0.152,30.43,75825152,56.49
2025-05-14 14:44:43,0.152,30.43,75825152,56.49
2025-05-14 14:44:48,0.152,30.43,75825152,56.49
2025-05-14 14:44:53,0.152,30.43,75825152,56.49
2025-05-14 14:44:58,0.131,26.29,75825152,56.49
2025-05-14 14:45:03,0.131,26.29,75726848,56.42
2025-05-14 14:45:08,0.131,26.29,75726848,56.42
2025-05-14 14:45:13,0.131,26.29,75726848,56.42
2025-05-14 14:45:19,0.131,26.29,75726848,56.42
2025-05-14 14:45:24,0.131,26.29,75726848,56.42
2025-05-14 14:45:29,0.119,23.72,75726848,56.42
2025-05-14 14:45:34,0.119,23.72,75751424,56.44
2025-05-14 14:45:39,0.119,23.72,75751424,56.44
2025-05-14 14:45:44,0.119,23.72,75751424,56.44
2025-05-14 14:45:49,0.119,23.72,75751424,56.44
2025-05-14 14:45:54,0.119,23.72,75751424,56.44
2025-05-14 14:45:59,0.147,29.43,75751424,56.44
2025-05-14 14:46:05,0.147,29.43,75665408,56.38
2025-05-14 14:46:10,0.147,29.43,75665408,56.38
2025-05-14 14:46:15,0.147,29.43,75665408,56.38
