timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-14 14:39:00,0.475,94.94,68423680,50.98
2025-05-14 14:39:05,0.475,94.94,68423680,50.98
2025-05-14 14:39:11,0.475,94.94,68423680,50.98
2025-05-14 14:39:16,0.475,94.94,68423680,50.98
2025-05-14 14:39:21,0.475,94.94,68423680,50.98
2025-05-14 14:39:26,0.475,94.94,68423680,50.98
2025-05-14 14:39:31,0.413,82.54,68423680,50.98
2025-05-14 14:39:36,0.413,82.54,68423680,50.98
2025-05-14 14:39:41,0.413,82.54,68423680,50.98
2025-05-14 14:39:46,0.413,82.54,68423680,50.98
2025-05-14 14:39:51,0.413,82.54,68423680,50.98
2025-05-14 14:39:57,0.413,82.54,68423680,50.98
2025-05-14 14:40:02,0.202,40.34,70856704,52.79
2025-05-14 14:40:07,0.202,40.34,70856704,52.79
2025-05-14 14:40:12,0.202,40.34,70856704,52.79
2025-05-14 14:40:17,0.202,40.34,70856704,52.79
2025-05-14 14:40:22,0.202,40.34,70856704,52.79
2025-05-14 14:40:27,0.697,139.36,70856704,52.79
2025-05-14 14:40:32,0.697,139.36,71843840,53.53
2025-05-14 14:40:37,0.697,139.36,71843840,53.53
2025-05-14 14:40:43,0.697,139.36,71843840,53.53
2025-05-14 14:40:48,0.697,139.36,71843840,53.53
2025-05-14 14:40:53,0.697,139.36,71843840,53.53
2025-05-14 14:40:58,0.424,84.74,71843840,53.53
2025-05-14 14:41:03,0.424,84.74,72048640,53.68
2025-05-14 14:41:08,0.424,84.74,72048640,53.68
2025-05-14 14:41:13,0.424,84.74,72048640,53.68
2025-05-14 14:41:18,0.424,84.74,72048640,53.68
2025-05-14 14:41:24,0.424,84.74,72048640,53.68
2025-05-14 14:41:29,0.531,106.20,72048640,53.68
2025-05-14 14:41:34,0.531,106.20,71823360,53.51
2025-05-14 14:41:39,0.531,106.20,71823360,53.51
2025-05-14 14:41:44,0.531,106.20,71823360,53.51
2025-05-14 14:41:49,0.531,106.20,71823360,53.51
2025-05-14 14:41:54,0.531,106.20,71823360,53.51
2025-05-14 14:41:59,0.475,95.03,71823360,53.51
2025-05-14 14:42:04,0.475,95.03,71823360,53.51
2025-05-14 14:42:10,0.475,95.03,71823360,53.51
2025-05-14 14:42:15,0.475,95.03,71823360,53.51
2025-05-14 14:42:20,0.475,95.03,71823360,53.51
2025-05-14 14:42:25,0.475,95.03,71823360,53.51
2025-05-14 14:42:30,0.393,78.64,72208384,53.80
2025-05-14 14:42:35,0.393,78.64,72208384,53.80
2025-05-14 14:42:40,0.393,78.64,72208384,53.80
2025-05-14 14:42:45,0.393,78.64,72208384,53.80
2025-05-14 14:42:50,0.393,78.64,72208384,53.80
2025-05-14 14:42:56,0.393,78.64,72208384,53.80
2025-05-14 14:43:01,0.374,74.87,71360512,53.17
2025-05-14 14:43:06,0.374,74.87,71360512,53.17
2025-05-14 14:43:11,0.374,74.87,71360512,53.17
2025-05-14 14:43:16,0.374,74.87,71360512,53.17
2025-05-14 14:43:21,0.374,74.87,71360512,53.17
2025-05-14 14:43:26,0.374,74.87,71360512,53.17
2025-05-14 14:43:31,0.356,71.30,70914048,52.84
2025-05-14 14:43:36,0.356,71.30,70914048,52.84
2025-05-14 14:43:41,0.356,71.30,70914048,52.84
2025-05-14 14:43:47,0.356,71.30,70914048,52.84
2025-05-14 14:43:52,0.356,71.30,70914048,52.84
2025-05-14 14:43:57,0.356,71.30,70914048,52.84
2025-05-14 14:44:02,0.257,51.35,70635520,52.63
2025-05-14 14:44:07,0.257,51.35,70635520,52.63
2025-05-14 14:44:12,0.257,51.35,70635520,52.63
2025-05-14 14:44:17,0.257,51.35,70635520,52.63
2025-05-14 14:44:22,0.257,51.35,70635520,52.63
2025-05-14 14:44:27,0.201,40.17,70635520,52.63
2025-05-14 14:44:33,0.201,40.17,70258688,52.35
2025-05-14 14:44:38,0.201,40.17,70258688,52.35
2025-05-14 14:44:43,0.201,40.17,70258688,52.35
2025-05-14 14:44:48,0.201,40.17,70258688,52.35
2025-05-14 14:44:53,0.201,40.17,70258688,52.35
2025-05-14 14:44:58,0.217,43.40,70258688,52.35
2025-05-14 14:45:03,0.217,43.40,70127616,52.25
2025-05-14 14:45:08,0.217,43.40,70127616,52.25
2025-05-14 14:45:13,0.217,43.40,70127616,52.25
2025-05-14 14:45:19,0.217,43.40,70127616,52.25
2025-05-14 14:45:24,0.217,43.40,70127616,52.25
2025-05-14 14:45:29,0.095,18.97,70127616,52.25
2025-05-14 14:45:34,0.095,18.97,70127616,52.25
2025-05-14 14:45:39,0.095,18.97,70127616,52.25
2025-05-14 14:45:44,0.095,18.97,70127616,52.25
2025-05-14 14:45:49,0.095,18.97,70127616,52.25
2025-05-14 14:45:54,0.095,18.97,70127616,52.25
2025-05-14 14:45:59,0.153,30.59,70094848,52.22
2025-05-14 14:46:05,0.153,30.59,70094848,52.22
2025-05-14 14:46:10,0.153,30.59,70094848,52.22
2025-05-14 14:46:15,0.153,30.59,70094848,52.22
2025-05-14 14:46:20,0.153,30.59,70094848,52.22
2025-05-14 14:46:25,0.153,30.59,70094848,52.22
2025-05-14 14:46:30,0.191,38.15,70094848,52.22
2025-05-14 14:46:35,0.191,38.15,70094848,52.22
