timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 00:40:41,0.282,46.98,56160256,41.84
2025-05-11 00:40:46,0.282,46.98,56160256,41.84
2025-05-11 00:40:51,0.282,46.98,56160256,41.84
2025-05-11 00:40:56,0.282,46.98,56160256,41.84
2025-05-11 00:41:02,0.282,46.98,55963648,41.70
2025-05-11 00:41:07,0.282,46.98,55963648,41.70
2025-05-11 00:41:12,0.352,58.62,55963648,41.70
2025-05-11 00:41:17,0.352,58.62,55963648,41.70
2025-05-11 00:41:22,0.352,58.62,55963648,41.70
2025-05-11 00:41:28,0.352,58.62,55963648,41.70
2025-05-11 00:41:33,0.352,58.62,55898112,41.65
2025-05-11 00:41:38,0.352,58.62,55898112,41.65
2025-05-11 00:41:43,0.354,58.97,55898112,41.65
2025-05-11 00:41:48,0.354,58.97,55898112,41.65
2025-05-11 00:41:53,0.354,58.97,55898112,41.65
2025-05-11 00:41:59,0.354,58.97,55898112,41.65
2025-05-11 00:42:04,0.354,58.97,55898112,41.65
2025-05-11 00:42:09,0.354,58.97,55898112,41.65
2025-05-11 00:42:14,0.329,54.77,55898112,41.65
2025-05-11 00:42:19,0.329,54.77,55898112,41.65
2025-05-11 00:42:25,0.329,54.77,55898112,41.65
2025-05-11 00:42:30,0.329,54.77,55898112,41.65
2025-05-11 00:42:35,0.329,54.77,55898112,41.65
2025-05-11 00:42:40,0.329,54.77,55898112,41.65
2025-05-11 00:42:45,0.239,39.90,55898112,41.65
2025-05-11 00:42:51,0.239,39.90,55898112,41.65
2025-05-11 00:42:56,0.239,39.90,55898112,41.65
2025-05-11 00:43:01,0.239,39.90,55771136,41.55
2025-05-11 00:43:06,0.239,39.90,55771136,41.55
2025-05-11 00:43:11,0.270,45.04,55771136,41.55
2025-05-11 00:43:16,0.270,45.04,55771136,41.55
2025-05-11 00:43:22,0.270,45.04,55771136,41.55
2025-05-11 00:43:27,0.270,45.04,55771136,41.55
2025-05-11 00:43:32,0.270,45.04,55349248,41.24
2025-05-11 00:43:37,0.270,45.04,55349248,41.24
2025-05-11 00:43:42,0.248,41.25,55349248,41.24
2025-05-11 00:43:47,0.248,41.25,55349248,41.24
2025-05-11 00:43:53,0.248,41.25,55349248,41.24
2025-05-11 00:43:58,0.248,41.25,55349248,41.24
2025-05-11 00:44:03,0.248,41.25,55533568,41.38
2025-05-11 00:44:08,0.248,41.25,55533568,41.38
2025-05-11 00:44:13,0.259,43.18,55533568,41.38
2025-05-11 00:44:19,0.259,43.18,55533568,41.38
2025-05-11 00:44:24,0.259,43.18,55533568,41.38
2025-05-11 00:44:29,0.259,43.18,55349248,41.24
