timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 00:31:16,0.371,61.80,53800960,40.08
2025-05-10 00:31:21,0.371,61.80,53800960,40.08
2025-05-10 00:31:26,0.371,61.80,53800960,40.08
2025-05-10 00:31:31,0.371,61.80,54644736,40.71
2025-05-10 00:31:37,0.371,61.80,54644736,40.71
2025-05-10 00:31:42,0.358,59.68,54644736,40.71
2025-05-10 00:31:47,0.358,59.68,54644736,40.71
2025-05-10 00:31:53,0.358,59.68,54644736,40.71
2025-05-10 00:31:58,0.358,59.68,54644736,40.71
2025-05-10 00:32:03,0.358,59.68,54661120,40.73
2025-05-10 00:32:08,0.358,59.68,54661120,40.73
2025-05-10 00:32:14,0.453,75.45,54661120,40.73
2025-05-10 00:32:19,0.453,75.45,54661120,40.73
2025-05-10 00:32:24,0.453,75.45,54661120,40.73
2025-05-10 00:32:29,0.453,75.45,54661120,40.73
2025-05-10 00:32:35,0.453,75.45,54804480,40.83
2025-05-10 00:32:40,0.453,75.45,54804480,40.83
2025-05-10 00:32:45,0.254,42.41,54804480,40.83
2025-05-10 00:32:51,0.254,42.41,54804480,40.83
2025-05-10 00:32:56,0.254,42.41,54804480,40.83
2025-05-10 00:33:01,0.254,42.41,54906880,40.91
2025-05-10 00:33:07,0.254,42.41,54906880,40.91
2025-05-10 00:33:12,0.570,95.02,54906880,40.91
2025-05-10 00:33:17,0.570,95.02,54906880,40.91
2025-05-10 00:33:23,0.570,95.02,54906880,40.91
2025-05-10 00:33:28,0.570,95.02,54906880,40.91
2025-05-10 00:33:33,0.570,95.02,55332864,41.23
2025-05-10 00:33:39,0.570,95.02,55332864,41.23
2025-05-10 00:33:44,0.464,77.25,55332864,41.23
2025-05-10 00:33:49,0.464,77.25,55332864,41.23
2025-05-10 00:33:55,0.464,77.25,55332864,41.23
2025-05-10 00:34:00,0.464,77.25,55332864,41.23
2025-05-10 00:34:05,0.464,77.25,56860672,42.36
