timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 00:59:13,0.441,73.42,55009280,40.99
2025-05-11 00:59:18,0.441,73.42,55009280,40.99
2025-05-11 00:59:24,0.441,73.42,55267328,41.18
2025-05-11 00:59:29,0.441,73.42,55267328,41.18
2025-05-11 00:59:34,0.441,73.42,55267328,41.18
2025-05-11 00:59:39,0.441,73.42,55267328,41.18
2025-05-11 00:59:45,0.697,116.09,55267328,41.18
2025-05-11 00:59:50,0.697,116.09,55267328,41.18
2025-05-11 00:59:55,0.697,116.09,56180736,41.86
2025-05-11 01:00:01,0.697,116.09,56180736,41.86
2025-05-11 01:00:06,0.697,116.09,56180736,41.86
2025-05-11 01:00:11,0.584,97.40,56180736,41.86
2025-05-11 01:00:16,0.584,97.40,56180736,41.86
2025-05-11 01:00:22,0.584,97.40,56180736,41.86
2025-05-11 01:00:27,0.584,97.40,56614912,42.18
2025-05-11 01:00:32,0.584,97.40,56614912,42.18
2025-05-11 01:00:37,0.584,97.40,56614912,42.18
2025-05-11 01:00:43,0.541,90.14,56614912,42.18
2025-05-11 01:00:48,0.541,90.14,56614912,42.18
2025-05-11 01:00:53,0.541,90.14,56881152,42.38
2025-05-11 01:00:59,0.541,90.14,56881152,42.38
2025-05-11 01:01:04,0.541,90.14,56881152,42.38
2025-05-11 01:01:09,0.541,90.14,56881152,42.38
2025-05-11 01:01:14,0.551,91.77,56881152,42.38
2025-05-11 01:01:20,0.551,91.77,56881152,42.38
2025-05-11 01:01:25,0.551,91.77,56758272,42.29
2025-05-11 01:01:30,0.551,91.77,56758272,42.29
2025-05-11 01:01:36,0.551,91.77,56758272,42.29
2025-05-11 01:01:41,0.491,81.80,56758272,42.29
2025-05-11 01:01:46,0.491,81.80,56758272,42.29
2025-05-11 01:01:51,0.491,81.80,56758272,42.29
2025-05-11 01:01:57,0.491,81.80,56754176,42.29
2025-05-11 01:02:02,0.491,81.80,56754176,42.29
2025-05-11 01:02:07,0.491,81.80,56754176,42.29
2025-05-11 01:02:12,0.762,126.94,56754176,42.29
2025-05-11 01:02:18,0.762,126.94,56754176,42.29
2025-05-11 01:02:23,0.762,126.94,56320000,41.96
2025-05-11 01:02:28,0.762,126.94,56320000,41.96
2025-05-11 01:02:33,0.762,126.94,56320000,41.96
2025-05-11 01:02:39,0.762,126.94,56320000,41.96
2025-05-11 01:02:44,0.358,59.71,56320000,41.96
2025-05-11 01:02:49,0.358,59.71,56320000,41.96
2025-05-11 01:02:54,0.358,59.71,56320000,41.96
2025-05-11 01:03:00,0.358,59.71,56320000,41.96
2025-05-11 01:03:05,0.358,59.71,56320000,41.96
2025-05-11 01:03:10,0.819,136.58,56320000,41.96
2025-05-11 01:03:16,0.819,136.58,56320000,41.96
2025-05-11 01:03:21,0.819,136.58,56320000,41.96
2025-05-11 01:03:26,0.819,136.58,56320000,41.96
2025-05-11 01:03:31,0.819,136.58,56320000,41.96
2025-05-11 01:03:37,0.819,136.58,56320000,41.96
2025-05-11 01:03:42,0.472,78.66,56320000,41.96
2025-05-11 01:03:47,0.472,78.66,56320000,41.96
2025-05-11 01:03:52,0.472,78.66,56324096,41.96
2025-05-11 01:03:58,0.472,78.66,56324096,41.96
2025-05-11 01:04:03,0.472,78.66,56324096,41.96
2025-05-11 01:04:08,0.472,78.66,56324096,41.96
2025-05-11 01:04:13,0.252,41.94,56324096,41.96
2025-05-11 01:04:19,0.252,41.94,56324096,41.96
2025-05-11 01:04:24,0.252,41.94,55836672,41.60
2025-05-11 01:04:29,0.252,41.94,55836672,41.60
2025-05-11 01:04:35,0.252,41.94,55836672,41.60
2025-05-11 01:04:40,0.252,41.94,55836672,41.60
2025-05-11 01:04:45,0.613,102.11,55836672,41.60
2025-05-11 01:04:51,0.613,102.11,55836672,41.60
2025-05-11 01:04:56,0.613,102.11,55746560,41.53
2025-05-11 01:05:01,0.613,102.11,55746560,41.53
2025-05-11 01:05:06,0.613,102.11,55746560,41.53
2025-05-11 01:05:12,0.273,45.45,55746560,41.53
2025-05-11 01:05:17,0.273,45.45,55746560,41.53
2025-05-11 01:05:22,0.273,45.45,55308288,41.21
2025-05-11 01:05:28,0.273,45.45,55308288,41.21
2025-05-11 01:05:33,0.273,45.45,55308288,41.21
2025-05-11 01:05:38,0.273,45.45,55308288,41.21
2025-05-11 01:05:44,0.420,70.08,55308288,41.21
2025-05-11 01:05:49,0.420,70.08,55308288,41.21
