timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 01:11:16,0.451,75.22,55349248,41.24
2025-05-10 01:11:21,0.451,75.22,55349248,41.24
2025-05-10 01:11:26,0.451,75.22,54636544,40.71
2025-05-10 01:11:31,0.451,75.22,54636544,40.71
2025-05-10 01:11:37,0.451,75.22,54636544,40.71
2025-05-10 01:11:42,0.171,28.47,54636544,40.71
2025-05-10 01:11:47,0.171,28.47,54636544,40.71
2025-05-10 01:11:52,0.171,28.47,55025664,41.00
2025-05-10 01:11:58,0.171,28.47,55025664,41.00
2025-05-10 01:12:03,0.171,28.47,55025664,41.00
2025-05-10 01:12:08,0.171,28.47,55025664,41.00
2025-05-10 01:12:13,0.455,75.89,55025664,41.00
2025-05-10 01:12:19,0.455,75.89,55025664,41.00
2025-05-10 01:12:24,0.455,75.89,55033856,41.00
2025-05-10 01:12:29,0.455,75.89,55033856,41.00
2025-05-10 01:12:34,0.455,75.89,55033856,41.00
2025-05-10 01:12:40,0.455,75.89,55033856,41.00
2025-05-10 01:12:45,0.391,65.18,55033856,41.00
2025-05-10 01:12:50,0.391,65.18,55033856,41.00
2025-05-10 01:12:56,0.391,65.18,57778176,43.05
2025-05-10 01:13:01,0.391,65.18,57778176,43.05
2025-05-10 01:13:06,0.391,65.18,57778176,43.05
2025-05-10 01:13:11,0.391,65.18,57778176,43.05
2025-05-10 01:13:17,0.518,86.27,57778176,43.05
2025-05-10 01:13:22,0.518,86.27,56795136,42.32
2025-05-10 01:13:27,0.518,86.27,56795136,42.32
2025-05-10 01:13:32,0.518,86.27,56795136,42.32
2025-05-10 01:13:38,0.518,86.27,56795136,42.32
2025-05-10 01:13:43,0.487,81.19,56795136,42.32
2025-05-10 01:13:49,0.487,81.19,56795136,42.32
2025-05-10 01:13:54,0.487,81.19,56795136,42.32
2025-05-10 01:13:59,0.487,81.19,56795136,42.32
2025-05-10 01:14:04,0.487,81.19,56795136,42.32
2025-05-10 01:14:10,0.487,81.19,56795136,42.32
