timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 13:52:14,0.304,50.64,53350400,39.75
2025-05-10 13:52:19,0.304,50.64,53350400,39.75
2025-05-10 13:52:25,0.304,50.64,53350400,39.75
2025-05-10 13:52:30,0.304,50.64,53350400,39.75
2025-05-10 13:52:35,0.304,50.64,53899264,40.16
2025-05-10 13:52:41,0.296,49.25,53899264,40.16
2025-05-10 13:52:46,0.296,49.25,53899264,40.16
2025-05-10 13:52:51,0.296,49.25,53899264,40.16
2025-05-10 13:52:56,0.296,49.25,53899264,40.16
2025-05-10 13:53:02,0.296,49.25,55271424,41.18
2025-05-10 13:53:07,0.296,49.25,55271424,41.18
2025-05-10 13:53:12,0.204,34.05,55271424,41.18
2025-05-10 13:53:18,0.204,34.05,55271424,41.18
2025-05-10 13:53:23,0.204,34.05,55271424,41.18
2025-05-10 13:53:28,0.204,34.05,55271424,41.18
2025-05-10 13:53:33,0.204,34.05,54636544,40.71
2025-05-10 13:53:39,0.204,34.05,54636544,40.71
2025-05-10 13:53:44,0.418,69.74,54636544,40.71
2025-05-10 13:53:49,0.418,69.74,54636544,40.71
2025-05-10 13:53:55,0.418,69.74,54636544,40.71
2025-05-10 13:54:00,0.418,69.74,54636544,40.71
2025-05-10 13:54:05,0.418,69.74,57618432,42.93
2025-05-10 13:54:11,0.325,54.23,57618432,42.93
2025-05-10 13:54:16,0.325,54.23,57618432,42.93
2025-05-10 13:54:21,0.325,54.23,57618432,42.93
2025-05-10 13:54:27,0.325,54.23,57618432,42.93
2025-05-10 13:54:32,0.325,54.23,56688640,42.24
2025-05-10 13:54:37,0.325,54.23,56688640,42.24
2025-05-10 13:54:42,0.339,56.51,56688640,42.24
2025-05-10 13:54:48,0.339,56.51,56688640,42.24
2025-05-10 13:54:53,0.339,56.51,56688640,42.24
2025-05-10 13:54:58,0.339,56.51,56688640,42.24
2025-05-10 13:55:04,0.339,56.51,56688640,42.24
2025-05-10 13:55:09,0.339,56.51,56688640,42.24
2025-05-10 13:55:14,0.356,59.31,56688640,42.24
2025-05-10 13:55:20,0.356,59.31,56688640,42.24
2025-05-10 13:55:25,0.356,59.31,56688640,42.24
2025-05-10 13:55:31,0.356,59.31,56688640,42.24
2025-05-10 13:55:36,0.356,59.31,56668160,42.22
2025-05-10 13:55:41,0.439,73.21,56668160,42.22
2025-05-10 13:55:46,0.439,73.21,56668160,42.22
2025-05-10 13:55:52,0.439,73.21,56668160,42.22
2025-05-10 13:55:57,0.439,73.21,56668160,42.22
2025-05-10 13:56:02,0.439,73.21,56365056,42.00
2025-05-10 13:56:08,0.439,73.21,56365056,42.00
2025-05-10 13:56:13,0.253,42.19,56365056,42.00
2025-05-10 13:56:18,0.253,42.19,56365056,42.00
2025-05-10 13:56:23,0.253,42.19,56365056,42.00
2025-05-10 13:56:29,0.253,42.19,56365056,42.00
2025-05-10 13:56:34,0.253,42.19,56528896,42.12
2025-05-10 13:56:39,0.253,42.19,56528896,42.12
2025-05-10 13:56:45,0.256,42.63,56528896,42.12
2025-05-10 13:56:50,0.256,42.63,56528896,42.12
2025-05-10 13:56:55,0.256,42.63,56528896,42.12
2025-05-10 13:57:01,0.256,42.63,56528896,42.12
2025-05-10 13:57:06,0.256,42.63,55951360,41.69
2025-05-10 13:57:11,0.235,39.12,55951360,41.69
2025-05-10 13:57:17,0.235,39.12,55951360,41.69
2025-05-10 13:57:22,0.235,39.12,55951360,41.69
2025-05-10 13:57:27,0.235,39.12,55951360,41.69
2025-05-10 13:57:33,0.235,39.12,55894016,41.64
2025-05-10 13:57:39,0.235,39.12,55894016,41.64
2025-05-10 13:57:44,0.200,33.27,55894016,41.64
2025-05-10 13:57:49,0.200,33.27,55894016,41.64
2025-05-10 13:57:55,0.200,33.27,55894016,41.64
2025-05-10 13:58:00,0.200,33.27,55894016,41.64
2025-05-10 13:58:05,0.200,33.27,55865344,41.62
2025-05-10 13:58:11,0.193,32.20,55865344,41.62
2025-05-10 13:58:18,0.193,32.20,55865344,41.62
2025-05-10 13:58:23,0.193,32.20,55865344,41.62
2025-05-10 13:58:28,0.193,32.20,55865344,41.62
2025-05-10 13:58:34,0.193,32.20,55701504,41.50
2025-05-10 13:58:39,0.193,32.20,55701504,41.50
2025-05-10 13:58:44,0.150,24.93,55701504,41.50
2025-05-10 13:58:50,0.150,24.93,55701504,41.50
2025-05-10 13:58:55,0.150,24.93,55701504,41.50
2025-05-10 13:59:00,0.150,24.93,55701504,41.50
2025-05-10 13:59:06,0.150,24.93,55701504,41.50
2025-05-10 13:59:11,0.164,27.30,55701504,41.50
2025-05-10 13:59:16,0.164,27.30,55701504,41.50
2025-05-10 13:59:22,0.164,27.30,55701504,41.50
2025-05-10 13:59:27,0.164,27.30,55701504,41.50
2025-05-10 13:59:32,0.164,27.30,55738368,41.53
2025-05-10 13:59:37,0.164,27.30,55738368,41.53
2025-05-10 13:59:43,0.080,13.31,55738368,41.53
2025-05-10 13:59:48,0.080,13.31,55738368,41.53
2025-05-10 13:59:53,0.080,13.31,55738368,41.53
2025-05-10 13:59:58,0.080,13.31,55738368,41.53
2025-05-10 14:00:04,0.080,13.31,55668736,41.48
2025-05-10 14:00:09,0.080,13.31,55668736,41.48
2025-05-10 14:00:14,0.158,26.30,55668736,41.48
2025-05-10 14:00:20,0.158,26.30,55668736,41.48
2025-05-10 14:00:25,0.158,26.30,55668736,41.48
2025-05-10 14:00:31,0.158,26.30,55668736,41.48
2025-05-10 14:00:36,0.158,26.30,55738368,41.53
2025-05-10 14:00:41,0.172,28.69,55738368,41.53
2025-05-10 14:00:47,0.172,28.69,55738368,41.53
2025-05-10 14:00:52,0.172,28.69,55738368,41.53
2025-05-10 14:00:58,0.172,28.69,55738368,41.53
2025-05-10 14:01:03,0.172,28.69,55820288,41.59
2025-05-10 14:01:08,0.172,28.69,55820288,41.59
2025-05-10 14:01:13,0.197,32.78,55820288,41.59
2025-05-10 14:01:19,0.197,32.78,55820288,41.59
2025-05-10 14:01:24,0.197,32.78,55820288,41.59
2025-05-10 14:01:29,0.197,32.78,55820288,41.59
2025-05-10 14:01:35,0.197,32.78,56553472,42.14
2025-05-10 14:01:40,0.197,32.78,56553472,42.14
2025-05-10 14:01:45,0.212,35.38,56553472,42.14
2025-05-10 14:01:50,0.212,35.38,56553472,42.14
2025-05-10 14:01:56,0.212,35.38,56553472,42.14
2025-05-10 14:02:04,0.212,35.38,56426496,42.04
2025-05-10 14:02:09,0.212,35.38,56426496,42.04
2025-05-10 14:02:15,0.280,46.66,56426496,42.04
2025-05-10 14:02:20,0.280,46.66,56426496,42.04
2025-05-10 14:02:26,0.280,46.66,56426496,42.04
2025-05-10 14:02:31,0.280,46.66,56426496,42.04
2025-05-10 14:02:36,0.280,46.66,56225792,41.89
2025-05-10 14:02:42,0.285,47.55,56225792,41.89
2025-05-10 14:02:47,0.285,47.55,56225792,41.89
2025-05-10 14:02:53,0.285,47.55,56225792,41.89
2025-05-10 14:02:58,0.285,47.55,56225792,41.89
2025-05-10 14:03:04,0.285,47.55,56946688,42.43
2025-05-10 14:03:09,0.285,47.55,56946688,42.43
2025-05-10 14:03:14,0.340,56.65,56946688,42.43
2025-05-10 14:03:20,0.340,56.65,56946688,42.43
2025-05-10 14:03:25,0.340,56.65,56946688,42.43
2025-05-10 14:03:30,0.340,56.65,56946688,42.43
2025-05-10 14:03:36,0.340,56.65,56270848,41.93
2025-05-10 14:03:41,0.324,54.01,56270848,41.93
2025-05-10 14:03:46,0.324,54.01,56270848,41.93
2025-05-10 14:03:51,0.324,54.01,56270848,41.93
2025-05-10 14:03:57,0.324,54.01,56270848,41.93
2025-05-10 14:04:02,0.324,54.01,56582144,42.16
2025-05-10 14:04:07,0.324,54.01,56582144,42.16
2025-05-10 14:04:12,0.347,57.90,56582144,42.16
2025-05-10 14:04:18,0.347,57.90,56582144,42.16
2025-05-10 14:04:23,0.347,57.90,56582144,42.16
2025-05-10 14:04:29,0.347,57.90,56582144,42.16
2025-05-10 14:04:34,0.347,57.90,56287232,41.94
2025-05-10 14:04:39,0.347,57.90,56287232,41.94
2025-05-10 14:04:45,0.211,35.18,56287232,41.94
2025-05-10 14:04:50,0.211,35.18,56287232,41.94
2025-05-10 14:04:55,0.211,35.18,56287232,41.94
2025-05-10 14:05:00,0.211,35.18,56287232,41.94
2025-05-10 14:05:06,0.211,35.18,56811520,42.33
2025-05-10 14:05:11,0.469,78.13,56811520,42.33
2025-05-10 14:05:16,0.469,78.13,56811520,42.33
2025-05-10 14:05:21,0.469,78.13,56811520,42.33
2025-05-10 14:05:27,0.469,78.13,56811520,42.33
2025-05-10 14:05:32,0.469,78.13,56176640,41.85
2025-05-10 14:05:37,0.469,78.13,56176640,41.85
2025-05-10 14:05:42,0.258,43.00,56176640,41.85
2025-05-10 14:05:48,0.258,43.00,56176640,41.85
2025-05-10 14:05:53,0.258,43.00,56176640,41.85
2025-05-10 14:05:58,0.258,43.00,56176640,41.85
2025-05-10 14:06:03,0.258,43.00,56242176,41.90
2025-05-10 14:06:09,0.258,43.00,56242176,41.90
2025-05-10 14:06:14,0.275,45.82,56242176,41.90
2025-05-10 14:06:19,0.275,45.82,56242176,41.90
2025-05-10 14:06:25,0.275,45.82,56242176,41.90
2025-05-10 14:06:30,0.275,45.82,56242176,41.90
2025-05-10 14:06:35,0.275,45.82,56074240,41.78
2025-05-10 14:06:41,0.310,51.63,56074240,41.78
2025-05-10 14:06:46,0.310,51.63,56074240,41.78
2025-05-10 14:06:51,0.310,51.63,56074240,41.78
2025-05-10 14:06:56,0.310,51.63,56074240,41.78
2025-05-10 14:07:02,0.310,51.63,56020992,41.74
2025-05-10 14:07:07,0.310,51.63,56020992,41.74
2025-05-10 14:07:12,0.196,32.68,56020992,41.74
2025-05-10 14:07:17,0.196,32.68,56020992,41.74
2025-05-10 14:07:23,0.196,32.68,56020992,41.74
2025-05-10 14:07:28,0.196,32.68,56020992,41.74
2025-05-10 14:07:34,0.196,32.68,56254464,41.91
2025-05-10 14:07:39,0.196,32.68,56254464,41.91
2025-05-10 14:07:44,0.188,31.37,56254464,41.91
2025-05-10 14:07:49,0.188,31.37,56254464,41.91
