timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:32:14,0.346,57.74,54693888,40.75
2025-05-10 12:32:19,0.346,57.74,54693888,40.75
2025-05-10 12:32:24,0.346,57.74,54693888,40.75
2025-05-10 12:32:30,0.346,57.74,54693888,40.75
2025-05-10 12:32:35,0.346,57.74,54693888,40.75
2025-05-10 12:32:40,0.428,71.27,72273920,53.85
2025-05-10 12:32:45,0.428,71.27,72273920,53.85
2025-05-10 12:32:51,0.428,71.27,72273920,53.85
2025-05-10 12:32:56,0.428,71.27,72273920,53.85
2025-05-10 12:33:01,0.428,71.27,72273920,53.85
2025-05-10 12:33:07,0.428,71.27,72273920,53.85
2025-05-10 12:33:12,0.379,63.09,71331840,53.15
2025-05-10 12:33:17,0.379,63.09,71331840,53.15
2025-05-10 12:33:23,0.379,63.09,71331840,53.15
2025-05-10 12:33:28,0.379,63.09,71331840,53.15
2025-05-10 12:33:33,0.379,63.09,71331840,53.15
2025-05-10 12:33:38,0.379,63.09,71499776,53.27
2025-05-10 12:33:44,0.536,89.35,71499776,53.27
2025-05-10 12:33:49,0.536,89.35,71499776,53.27
2025-05-10 12:33:54,0.536,89.35,71499776,53.27
2025-05-10 12:34:00,0.536,89.35,71499776,53.27
2025-05-10 12:34:05,0.536,89.35,71499776,53.27
2025-05-10 12:34:10,0.484,80.72,70279168,52.36
2025-05-10 12:34:16,0.484,80.72,70279168,52.36
2025-05-10 12:34:21,0.484,80.72,70279168,52.36
2025-05-10 12:34:26,0.484,80.72,70279168,52.36
2025-05-10 12:34:32,0.484,80.72,70279168,52.36
2025-05-10 12:34:37,0.484,80.72,70279168,52.36
2025-05-10 12:34:42,0.441,73.56,69468160,51.76
2025-05-10 12:34:47,0.441,73.56,69468160,51.76
2025-05-10 12:34:53,0.441,73.56,69468160,51.76
2025-05-10 12:34:58,0.441,73.56,69468160,51.76
2025-05-10 12:35:03,0.441,73.56,69468160,51.76
2025-05-10 12:35:09,0.441,73.56,69697536,51.93
2025-05-10 12:35:14,0.395,65.89,69697536,51.93
2025-05-10 12:35:20,0.395,65.89,69697536,51.93
2025-05-10 12:35:25,0.395,65.89,69697536,51.93
2025-05-10 12:35:30,0.395,65.89,69697536,51.93
2025-05-10 12:35:35,0.395,65.89,69697536,51.93
2025-05-10 12:35:41,0.488,81.26,69795840,52.00
2025-05-10 12:35:46,0.488,81.26,69795840,52.00
2025-05-10 12:35:51,0.488,81.26,69795840,52.00
2025-05-10 12:35:57,0.488,81.26,69795840,52.00
2025-05-10 12:36:02,0.488,81.26,69795840,52.00
2025-05-10 12:36:07,0.488,81.26,69795840,52.00
2025-05-10 12:36:13,0.178,29.64,69873664,52.06
2025-05-10 12:36:18,0.178,29.64,69873664,52.06
2025-05-10 12:36:23,0.178,29.64,69873664,52.06
2025-05-10 12:36:29,0.178,29.64,69873664,52.06
2025-05-10 12:36:34,0.178,29.64,69873664,52.06
2025-05-10 12:36:39,0.178,29.64,69337088,51.66
2025-05-10 12:36:45,0.346,57.72,69337088,51.66
2025-05-10 12:36:50,0.346,57.72,69337088,51.66
2025-05-10 12:36:55,0.346,57.72,69337088,51.66
2025-05-10 12:37:01,0.346,57.72,69337088,51.66
2025-05-10 12:37:06,0.346,57.72,69337088,51.66
2025-05-10 12:37:11,0.283,47.16,69595136,51.85
2025-05-10 12:37:16,0.283,47.16,69595136,51.85
2025-05-10 12:37:22,0.283,47.16,69595136,51.85
2025-05-10 12:37:27,0.283,47.16,69595136,51.85
2025-05-10 12:37:32,0.283,47.16,69595136,51.85
2025-05-10 12:37:38,0.283,47.16,69595136,51.85
2025-05-10 12:37:43,0.228,37.96,69181440,51.54
2025-05-10 12:37:48,0.228,37.96,69181440,51.54
2025-05-10 12:37:53,0.228,37.96,69181440,51.54
2025-05-10 12:37:59,0.228,37.96,69181440,51.54
2025-05-10 12:38:04,0.228,37.96,69181440,51.54
2025-05-10 12:38:09,0.228,37.96,68861952,51.31
2025-05-10 12:38:15,0.174,29.07,68861952,51.31
2025-05-10 12:38:20,0.174,29.07,68861952,51.31
2025-05-10 12:38:25,0.174,29.07,68861952,51.31
2025-05-10 12:38:31,0.174,29.07,68861952,51.31
2025-05-10 12:38:36,0.174,29.07,68861952,51.31
2025-05-10 12:38:41,0.060,9.98,68669440,51.16
2025-05-10 12:38:47,0.060,9.98,68669440,51.16
2025-05-10 12:38:52,0.060,9.98,68669440,51.16
2025-05-10 12:38:57,0.060,9.98,68669440,51.16
2025-05-10 12:39:03,0.060,9.98,68669440,51.16
2025-05-10 12:39:08,0.060,9.98,68669440,51.16
2025-05-10 12:39:13,0.190,31.62,68542464,51.07
2025-05-10 12:39:19,0.190,31.62,68542464,51.07
2025-05-10 12:39:24,0.190,31.62,68542464,51.07
2025-05-10 12:39:29,0.190,31.62,68542464,51.07
2025-05-10 12:39:35,0.190,31.62,68542464,51.07
2025-05-10 12:39:40,0.166,27.72,68542464,51.07
2025-05-10 12:39:46,0.166,27.72,68542464,51.07
2025-05-10 12:39:51,0.166,27.72,68542464,51.07
2025-05-10 12:39:56,0.166,27.72,68542464,51.07
2025-05-10 12:40:02,0.166,27.72,68542464,51.07
2025-05-10 12:40:07,0.166,27.72,68542464,51.07
2025-05-10 12:40:12,0.075,12.44,68542464,51.07
2025-05-10 12:40:18,0.075,12.44,68542464,51.07
2025-05-10 12:40:23,0.075,12.44,68542464,51.07
2025-05-10 12:40:28,0.075,12.44,68542464,51.07
2025-05-10 12:40:34,0.075,12.44,68542464,51.07
2025-05-10 12:40:39,0.075,12.44,68542464,51.07
2025-05-10 12:40:45,0.243,40.52,68542464,51.07
2025-05-10 12:40:50,0.243,40.52,68542464,51.07
2025-05-10 12:40:55,0.243,40.52,68542464,51.07
2025-05-10 12:41:01,0.243,40.52,68542464,51.07
2025-05-10 12:41:06,0.243,40.52,68542464,51.07
2025-05-10 12:41:11,0.223,37.19,68530176,51.06
2025-05-10 12:41:17,0.223,37.19,68530176,51.06
2025-05-10 12:41:22,0.223,37.19,68530176,51.06
2025-05-10 12:41:27,0.223,37.19,68530176,51.06
2025-05-10 12:41:32,0.223,37.19,68530176,51.06
2025-05-10 12:41:38,0.223,37.19,68530176,51.06
2025-05-10 12:41:43,0.243,40.46,68485120,51.03
2025-05-10 12:41:48,0.243,40.46,68485120,51.03
2025-05-10 12:41:54,0.243,40.46,68485120,51.03
2025-05-10 12:41:59,0.243,40.46,68485120,51.03
2025-05-10 12:42:04,0.243,40.46,68485120,51.03
2025-05-10 12:42:10,0.243,40.46,68386816,50.95
2025-05-10 12:42:15,0.259,43.12,68386816,50.95
2025-05-10 12:42:20,0.259,43.12,68386816,50.95
2025-05-10 12:42:26,0.259,43.12,68386816,50.95
2025-05-10 12:42:31,0.259,43.12,68386816,50.95
2025-05-10 12:42:36,0.259,43.12,68386816,50.95
2025-05-10 12:42:42,0.329,54.88,68599808,51.11
2025-05-10 12:42:47,0.329,54.88,68599808,51.11
2025-05-10 12:42:52,0.329,54.88,68599808,51.11
2025-05-10 12:42:58,0.329,54.88,68599808,51.11
2025-05-10 12:43:03,0.329,54.88,68599808,51.11
2025-05-10 12:43:08,0.329,54.88,68599808,51.11
2025-05-10 12:43:14,0.253,42.12,68808704,51.27
2025-05-10 12:43:19,0.253,42.12,68808704,51.27
2025-05-10 12:43:24,0.253,42.12,68808704,51.27
2025-05-10 12:43:30,0.253,42.12,68808704,51.27
2025-05-10 12:43:35,0.253,42.12,68808704,51.27
