timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:12:14,0.289,48.18,88080384,65.62
2025-05-10 12:12:20,0.289,48.18,88080384,65.62
2025-05-10 12:12:25,0.289,48.18,88080384,65.62
2025-05-10 12:12:30,0.289,48.18,88080384,65.62
2025-05-10 12:12:35,0.289,48.18,88932352,66.26
2025-05-10 12:12:40,0.165,27.47,88932352,66.26
2025-05-10 12:12:46,0.165,27.47,88932352,66.26
2025-05-10 12:12:51,0.165,27.47,88932352,66.26
2025-05-10 12:12:56,0.165,27.47,88932352,66.26
2025-05-10 12:13:01,0.165,27.47,88875008,66.22
2025-05-10 12:13:06,0.165,27.47,88875008,66.22
2025-05-10 12:13:12,0.294,49.08,88875008,66.22
2025-05-10 12:13:17,0.294,49.08,88875008,66.22
2025-05-10 12:13:22,0.294,49.08,88875008,66.22
2025-05-10 12:13:28,0.294,49.08,88875008,66.22
2025-05-10 12:13:33,0.294,49.08,89378816,66.59
2025-05-10 12:13:38,0.294,49.08,89378816,66.59
2025-05-10 12:13:43,0.313,52.20,89378816,66.59
2025-05-10 12:13:49,0.313,52.20,89378816,66.59
2025-05-10 12:13:54,0.313,52.20,89378816,66.59
2025-05-10 12:13:59,0.313,52.20,89378816,66.59
2025-05-10 12:14:04,0.313,52.20,90058752,67.10
2025-05-10 12:14:10,0.313,52.20,90058752,67.10
2025-05-10 12:14:15,0.306,51.06,90058752,67.10
2025-05-10 12:14:20,0.306,51.06,90058752,67.10
2025-05-10 12:14:26,0.306,51.06,90058752,67.10
2025-05-10 12:14:31,0.306,51.06,89473024,66.66
2025-05-10 12:14:37,0.306,51.06,89473024,66.66
2025-05-10 12:14:42,0.312,52.06,89473024,66.66
2025-05-10 12:14:47,0.312,52.06,89473024,66.66
2025-05-10 12:14:52,0.312,52.06,89473024,66.66
2025-05-10 12:14:57,0.312,52.06,89473024,66.66
2025-05-10 12:15:03,0.312,52.06,89624576,66.78
2025-05-10 12:15:08,0.312,52.06,89624576,66.78
2025-05-10 12:15:13,0.350,58.34,89624576,66.78
2025-05-10 12:15:19,0.350,58.34,89624576,66.78
2025-05-10 12:15:24,0.350,58.34,89624576,66.78
2025-05-10 12:15:29,0.350,58.34,89624576,66.78
2025-05-10 12:15:34,0.350,58.34,89866240,66.96
2025-05-10 12:15:39,0.350,58.34,89866240,66.96
2025-05-10 12:15:45,0.187,31.13,89866240,66.96
2025-05-10 12:15:50,0.187,31.13,89866240,66.96
2025-05-10 12:15:55,0.187,31.13,89866240,66.96
2025-05-10 12:16:00,0.187,31.13,89866240,66.96
2025-05-10 12:16:06,0.187,31.13,89083904,66.37
2025-05-10 12:16:11,0.246,40.93,89083904,66.37
2025-05-10 12:16:16,0.246,40.93,89083904,66.37
2025-05-10 12:16:22,0.246,40.93,89083904,66.37
2025-05-10 12:16:27,0.246,40.93,89083904,66.37
2025-05-10 12:16:32,0.246,40.93,89759744,66.88
2025-05-10 12:16:37,0.246,40.93,89759744,66.88
2025-05-10 12:16:43,0.272,45.39,89759744,66.88
2025-05-10 12:16:48,0.272,45.39,89759744,66.88
2025-05-10 12:16:53,0.272,45.39,89759744,66.88
2025-05-10 12:16:59,0.272,45.39,89759744,66.88
2025-05-10 12:17:04,0.272,45.39,89202688,66.46
2025-05-10 12:17:09,0.272,45.39,89202688,66.46
2025-05-10 12:17:14,0.182,30.32,89202688,66.46
2025-05-10 12:17:19,0.182,30.32,89202688,66.46
2025-05-10 12:17:25,0.182,30.32,89202688,66.46
2025-05-10 12:17:30,0.182,30.32,89202688,66.46
2025-05-10 12:17:35,0.182,30.32,89444352,66.64
2025-05-10 12:17:41,0.179,29.79,89444352,66.64
2025-05-10 12:17:46,0.179,29.79,89444352,66.64
