timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 00:31:42,0.475,79.14,56971264,42.45
2025-05-10 00:31:47,0.475,79.14,56668160,42.22
2025-05-10 00:31:53,0.475,79.14,56668160,42.22
2025-05-10 00:31:58,0.475,79.14,56668160,42.22
2025-05-10 00:32:03,0.475,79.14,56668160,42.22
2025-05-10 00:32:08,0.475,79.14,56668160,42.22
2025-05-10 00:32:14,0.597,99.51,56422400,42.04
2025-05-10 00:32:19,0.597,99.51,56422400,42.04
2025-05-10 00:32:24,0.597,99.51,56422400,42.04
2025-05-10 00:32:29,0.597,99.51,56422400,42.04
2025-05-10 00:32:35,0.597,99.51,56422400,42.04
2025-05-10 00:32:40,0.597,99.51,56422400,42.04
2025-05-10 00:32:45,0.407,67.86,56901632,42.40
2025-05-10 00:32:51,0.407,67.86,56901632,42.40
2025-05-10 00:32:56,0.407,67.86,56901632,42.40
2025-05-10 00:33:01,0.407,67.86,56901632,42.40
2025-05-10 00:33:07,0.407,67.86,56901632,42.40
2025-05-10 00:33:12,0.404,67.41,56901632,42.40
2025-05-10 00:33:17,0.404,67.41,56422400,42.04
2025-05-10 00:33:23,0.404,67.41,56422400,42.04
2025-05-10 00:33:28,0.404,67.41,56422400,42.04
2025-05-10 00:33:33,0.404,67.41,56422400,42.04
2025-05-10 00:33:39,0.404,67.41,56422400,42.04
2025-05-10 00:33:44,0.310,51.68,56487936,42.09
2025-05-10 00:33:49,0.310,51.68,56487936,42.09
2025-05-10 00:33:55,0.310,51.68,56487936,42.09
2025-05-10 00:34:00,0.310,51.68,56487936,42.09
2025-05-10 00:34:05,0.310,51.68,56487936,42.09
2025-05-10 00:34:11,0.310,51.68,56487936,42.09
2025-05-10 00:34:16,0.489,81.50,56422400,42.04
2025-05-10 00:34:21,0.489,81.50,56422400,42.04
2025-05-10 00:34:26,0.489,81.50,56422400,42.04
2025-05-10 00:34:32,0.489,81.50,56422400,42.04
2025-05-10 00:34:37,0.489,81.50,56422400,42.04
2025-05-10 00:34:42,0.434,72.42,56422400,42.04
2025-05-10 00:34:48,0.434,72.42,56422400,42.04
2025-05-10 00:34:53,0.434,72.42,56422400,42.04
2025-05-10 00:34:59,0.434,72.42,56422400,42.04
2025-05-10 00:35:04,0.434,72.42,56422400,42.04
2025-05-10 00:35:09,0.434,72.42,56422400,42.04
2025-05-10 00:35:14,0.395,65.86,56532992,42.12
2025-05-10 00:35:20,0.395,65.86,56532992,42.12
2025-05-10 00:35:25,0.395,65.86,56532992,42.12
2025-05-10 00:35:30,0.395,65.86,56532992,42.12
2025-05-10 00:35:36,0.395,65.86,56532992,42.12
2025-05-10 00:35:41,0.395,65.86,56532992,42.12
2025-05-10 00:35:46,0.342,57.04,56422400,42.04
2025-05-10 00:35:52,0.342,57.04,56422400,42.04
2025-05-10 00:35:57,0.342,57.04,56422400,42.04
2025-05-10 00:36:02,0.342,57.04,56422400,42.04
2025-05-10 00:36:08,0.342,57.04,56422400,42.04
2025-05-10 00:36:13,0.125,20.82,55910400,41.66
2025-05-10 00:36:18,0.125,20.82,55910400,41.66
2025-05-10 00:36:24,0.125,20.82,55910400,41.66
2025-05-10 00:36:29,0.125,20.82,55910400,41.66
2025-05-10 00:36:34,0.125,20.82,55910400,41.66
2025-05-10 00:36:40,0.125,20.82,55910400,41.66
2025-05-10 00:36:45,0.284,47.40,55652352,41.46
2025-05-10 00:36:51,0.284,47.40,55652352,41.46
2025-05-10 00:36:56,0.284,47.40,55652352,41.46
2025-05-10 00:37:01,0.284,47.40,55652352,41.46
2025-05-10 00:37:06,0.284,47.40,55652352,41.46
2025-05-10 00:37:12,0.130,21.67,55652352,41.46
2025-05-10 00:37:17,0.130,21.67,55754752,41.54
2025-05-10 00:37:22,0.130,21.67,55754752,41.54
2025-05-10 00:37:28,0.130,21.67,55754752,41.54
2025-05-10 00:37:33,0.130,21.67,55754752,41.54
2025-05-10 00:37:38,0.130,21.67,55754752,41.54
2025-05-10 00:37:44,0.149,24.91,55902208,41.65
2025-05-10 00:37:49,0.149,24.91,55902208,41.65
2025-05-10 00:37:54,0.149,24.91,55902208,41.65
2025-05-10 00:38:00,0.149,24.91,55902208,41.65
2025-05-10 00:38:05,0.149,24.91,55902208,41.65
2025-05-10 00:38:10,0.149,24.91,55902208,41.65
2025-05-10 00:38:16,0.129,21.43,55910400,41.66
2025-05-10 00:38:21,0.129,21.43,55910400,41.66
2025-05-10 00:38:26,0.129,21.43,55910400,41.66
2025-05-10 00:38:31,0.129,21.43,55910400,41.66
2025-05-10 00:38:37,0.129,21.43,55910400,41.66
2025-05-10 00:38:42,0.130,21.59,55910400,41.66
2025-05-10 00:38:47,0.130,21.59,55910400,41.66
2025-05-10 00:38:53,0.130,21.59,55910400,41.66
2025-05-10 00:38:58,0.130,21.59,55910400,41.66
2025-05-10 00:39:03,0.130,21.59,55910400,41.66
2025-05-10 00:39:09,0.130,21.59,55910400,41.66
2025-05-10 00:39:14,0.139,23.14,55906304,41.65
2025-05-10 00:39:19,0.139,23.14,55906304,41.65
2025-05-10 00:39:25,0.139,23.14,55906304,41.65
2025-05-10 00:39:30,0.139,23.14,55906304,41.65
2025-05-10 00:39:35,0.139,23.14,55906304,41.65
2025-05-10 00:39:41,0.139,23.14,55906304,41.65
2025-05-10 00:39:46,0.080,13.41,55902208,41.65
2025-05-10 00:39:51,0.080,13.41,55902208,41.65
2025-05-10 00:39:57,0.080,13.41,55902208,41.65
2025-05-10 00:40:02,0.080,13.41,55902208,41.65
2025-05-10 00:40:08,0.080,13.41,55902208,41.65
2025-05-10 00:40:13,0.235,39.12,55668736,41.48
2025-05-10 00:40:18,0.235,39.12,55668736,41.48
2025-05-10 00:40:24,0.235,39.12,55668736,41.48
2025-05-10 00:40:29,0.235,39.12,55668736,41.48
2025-05-10 00:40:34,0.235,39.12,55668736,41.48
2025-05-10 00:40:39,0.235,39.12,55668736,41.48
2025-05-10 00:40:45,0.141,23.52,55795712,41.57
2025-05-10 00:40:50,0.141,23.52,55795712,41.57
2025-05-10 00:40:55,0.141,23.52,55795712,41.57
2025-05-10 00:41:01,0.141,23.52,55795712,41.57
2025-05-10 00:41:06,0.141,23.52,55795712,41.57
2025-05-10 00:41:11,0.141,23.52,55795712,41.57
2025-05-10 00:41:17,0.276,45.98,56127488,41.82
2025-05-10 00:41:22,0.276,45.98,56127488,41.82
2025-05-10 00:41:28,0.276,45.98,56127488,41.82
2025-05-10 00:41:33,0.276,45.98,56127488,41.82
2025-05-10 00:41:38,0.276,45.98,56127488,41.82
2025-05-10 00:41:44,0.263,43.90,56238080,41.90
2025-05-10 00:41:49,0.263,43.90,56238080,41.90
2025-05-10 00:41:54,0.263,43.90,56238080,41.90
2025-05-10 00:41:59,0.263,43.90,56238080,41.90
2025-05-10 00:42:05,0.263,43.90,56238080,41.90
2025-05-10 00:42:10,0.263,43.90,56238080,41.90
2025-05-10 00:42:15,0.313,52.21,57036800,42.50
2025-05-10 00:42:21,0.313,52.21,57036800,42.50
2025-05-10 00:42:26,0.313,52.21,57036800,42.50
2025-05-10 00:42:31,0.313,52.21,57036800,42.50
2025-05-10 00:42:37,0.313,52.21,57036800,42.50
2025-05-10 00:42:42,0.399,66.55,57036800,42.50
2025-05-10 00:42:48,0.399,66.55,56664064,42.22
2025-05-10 00:42:53,0.399,66.55,56664064,42.22
2025-05-10 00:42:58,0.399,66.55,56664064,42.22
2025-05-10 00:43:04,0.399,66.55,56664064,42.22
2025-05-10 00:43:09,0.399,66.55,56664064,42.22
2025-05-10 00:43:14,0.555,92.47,56913920,42.40
2025-05-10 00:43:20,0.555,92.47,56913920,42.40
2025-05-10 00:43:25,0.555,92.47,56913920,42.40
2025-05-10 00:43:30,0.555,92.47,56913920,42.40
2025-05-10 00:43:36,0.555,92.47,56913920,42.40
2025-05-10 00:43:41,0.555,92.47,56913920,42.40
2025-05-10 00:43:46,0.290,48.36,56913920,42.40
2025-05-10 00:43:52,0.290,48.36,56913920,42.40
2025-05-10 00:43:57,0.290,48.36,56913920,42.40
2025-05-10 00:44:02,0.290,48.36,56913920,42.40
2025-05-10 00:44:08,0.290,48.36,56913920,42.40
2025-05-10 00:44:13,0.542,90.34,56848384,42.36
2025-05-10 00:44:18,0.542,90.34,56848384,42.36
2025-05-10 00:44:23,0.542,90.34,56848384,42.36
2025-05-10 00:44:29,0.542,90.34,56848384,42.36
2025-05-10 00:44:34,0.542,90.34,56848384,42.36
2025-05-10 00:44:39,0.542,90.34,56848384,42.36
2025-05-10 00:44:45,0.508,84.71,56446976,42.06
2025-05-10 00:44:50,0.508,84.71,56446976,42.06
2025-05-10 00:44:55,0.508,84.71,56446976,42.06
2025-05-10 00:45:01,0.508,84.71,56446976,42.06
2025-05-10 00:45:06,0.508,84.71,56446976,42.06
2025-05-10 00:45:11,0.508,84.71,56446976,42.06
2025-05-10 00:45:17,0.569,94.83,56635392,42.20
2025-05-10 00:45:22,0.569,94.83,56635392,42.20
2025-05-10 00:45:28,0.569,94.83,56635392,42.20
2025-05-10 00:45:33,0.569,94.83,56635392,42.20
2025-05-10 00:45:38,0.569,94.83,56635392,42.20
2025-05-10 00:45:44,0.243,40.43,56291328,41.94
2025-05-10 00:45:49,0.243,40.43,56291328,41.94
2025-05-10 00:45:54,0.243,40.43,56291328,41.94
2025-05-10 00:46:00,0.243,40.43,56291328,41.94
2025-05-10 00:46:05,0.243,40.43,56291328,41.94
2025-05-10 00:46:10,0.243,40.43,56291328,41.94
2025-05-10 00:46:16,0.554,92.34,56475648,42.08
2025-05-10 00:46:21,0.554,92.34,56475648,42.08
2025-05-10 00:46:26,0.554,92.34,56475648,42.08
2025-05-10 00:46:31,0.554,92.34,56475648,42.08
2025-05-10 00:46:37,0.554,92.34,56475648,42.08
2025-05-10 00:46:42,0.393,65.52,56475648,42.08
2025-05-10 00:46:47,0.393,65.52,56213504,41.88
2025-05-10 00:46:53,0.393,65.52,56213504,41.88
2025-05-10 00:46:58,0.393,65.52,56213504,41.88
2025-05-10 00:47:03,0.393,65.52,56213504,41.88
2025-05-10 00:47:09,0.393,65.52,56213504,41.88
2025-05-10 00:47:14,0.354,58.96,56520704,42.11
2025-05-10 00:47:19,0.354,58.96,56520704,42.11
2025-05-10 00:47:25,0.354,58.96,56520704,42.11
2025-05-10 00:47:30,0.354,58.96,56520704,42.11
2025-05-10 00:47:35,0.354,58.96,56520704,42.11
2025-05-10 00:47:41,0.354,58.96,56520704,42.11
2025-05-10 00:47:46,0.156,26.04,55832576,41.60
2025-05-10 00:47:51,0.156,26.04,55832576,41.60
2025-05-10 00:47:57,0.156,26.04,55832576,41.60
2025-05-10 00:48:02,0.156,26.04,55832576,41.60
2025-05-10 00:48:07,0.156,26.04,55832576,41.60
2025-05-10 00:48:12,0.249,41.53,55832576,41.60
2025-05-10 00:48:18,0.249,41.53,56053760,41.76
2025-05-10 00:48:23,0.249,41.53,56053760,41.76
2025-05-10 00:48:28,0.249,41.53,56053760,41.76
2025-05-10 00:48:34,0.249,41.53,56053760,41.76
2025-05-10 00:48:39,0.249,41.53,56053760,41.76
2025-05-10 00:48:45,0.242,40.39,56049664,41.76
2025-05-10 00:48:50,0.242,40.39,56049664,41.76
2025-05-10 00:48:55,0.242,40.39,56049664,41.76
2025-05-10 00:49:01,0.242,40.39,56049664,41.76
2025-05-10 00:49:06,0.242,40.39,56049664,41.76
2025-05-10 00:49:12,0.242,40.39,56049664,41.76
2025-05-10 00:49:17,0.210,35.07,56037376,41.75
2025-05-10 00:49:22,0.210,35.07,56037376,41.75
2025-05-10 00:49:27,0.210,35.07,56037376,41.75
2025-05-10 00:49:33,0.210,35.07,56037376,41.75
2025-05-10 00:49:38,0.210,35.07,56037376,41.75
2025-05-10 00:49:43,0.182,30.31,55881728,41.64
2025-05-10 00:49:49,0.182,30.31,55881728,41.64
2025-05-10 00:49:54,0.182,30.31,55881728,41.64
2025-05-10 00:49:59,0.182,30.31,55881728,41.64
2025-05-10 00:50:05,0.182,30.31,55881728,41.64
2025-05-10 00:50:10,0.182,30.31,55881728,41.64
2025-05-10 00:50:15,0.336,56.05,56184832,41.86
2025-05-10 00:50:21,0.336,56.05,56184832,41.86
2025-05-10 00:50:26,0.336,56.05,56184832,41.86
2025-05-10 00:50:31,0.336,56.05,56184832,41.86
2025-05-10 00:50:37,0.336,56.05,56184832,41.86
2025-05-10 00:50:42,0.412,68.63,56184832,41.86
2025-05-10 00:50:47,0.412,68.63,56287232,41.94
2025-05-10 00:50:52,0.412,68.63,56287232,41.94
2025-05-10 00:50:58,0.412,68.63,56287232,41.94
2025-05-10 00:51:03,0.412,68.63,56287232,41.94
2025-05-10 00:51:08,0.412,68.63,56287232,41.94
2025-05-10 00:51:14,0.315,52.51,56459264,42.07
2025-05-10 00:51:19,0.315,52.51,56459264,42.07
2025-05-10 00:51:24,0.315,52.51,56459264,42.07
2025-05-10 00:51:30,0.315,52.51,56459264,42.07
2025-05-10 00:51:35,0.315,52.51,56459264,42.07
2025-05-10 00:51:40,0.315,52.51,56459264,42.07
2025-05-10 00:51:46,0.517,86.17,56840192,42.35
2025-05-10 00:51:51,0.517,86.17,56840192,42.35
2025-05-10 00:51:56,0.517,86.17,56840192,42.35
2025-05-10 00:52:01,0.517,86.17,56840192,42.35
2025-05-10 00:52:07,0.517,86.17,56840192,42.35
2025-05-10 00:52:12,0.521,86.80,56840192,42.35
2025-05-10 00:52:17,0.521,86.80,56819712,42.33
2025-05-10 00:52:23,0.521,86.80,56819712,42.33
2025-05-10 00:52:28,0.521,86.80,56819712,42.33
2025-05-10 00:52:33,0.521,86.80,56819712,42.33
2025-05-10 00:52:38,0.521,86.80,56819712,42.33
2025-05-10 00:52:44,0.537,89.51,56598528,42.17
2025-05-10 00:52:49,0.537,89.51,56598528,42.17
2025-05-10 00:52:54,0.537,89.51,56598528,42.17
2025-05-10 00:53:00,0.537,89.51,56598528,42.17
2025-05-10 00:53:05,0.537,89.51,56598528,42.17
2025-05-10 00:53:10,0.537,89.51,56598528,42.17
2025-05-10 00:53:16,0.451,75.19,59539456,44.36
2025-05-10 00:53:21,0.451,75.19,59539456,44.36
2025-05-10 00:53:26,0.451,75.19,59539456,44.36
2025-05-10 00:53:31,0.451,75.19,59539456,44.36
2025-05-10 00:53:37,0.451,75.19,59539456,44.36
2025-05-10 00:53:42,0.371,61.82,59539456,44.36
2025-05-10 00:53:47,0.371,61.82,58634240,43.69
2025-05-10 00:53:53,0.371,61.82,58634240,43.69
2025-05-10 00:53:58,0.371,61.82,58634240,43.69
2025-05-10 00:54:03,0.371,61.82,58634240,43.69
2025-05-10 00:54:08,0.371,61.82,58634240,43.69
2025-05-10 00:54:14,0.677,112.90,58949632,43.92
2025-05-10 00:54:19,0.677,112.90,58949632,43.92
2025-05-10 00:54:24,0.677,112.90,58949632,43.92
2025-05-10 00:54:29,0.677,112.90,58949632,43.92
2025-05-10 00:54:35,0.677,112.90,58949632,43.92
2025-05-10 00:54:40,0.677,112.90,58949632,43.92
2025-05-10 00:54:45,0.544,90.72,59314176,44.19
2025-05-10 00:54:51,0.544,90.72,59314176,44.19
2025-05-10 00:54:56,0.544,90.72,59314176,44.19
2025-05-10 00:55:01,0.544,90.72,59314176,44.19
2025-05-10 00:55:07,0.544,90.72,59314176,44.19
2025-05-10 00:55:12,0.583,97.10,59314176,44.19
2025-05-10 00:55:17,0.583,97.10,58740736,43.77
2025-05-10 00:55:22,0.583,97.10,58740736,43.77
2025-05-10 00:55:28,0.583,97.10,58740736,43.77
2025-05-10 00:55:33,0.583,97.10,58740736,43.77
2025-05-10 00:55:38,0.583,97.10,58740736,43.77
2025-05-10 00:55:43,0.312,52.02,58462208,43.56
2025-05-10 00:55:49,0.312,52.02,58462208,43.56
2025-05-10 00:55:54,0.312,52.02,58462208,43.56
2025-05-10 00:55:59,0.312,52.02,58462208,43.56
2025-05-10 00:56:05,0.312,52.02,58462208,43.56
2025-05-10 00:56:10,0.312,52.02,58462208,43.56
2025-05-10 00:56:15,0.485,80.76,58478592,43.57
2025-05-10 00:56:21,0.485,80.76,58478592,43.57
2025-05-10 00:56:26,0.485,80.76,58478592,43.57
2025-05-10 00:56:31,0.485,80.76,58478592,43.57
2025-05-10 00:56:36,0.485,80.76,58478592,43.57
2025-05-10 00:56:42,0.391,65.21,58478592,43.57
2025-05-10 00:56:47,0.391,65.21,58335232,43.46
2025-05-10 00:56:52,0.391,65.21,58335232,43.46
2025-05-10 00:56:57,0.391,65.21,58335232,43.46
2025-05-10 00:57:03,0.391,65.21,58335232,43.46
2025-05-10 00:57:08,0.391,65.21,58335232,43.46
2025-05-10 00:57:13,0.351,58.44,58322944,43.45
2025-05-10 00:57:20,0.351,58.44,58322944,43.45
2025-05-10 00:57:25,0.351,58.44,58322944,43.45
2025-05-10 00:57:31,0.351,58.44,58322944,43.45
2025-05-10 00:57:36,0.351,58.44,58322944,43.45
2025-05-10 00:57:41,0.351,58.44,58322944,43.45
2025-05-10 00:57:46,0.415,69.18,58363904,43.48
2025-05-10 00:57:52,0.415,69.18,58363904,43.48
2025-05-10 00:57:57,0.415,69.18,58363904,43.48
2025-05-10 00:58:02,0.415,69.18,58363904,43.48
2025-05-10 00:58:08,0.415,69.18,58363904,43.48
2025-05-10 00:58:13,0.241,40.08,58306560,43.44
2025-05-10 00:58:18,0.241,40.08,58306560,43.44
2025-05-10 00:58:23,0.241,40.08,58306560,43.44
2025-05-10 00:58:29,0.241,40.08,58306560,43.44
2025-05-10 00:58:34,0.241,40.08,58306560,43.44
2025-05-10 00:58:39,0.241,40.08,58306560,43.44
2025-05-10 00:58:44,0.252,41.94,58306560,43.44
