timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 00:11:15,0.319,53.13,54378496,40.52
2025-05-10 00:11:20,0.319,53.13,54378496,40.52
2025-05-10 00:11:26,0.319,53.13,54378496,40.52
2025-05-10 00:11:31,0.319,53.13,54378496,40.52
2025-05-10 00:11:36,0.319,53.13,54378496,40.52
2025-05-10 00:11:41,0.319,53.13,54378496,40.52
2025-05-10 00:11:46,0.369,61.55,54431744,40.55
2025-05-10 00:11:51,0.369,61.55,54431744,40.55
2025-05-10 00:11:57,0.369,61.55,54431744,40.55
2025-05-10 00:12:02,0.369,61.55,54431744,40.55
2025-05-10 00:12:07,0.369,61.55,54431744,40.55
2025-05-10 00:12:12,0.243,40.51,54431744,40.55
2025-05-10 00:12:17,0.243,40.51,54976512,40.96
2025-05-10 00:12:23,0.243,40.51,54976512,40.96
2025-05-10 00:12:28,0.243,40.51,54976512,40.96
2025-05-10 00:12:33,0.243,40.51,54976512,40.96
2025-05-10 00:12:38,0.243,40.51,54976512,40.96
2025-05-10 00:12:43,0.569,94.90,54910976,40.91
2025-05-10 00:12:49,0.569,94.90,54910976,40.91
2025-05-10 00:12:54,0.569,94.90,54910976,40.91
2025-05-10 00:12:59,0.569,94.90,54910976,40.91
2025-05-10 00:13:04,0.569,94.90,54910976,40.91
2025-05-10 00:13:09,0.569,94.90,54910976,40.91
2025-05-10 00:13:15,0.343,57.19,55472128,41.33
2025-05-10 00:13:20,0.343,57.19,55472128,41.33
2025-05-10 00:13:25,0.343,57.19,55472128,41.33
2025-05-10 00:13:30,0.343,57.19,55472128,41.33
2025-05-10 00:13:35,0.343,57.19,55472128,41.33
2025-05-10 00:13:41,0.343,57.19,55472128,41.33
2025-05-10 00:13:46,0.458,76.34,55238656,41.16
2025-05-10 00:13:51,0.458,76.34,55238656,41.16
2025-05-10 00:13:56,0.458,76.34,55238656,41.16
2025-05-10 00:14:02,0.458,76.34,55238656,41.16
2025-05-10 00:14:07,0.458,76.34,55238656,41.16
2025-05-10 00:14:12,0.538,89.61,55238656,41.16
2025-05-10 00:14:17,0.538,89.61,55201792,41.13
2025-05-10 00:14:22,0.538,89.61,55201792,41.13
2025-05-10 00:14:28,0.538,89.61,55201792,41.13
2025-05-10 00:14:33,0.538,89.61,55201792,41.13
2025-05-10 00:14:38,0.538,89.61,55201792,41.13
2025-05-10 00:14:43,0.423,70.52,55562240,41.40
2025-05-10 00:14:48,0.423,70.52,55562240,41.40
2025-05-10 00:14:54,0.423,70.52,55562240,41.40
2025-05-10 00:14:59,0.423,70.52,55562240,41.40
2025-05-10 00:15:04,0.423,70.52,55562240,41.40
2025-05-10 00:15:09,0.423,70.52,55562240,41.40
2025-05-10 00:15:14,0.223,37.21,55451648,41.31
2025-05-10 00:15:20,0.223,37.21,55451648,41.31
2025-05-10 00:15:25,0.223,37.21,55451648,41.31
2025-05-10 00:15:30,0.223,37.21,55451648,41.31
2025-05-10 00:15:35,0.223,37.21,55451648,41.31
2025-05-10 00:15:41,0.223,37.21,55451648,41.31
2025-05-10 00:15:46,0.373,62.24,55050240,41.02
2025-05-10 00:15:51,0.373,62.24,55050240,41.02
2025-05-10 00:15:56,0.373,62.24,55050240,41.02
2025-05-10 00:16:02,0.373,62.24,55050240,41.02
2025-05-10 00:16:07,0.373,62.24,55050240,41.02
2025-05-10 00:16:12,0.286,47.73,55050240,41.02
2025-05-10 00:16:17,0.286,47.73,55414784,41.29
2025-05-10 00:16:23,0.286,47.73,55414784,41.29
2025-05-10 00:16:28,0.286,47.73,55414784,41.29
