timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 00:40:41,0.250,41.72,54816768,40.84
2025-05-11 00:40:46,0.250,41.72,54816768,40.84
2025-05-11 00:40:51,0.250,41.72,54816768,40.84
2025-05-11 00:40:56,0.250,41.72,54816768,40.84
2025-05-11 00:41:02,0.250,41.72,55103488,41.06
2025-05-11 00:41:07,0.250,41.72,55103488,41.06
2025-05-11 00:41:12,0.359,59.76,55103488,41.06
2025-05-11 00:41:17,0.359,59.76,55103488,41.06
2025-05-11 00:41:22,0.359,59.76,55103488,41.06
2025-05-11 00:41:28,0.359,59.76,55103488,41.06
2025-05-11 00:41:33,0.359,59.76,54874112,40.88
2025-05-11 00:41:38,0.359,59.76,54874112,40.88
2025-05-11 00:41:43,0.392,65.34,54874112,40.88
2025-05-11 00:41:48,0.392,65.34,54874112,40.88
2025-05-11 00:41:53,0.392,65.34,54874112,40.88
2025-05-11 00:41:59,0.392,65.34,54779904,40.81
2025-05-11 00:42:04,0.392,65.34,54779904,40.81
2025-05-11 00:42:09,0.392,65.34,54779904,40.81
2025-05-11 00:42:14,0.264,44.00,54779904,40.81
2025-05-11 00:42:19,0.264,44.00,54779904,40.81
2025-05-11 00:42:25,0.264,44.00,54779904,40.81
2025-05-11 00:42:30,0.264,44.00,54939648,40.93
2025-05-11 00:42:35,0.264,44.00,54939648,40.93
2025-05-11 00:42:40,0.264,44.00,54939648,40.93
2025-05-11 00:42:45,0.242,40.33,54939648,40.93
2025-05-11 00:42:51,0.242,40.33,54939648,40.93
2025-05-11 00:42:56,0.242,40.33,54939648,40.93
2025-05-11 00:43:01,0.242,40.33,54685696,40.74
2025-05-11 00:43:06,0.242,40.33,54685696,40.74
2025-05-11 00:43:11,0.257,42.85,54685696,40.74
2025-05-11 00:43:16,0.257,42.85,54685696,40.74
2025-05-11 00:43:22,0.257,42.85,54685696,40.74
2025-05-11 00:43:27,0.257,42.85,54685696,40.74
2025-05-11 00:43:32,0.257,42.85,54628352,40.70
2025-05-11 00:43:37,0.257,42.85,54628352,40.70
2025-05-11 00:43:42,0.335,55.79,54628352,40.70
2025-05-11 00:43:47,0.335,55.79,54628352,40.70
2025-05-11 00:43:53,0.335,55.79,54628352,40.70
2025-05-11 00:43:58,0.335,55.79,54628352,40.70
2025-05-11 00:44:03,0.335,55.79,54525952,40.62
2025-05-11 00:44:08,0.335,55.79,54525952,40.62
2025-05-11 00:44:13,0.245,40.84,54525952,40.62
2025-05-11 00:44:19,0.245,40.84,54525952,40.62
2025-05-11 00:44:24,0.245,40.84,54525952,40.62
2025-05-11 00:44:29,0.245,40.84,54525952,40.62
2025-05-11 00:44:34,0.245,40.84,54525952,40.62
2025-05-11 00:44:40,0.245,40.84,54525952,40.62
2025-05-11 00:44:45,0.182,30.28,54525952,40.62
2025-05-11 00:44:50,0.182,30.28,54525952,40.62
2025-05-11 00:44:55,0.182,30.28,54525952,40.62
2025-05-11 00:45:00,0.182,30.28,54525952,40.62
2025-05-11 00:45:05,0.182,30.28,54525952,40.62
2025-05-11 00:45:11,0.141,23.43,54525952,40.62
2025-05-11 00:45:16,0.141,23.43,54525952,40.62
2025-05-11 00:45:21,0.141,23.43,54525952,40.62
2025-05-11 00:45:26,0.141,23.43,54525952,40.62
2025-05-11 00:45:31,0.141,23.43,54513664,40.62
2025-05-11 00:45:36,0.141,23.43,54513664,40.62
2025-05-11 00:45:42,0.122,20.28,54513664,40.62
2025-05-11 00:45:47,0.122,20.28,54513664,40.62
2025-05-11 00:45:52,0.122,20.28,54513664,40.62
2025-05-11 00:45:57,0.122,20.28,54513664,40.62
2025-05-11 00:46:02,0.122,20.28,54841344,40.86
2025-05-11 00:46:08,0.122,20.28,54841344,40.86
2025-05-11 00:46:13,0.113,18.78,54841344,40.86
2025-05-11 00:46:18,0.113,18.78,54841344,40.86
2025-05-11 00:46:23,0.113,18.78,54841344,40.86
2025-05-11 00:46:28,0.113,18.78,54841344,40.86
2025-05-11 00:46:33,0.113,18.78,54231040,40.41
2025-05-11 00:46:39,0.113,18.78,54231040,40.41
