timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:32:14,0.294,49.07,54083584,40.30
2025-05-10 12:32:19,0.294,49.07,54083584,40.30
2025-05-10 12:32:24,0.294,49.07,54083584,40.30
2025-05-10 12:32:30,0.294,49.07,54083584,40.30
2025-05-10 12:32:35,0.294,49.07,54083584,40.30
2025-05-10 12:32:40,0.387,64.42,72450048,53.98
2025-05-10 12:32:45,0.387,64.42,72450048,53.98
2025-05-10 12:32:51,0.387,64.42,72450048,53.98
2025-05-10 12:32:56,0.387,64.42,72450048,53.98
2025-05-10 12:33:01,0.387,64.42,72450048,53.98
2025-05-10 12:33:07,0.387,64.42,72450048,53.98
2025-05-10 12:33:12,0.524,87.31,72028160,53.67
2025-05-10 12:33:17,0.524,87.31,72028160,53.67
2025-05-10 12:33:23,0.524,87.31,72028160,53.67
2025-05-10 12:33:28,0.524,87.31,72028160,53.67
2025-05-10 12:33:33,0.524,87.31,72028160,53.67
2025-05-10 12:33:38,0.524,87.31,71864320,53.54
2025-05-10 12:33:44,0.465,77.45,71864320,53.54
2025-05-10 12:33:49,0.465,77.45,71864320,53.54
2025-05-10 12:33:54,0.465,77.45,71864320,53.54
2025-05-10 12:34:00,0.465,77.45,71864320,53.54
2025-05-10 12:34:05,0.465,77.45,71864320,53.54
2025-05-10 12:34:10,0.491,81.85,71233536,53.07
2025-05-10 12:34:16,0.491,81.85,71233536,53.07
2025-05-10 12:34:21,0.491,81.85,71233536,53.07
2025-05-10 12:34:26,0.491,81.85,71233536,53.07
2025-05-10 12:34:32,0.491,81.85,71233536,53.07
2025-05-10 12:34:37,0.491,81.85,71233536,53.07
2025-05-10 12:34:42,0.538,89.64,71249920,53.09
2025-05-10 12:34:47,0.538,89.64,71249920,53.09
2025-05-10 12:34:53,0.538,89.64,71249920,53.09
2025-05-10 12:34:58,0.538,89.64,71249920,53.09
2025-05-10 12:35:03,0.538,89.64,71249920,53.09
2025-05-10 12:35:09,0.538,89.64,70840320,52.78
2025-05-10 12:35:14,0.408,67.96,70840320,52.78
2025-05-10 12:35:20,0.408,67.96,70840320,52.78
2025-05-10 12:35:25,0.408,67.96,70840320,52.78
2025-05-10 12:35:30,0.408,67.96,70840320,52.78
2025-05-10 12:35:35,0.408,67.96,70840320,52.78
2025-05-10 12:35:41,0.487,81.09,70778880,52.73
2025-05-10 12:35:46,0.487,81.09,70778880,52.73
2025-05-10 12:35:51,0.487,81.09,70778880,52.73
2025-05-10 12:35:57,0.487,81.09,70778880,52.73
2025-05-10 12:36:02,0.487,81.09,70778880,52.73
2025-05-10 12:36:07,0.487,81.09,71208960,53.05
2025-05-10 12:36:13,0.378,63.04,71208960,53.05
2025-05-10 12:36:18,0.378,63.04,71208960,53.05
2025-05-10 12:36:23,0.378,63.04,71208960,53.05
2025-05-10 12:36:29,0.378,63.04,71208960,53.05
2025-05-10 12:36:34,0.378,63.04,71208960,53.05
2025-05-10 12:36:39,0.378,63.04,71008256,52.91
2025-05-10 12:36:45,0.259,43.21,71008256,52.91
2025-05-10 12:36:50,0.259,43.21,71008256,52.91
2025-05-10 12:36:55,0.259,43.21,71008256,52.91
2025-05-10 12:37:01,0.259,43.21,71008256,52.91
2025-05-10 12:37:06,0.259,43.21,71008256,52.91
2025-05-10 12:37:11,0.424,70.70,70111232,52.24
2025-05-10 12:37:16,0.424,70.70,70111232,52.24
2025-05-10 12:37:22,0.424,70.70,70111232,52.24
2025-05-10 12:37:27,0.424,70.70,70111232,52.24
2025-05-10 12:37:32,0.424,70.70,70111232,52.24
2025-05-10 12:37:38,0.424,70.70,69816320,52.02
2025-05-10 12:37:43,0.233,38.77,69816320,52.02
2025-05-10 12:37:48,0.233,38.77,69816320,52.02
2025-05-10 12:37:53,0.233,38.77,69816320,52.02
2025-05-10 12:37:59,0.233,38.77,69816320,52.02
2025-05-10 12:38:04,0.233,38.77,69816320,52.02
2025-05-10 12:38:09,0.233,38.77,69910528,52.09
2025-05-10 12:38:15,0.171,28.49,69910528,52.09
2025-05-10 12:38:20,0.171,28.49,69910528,52.09
2025-05-10 12:38:25,0.171,28.49,69910528,52.09
2025-05-10 12:38:31,0.171,28.49,69910528,52.09
2025-05-10 12:38:36,0.171,28.49,69910528,52.09
2025-05-10 12:38:41,0.202,33.70,69627904,51.88
2025-05-10 12:38:47,0.202,33.70,69627904,51.88
2025-05-10 12:38:52,0.202,33.70,69627904,51.88
2025-05-10 12:38:57,0.202,33.70,69627904,51.88
2025-05-10 12:39:03,0.202,33.70,69627904,51.88
2025-05-10 12:39:08,0.202,33.70,69152768,51.52
2025-05-10 12:39:13,0.188,31.38,69152768,51.52
2025-05-10 12:39:19,0.188,31.38,69152768,51.52
2025-05-10 12:39:24,0.188,31.38,69152768,51.52
2025-05-10 12:39:29,0.188,31.38,69152768,51.52
2025-05-10 12:39:35,0.188,31.38,69152768,51.52
2025-05-10 12:39:40,0.180,30.05,69152768,51.52
2025-05-10 12:39:46,0.180,30.05,69152768,51.52
2025-05-10 12:39:51,0.180,30.05,69152768,51.52
2025-05-10 12:39:56,0.180,30.05,69152768,51.52
2025-05-10 12:40:02,0.180,30.05,69152768,51.52
2025-05-10 12:40:07,0.180,30.05,69246976,51.59
2025-05-10 12:40:12,0.216,35.98,69246976,51.59
2025-05-10 12:40:18,0.216,35.98,69246976,51.59
2025-05-10 12:40:23,0.216,35.98,69246976,51.59
2025-05-10 12:40:28,0.216,35.98,69246976,51.59
2025-05-10 12:40:34,0.216,35.98,69246976,51.59
2025-05-10 12:40:39,0.216,35.98,69152768,51.52
2025-05-10 12:40:45,0.274,45.63,69152768,51.52
2025-05-10 12:40:50,0.274,45.63,69152768,51.52
2025-05-10 12:40:55,0.274,45.63,69152768,51.52
2025-05-10 12:41:01,0.274,45.63,69152768,51.52
2025-05-10 12:41:06,0.274,45.63,69152768,51.52
2025-05-10 12:41:11,0.223,37.20,69152768,51.52
2025-05-10 12:41:17,0.223,37.20,69152768,51.52
2025-05-10 12:41:22,0.223,37.20,69152768,51.52
2025-05-10 12:41:27,0.223,37.20,69152768,51.52
2025-05-10 12:41:32,0.223,37.20,69152768,51.52
2025-05-10 12:41:38,0.223,37.20,69836800,52.03
2025-05-10 12:41:43,0.271,45.14,69836800,52.03
2025-05-10 12:41:48,0.271,45.14,69836800,52.03
2025-05-10 12:41:54,0.271,45.14,69836800,52.03
2025-05-10 12:41:59,0.271,45.14,69836800,52.03
2025-05-10 12:42:04,0.271,45.14,69836800,52.03
2025-05-10 12:42:10,0.271,45.14,69541888,51.81
2025-05-10 12:42:15,0.236,39.25,69541888,51.81
2025-05-10 12:42:20,0.236,39.25,69541888,51.81
2025-05-10 12:42:26,0.236,39.25,69541888,51.81
2025-05-10 12:42:31,0.236,39.25,69541888,51.81
2025-05-10 12:42:36,0.236,39.25,69541888,51.81
2025-05-10 12:42:42,0.353,58.83,69206016,51.56
2025-05-10 12:42:47,0.353,58.83,69206016,51.56
2025-05-10 12:42:52,0.353,58.83,69206016,51.56
2025-05-10 12:42:58,0.353,58.83,69206016,51.56
2025-05-10 12:43:03,0.353,58.83,69206016,51.56
2025-05-10 12:43:08,0.353,58.83,69136384,51.51
2025-05-10 12:43:14,0.511,85.24,69136384,51.51
2025-05-10 12:43:19,0.511,85.24,69136384,51.51
2025-05-10 12:43:24,0.511,85.24,69136384,51.51
2025-05-10 12:43:30,0.511,85.24,69136384,51.51
2025-05-10 12:43:35,0.511,85.24,69136384,51.51
2025-05-10 12:43:40,0.523,87.15,69316608,51.64
2025-05-10 12:43:46,0.523,87.15,69316608,51.64
2025-05-10 12:43:51,0.523,87.15,69316608,51.64
2025-05-10 12:43:56,0.523,87.15,69316608,51.64
2025-05-10 12:44:01,0.523,87.15,69316608,51.64
2025-05-10 12:44:07,0.523,87.15,69316608,51.64
2025-05-10 12:44:12,0.315,52.58,69238784,51.59
2025-05-10 12:44:17,0.315,52.58,69238784,51.59
2025-05-10 12:44:23,0.315,52.58,69238784,51.59
2025-05-10 12:44:28,0.315,52.58,69238784,51.59
2025-05-10 12:44:33,0.315,52.58,69238784,51.59
2025-05-10 12:44:39,0.315,52.58,70000640,52.15
2025-05-10 12:44:44,0.547,91.16,70000640,52.15
2025-05-10 12:44:50,0.547,91.16,70000640,52.15
2025-05-10 12:44:55,0.547,91.16,70000640,52.15
2025-05-10 12:45:00,0.547,91.16,70000640,52.15
2025-05-10 12:45:06,0.547,91.16,70000640,52.15
2025-05-10 12:45:11,0.411,68.49,70418432,52.47
2025-05-10 12:45:16,0.411,68.49,70418432,52.47
2025-05-10 12:45:22,0.411,68.49,70418432,52.47
2025-05-10 12:45:27,0.411,68.49,70418432,52.47
2025-05-10 12:45:32,0.411,68.49,70418432,52.47
2025-05-10 12:45:38,0.411,68.49,70049792,52.19
2025-05-10 12:45:43,0.393,65.43,70049792,52.19
2025-05-10 12:45:48,0.393,65.43,70049792,52.19
2025-05-10 12:45:54,0.393,65.43,70049792,52.19
2025-05-10 12:45:59,0.393,65.43,70049792,52.19
2025-05-10 12:46:04,0.393,65.43,70049792,52.19
2025-05-10 12:46:10,0.393,65.43,69238784,51.59
2025-05-10 12:46:15,0.359,59.85,69238784,51.59
2025-05-10 12:46:20,0.359,59.85,69238784,51.59
2025-05-10 12:46:26,0.359,59.85,69238784,51.59
2025-05-10 12:46:31,0.359,59.85,69238784,51.59
2025-05-10 12:46:36,0.359,59.85,69238784,51.59
2025-05-10 12:46:41,0.265,44.17,69509120,51.79
2025-05-10 12:46:47,0.265,44.17,69509120,51.79
2025-05-10 12:46:52,0.265,44.17,69509120,51.79
2025-05-10 12:46:57,0.265,44.17,69509120,51.79
2025-05-10 12:47:03,0.265,44.17,69509120,51.79
2025-05-10 12:47:08,0.265,44.17,69238784,51.59
2025-05-10 12:47:13,0.372,61.93,69238784,51.59
2025-05-10 12:47:19,0.372,61.93,69238784,51.59
2025-05-10 12:47:24,0.372,61.93,69238784,51.59
