timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-11 01:36:45,0.221,36.78,56442880,42.05
2025-05-11 01:36:50,0.221,36.78,56442880,42.05
2025-05-11 01:36:55,0.221,36.78,56180736,41.86
2025-05-11 01:37:01,0.221,36.78,56180736,41.86
2025-05-11 01:37:06,0.221,36.78,56180736,41.86
2025-05-11 01:37:11,0.551,91.80,56180736,41.86
2025-05-11 01:37:16,0.551,91.80,56180736,41.86
2025-05-11 01:37:21,0.551,91.80,56180736,41.86
2025-05-11 01:37:27,0.551,91.80,56975360,42.45
2025-05-11 01:37:32,0.551,91.80,56975360,42.45
2025-05-11 01:37:37,0.551,91.80,56975360,42.45
2025-05-11 01:37:42,0.453,75.55,56975360,42.45
2025-05-11 01:37:48,0.453,75.55,56975360,42.45
2025-05-11 01:37:53,0.453,75.55,57348096,42.73
2025-05-11 01:37:58,0.453,75.55,57348096,42.73
2025-05-11 01:38:03,0.453,75.55,57348096,42.73
2025-05-11 01:38:09,0.453,75.55,57348096,42.73
2025-05-11 01:38:14,0.406,67.74,57348096,42.73
2025-05-11 01:38:19,0.406,67.74,57348096,42.73
2025-05-11 01:38:24,0.406,67.74,68825088,51.28
2025-05-11 01:38:29,0.406,67.74,68825088,51.28
2025-05-11 01:38:35,0.406,67.74,68825088,51.28
2025-05-11 01:38:40,0.406,67.74,68825088,51.28
2025-05-11 01:38:45,0.482,80.36,68825088,51.28
2025-05-11 01:38:50,0.482,80.36,68825088,51.28
2025-05-11 01:38:56,0.482,80.36,67891200,50.58
2025-05-11 01:39:01,0.482,80.36,67891200,50.58
2025-05-11 01:39:06,0.482,80.36,67891200,50.58
2025-05-11 01:39:11,0.549,91.44,67891200,50.58
2025-05-11 01:39:17,0.549,91.44,67891200,50.58
2025-05-11 01:39:22,0.549,91.44,67891200,50.58
2025-05-11 01:39:27,0.549,91.44,67891200,50.58
2025-05-11 01:39:32,0.549,91.44,67891200,50.58
2025-05-11 01:39:37,0.549,91.44,67891200,50.58
2025-05-11 01:39:43,0.590,98.31,67891200,50.58
2025-05-11 01:39:48,0.590,98.31,67891200,50.58
2025-05-11 01:39:53,0.590,98.31,67891200,50.58
2025-05-11 01:39:58,0.590,98.31,67891200,50.58
2025-05-11 01:40:04,0.590,98.31,67891200,50.58
2025-05-11 01:40:09,0.590,98.31,67891200,50.58
2025-05-11 01:40:14,0.329,54.80,67891200,50.58
2025-05-11 01:40:19,0.329,54.80,67891200,50.58
2025-05-11 01:40:25,0.329,54.80,68096000,50.74
2025-05-11 01:40:30,0.329,54.80,68096000,50.74
2025-05-11 01:40:35,0.329,54.80,68096000,50.74
2025-05-11 01:40:40,0.358,59.66,68096000,50.74
2025-05-11 01:40:45,0.358,59.66,68096000,50.74
2025-05-11 01:40:51,0.358,59.66,68096000,50.74
2025-05-11 01:40:56,0.358,59.66,67682304,50.43
2025-05-11 01:41:01,0.358,59.66,67682304,50.43
2025-05-11 01:41:06,0.358,59.66,67682304,50.43
2025-05-11 01:41:11,0.320,53.29,67682304,50.43
2025-05-11 01:41:17,0.320,53.29,67682304,50.43
2025-05-11 01:41:22,0.320,53.29,67055616,49.96
2025-05-11 01:41:27,0.320,53.29,67055616,49.96
2025-05-11 01:41:32,0.320,53.29,67055616,49.96
2025-05-11 01:41:38,0.320,53.29,67055616,49.96
2025-05-11 01:41:43,0.330,55.05,67055616,49.96
2025-05-11 01:41:48,0.330,55.05,67055616,49.96
2025-05-11 01:41:53,0.330,55.05,67059712,49.96
2025-05-11 01:41:58,0.330,55.05,67059712,49.96
2025-05-11 01:42:04,0.330,55.05,67059712,49.96
2025-05-11 01:42:09,0.330,55.05,67059712,49.96
2025-05-11 01:42:14,0.191,31.80,67059712,49.96
2025-05-11 01:42:19,0.191,31.80,67059712,49.96
2025-05-11 01:42:25,0.191,31.80,66576384,49.60
2025-05-11 01:42:30,0.191,31.80,66576384,49.60
2025-05-11 01:42:35,0.191,31.80,66576384,49.60
2025-05-11 01:42:40,0.146,24.41,66576384,49.60
2025-05-11 01:42:45,0.146,24.41,66576384,49.60
2025-05-11 01:42:51,0.146,24.41,66576384,49.60
2025-05-11 01:42:56,0.146,24.41,66699264,49.69
2025-05-11 01:43:01,0.146,24.41,66699264,49.69
2025-05-11 01:43:06,0.146,24.41,66699264,49.69
2025-05-11 01:43:12,0.216,36.03,66699264,49.69
2025-05-11 01:43:17,0.216,36.03,66699264,49.69
2025-05-11 01:43:22,0.216,36.03,66351104,49.44
2025-05-11 01:43:27,0.216,36.03,66351104,49.44
2025-05-11 01:43:33,0.216,36.03,66351104,49.44
2025-05-11 01:43:38,0.216,36.03,66351104,49.44
2025-05-11 01:43:43,0.179,29.75,66351104,49.44
2025-05-11 01:43:48,0.179,29.75,66351104,49.44
2025-05-11 01:43:53,0.179,29.75,66351104,49.44
2025-05-11 01:43:59,0.179,29.75,66351104,49.44
2025-05-11 01:44:04,0.179,29.75,66351104,49.44
2025-05-11 01:44:09,0.179,29.75,66351104,49.44
2025-05-11 01:44:14,0.241,40.24,66351104,49.44
2025-05-11 01:44:20,0.241,40.24,66351104,49.44
2025-05-11 01:44:25,0.241,40.24,66351104,49.44
2025-05-11 01:44:30,0.241,40.24,66351104,49.44
2025-05-11 01:44:35,0.241,40.24,66351104,49.44
2025-05-11 01:44:40,0.134,22.29,66351104,49.44
2025-05-11 01:44:46,0.134,22.29,66351104,49.44
2025-05-11 01:44:51,0.134,22.29,66351104,49.44
2025-05-11 01:44:56,0.134,22.29,66351104,49.44
2025-05-11 01:45:01,0.134,22.29,66351104,49.44
2025-05-11 01:45:07,0.134,22.29,66351104,49.44
2025-05-11 01:45:12,0.314,52.29,66351104,49.44
2025-05-11 01:45:17,0.314,52.29,66351104,49.44
2025-05-11 01:45:22,0.314,52.29,66351104,49.44
2025-05-11 01:45:27,0.314,52.29,66351104,49.44
2025-05-11 01:45:33,0.314,52.29,66351104,49.44
2025-05-11 01:45:38,0.314,52.29,66351104,49.44
2025-05-11 01:45:43,0.299,49.89,66351104,49.44
2025-05-11 01:45:48,0.299,49.89,66351104,49.44
2025-05-11 01:45:54,0.299,49.89,66351104,49.44
2025-05-11 01:45:59,0.299,49.89,66351104,49.44
2025-05-11 01:46:04,0.299,49.89,66351104,49.44
