timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 00:14:43,0.290,48.27,55398400,41.28
2025-05-10 00:14:48,0.290,48.27,55398400,41.28
2025-05-10 00:14:54,0.290,48.27,55398400,41.28
2025-05-10 00:14:59,0.290,48.27,55398400,41.28
2025-05-10 00:15:04,0.290,48.27,55681024,41.49
2025-05-10 00:15:09,0.290,48.27,55681024,41.49
2025-05-10 00:15:14,0.270,44.94,55681024,41.49
2025-05-10 00:15:20,0.270,44.94,55681024,41.49
2025-05-10 00:15:25,0.270,44.94,55681024,41.49
2025-05-10 00:15:30,0.270,44.94,55681024,41.49
2025-05-10 00:15:35,0.270,44.94,55332864,41.23
2025-05-10 00:15:41,0.270,44.94,55332864,41.23
2025-05-10 00:15:46,0.326,54.36,55332864,41.23
2025-05-10 00:15:51,0.326,54.36,55332864,41.23
2025-05-10 00:15:56,0.326,54.36,55332864,41.23
2025-05-10 00:16:02,0.326,54.36,55836672,41.60
2025-05-10 00:16:07,0.326,54.36,55836672,41.60
2025-05-10 00:16:12,0.485,80.88,55836672,41.60
2025-05-10 00:16:17,0.485,80.88,55836672,41.60
2025-05-10 00:16:23,0.485,80.88,55836672,41.60
2025-05-10 00:16:28,0.485,80.88,55836672,41.60
2025-05-10 00:16:33,0.485,80.88,55361536,41.25
2025-05-10 00:16:38,0.485,80.88,55361536,41.25
2025-05-10 00:16:43,0.270,45.04,55361536,41.25
2025-05-10 00:16:49,0.270,45.04,55361536,41.25
2025-05-10 00:16:54,0.270,45.04,55361536,41.25
2025-05-10 00:16:59,0.270,45.04,55361536,41.25
2025-05-10 00:17:04,0.270,45.04,55361536,41.25
2025-05-10 00:17:10,0.270,45.04,55361536,41.25
2025-05-10 00:17:15,0.319,53.14,55361536,41.25
2025-05-10 00:17:20,0.319,53.14,55361536,41.25
2025-05-10 00:17:25,0.319,53.14,55361536,41.25
2025-05-10 00:17:31,0.319,53.14,55361536,41.25
2025-05-10 00:17:36,0.319,53.14,55193600,41.12
2025-05-10 00:17:41,0.319,53.14,55193600,41.12
2025-05-10 00:17:46,0.239,39.81,55193600,41.12
2025-05-10 00:17:52,0.239,39.81,55193600,41.12
2025-05-10 00:17:57,0.239,39.81,55193600,41.12
2025-05-10 00:18:02,0.239,39.81,54980608,40.96
2025-05-10 00:18:07,0.239,39.81,54980608,40.96
2025-05-10 00:18:12,0.250,41.75,54980608,40.96
2025-05-10 00:18:18,0.250,41.75,54980608,40.96
2025-05-10 00:18:23,0.250,41.75,54980608,40.96
2025-05-10 00:18:28,0.250,41.75,54980608,40.96
2025-05-10 00:18:33,0.250,41.75,54980608,40.96
2025-05-10 00:18:39,0.250,41.75,54980608,40.96
2025-05-10 00:18:44,0.214,35.72,54980608,40.96
2025-05-10 00:18:49,0.214,35.72,54980608,40.96
2025-05-10 00:18:54,0.214,35.72,54980608,40.96
2025-05-10 00:18:59,0.214,35.72,54980608,40.96
2025-05-10 00:19:05,0.214,35.72,54980608,40.96
2025-05-10 00:19:10,0.214,35.72,54980608,40.96
2025-05-10 00:19:15,0.219,36.57,54980608,40.96
2025-05-10 00:19:20,0.219,36.57,54980608,40.96
2025-05-10 00:19:26,0.219,36.57,54980608,40.96
2025-05-10 00:19:31,0.219,36.57,54980608,40.96
2025-05-10 00:19:36,0.219,36.57,55336960,41.23
2025-05-10 00:19:41,0.219,36.57,55336960,41.23
2025-05-10 00:19:46,0.170,28.34,55336960,41.23
2025-05-10 00:19:52,0.170,28.34,55336960,41.23
2025-05-10 00:19:57,0.170,28.34,55336960,41.23
2025-05-10 00:20:02,0.170,28.34,54980608,40.96
2025-05-10 00:20:07,0.170,28.34,54980608,40.96
2025-05-10 00:20:13,0.152,25.30,54980608,40.96
2025-05-10 00:20:18,0.152,25.30,54980608,40.96
2025-05-10 00:20:23,0.152,25.30,54980608,40.96
