timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:12:14,0.241,40.13,88645632,66.05
2025-05-10 12:12:20,0.241,40.13,88645632,66.05
2025-05-10 12:12:25,0.241,40.13,88645632,66.05
2025-05-10 12:12:30,0.241,40.13,88645632,66.05
2025-05-10 12:12:35,0.241,40.13,88645632,66.05
2025-05-10 12:12:40,0.145,24.12,88285184,65.78
2025-05-10 12:12:46,0.145,24.12,88285184,65.78
2025-05-10 12:12:51,0.145,24.12,88285184,65.78
2025-05-10 12:12:56,0.145,24.12,88285184,65.78
2025-05-10 12:13:01,0.145,24.12,88285184,65.78
2025-05-10 12:13:06,0.145,24.12,88285184,65.78
2025-05-10 12:13:12,0.344,57.30,88727552,66.11
2025-05-10 12:13:17,0.344,57.30,88727552,66.11
2025-05-10 12:13:22,0.344,57.30,88727552,66.11
2025-05-10 12:13:28,0.344,57.30,88727552,66.11
2025-05-10 12:13:33,0.344,57.30,88727552,66.11
2025-05-10 12:13:38,0.344,57.30,90210304,67.21
2025-05-10 12:13:43,0.428,71.25,90210304,67.21
2025-05-10 12:13:49,0.428,71.25,90210304,67.21
2025-05-10 12:13:54,0.428,71.25,90210304,67.21
2025-05-10 12:13:59,0.428,71.25,90210304,67.21
2025-05-10 12:14:04,0.428,71.25,90210304,67.21
2025-05-10 12:14:10,0.428,71.25,89247744,66.49
2025-05-10 12:14:15,0.295,49.19,89247744,66.49
2025-05-10 12:14:20,0.295,49.19,89247744,66.49
2025-05-10 12:14:26,0.295,49.19,89247744,66.49
2025-05-10 12:14:31,0.295,49.19,89247744,66.49
2025-05-10 12:14:37,0.295,49.19,89247744,66.49
2025-05-10 12:14:42,0.371,61.89,89767936,66.88
2025-05-10 12:14:47,0.371,61.89,89767936,66.88
2025-05-10 12:14:52,0.371,61.89,89767936,66.88
2025-05-10 12:14:57,0.371,61.89,89767936,66.88
2025-05-10 12:15:03,0.371,61.89,89767936,66.88
2025-05-10 12:15:08,0.371,61.89,89198592,66.46
2025-05-10 12:15:13,0.321,53.48,89198592,66.46
2025-05-10 12:15:19,0.321,53.48,89198592,66.46
2025-05-10 12:15:24,0.321,53.48,89198592,66.46
2025-05-10 12:15:29,0.321,53.48,89198592,66.46
2025-05-10 12:15:34,0.321,53.48,89198592,66.46
2025-05-10 12:15:39,0.321,53.48,89100288,66.38
2025-05-10 12:15:45,0.375,62.47,89100288,66.38
2025-05-10 12:15:50,0.375,62.47,89100288,66.38
2025-05-10 12:15:55,0.375,62.47,89100288,66.38
2025-05-10 12:16:00,0.375,62.47,89100288,66.38
2025-05-10 12:16:06,0.375,62.47,89100288,66.38
2025-05-10 12:16:11,0.209,34.77,89198592,66.46
2025-05-10 12:16:16,0.209,34.77,89198592,66.46
2025-05-10 12:16:22,0.209,34.77,89198592,66.46
2025-05-10 12:16:27,0.209,34.77,89198592,66.46
2025-05-10 12:16:32,0.209,34.77,89198592,66.46
2025-05-10 12:16:37,0.209,34.77,88961024,66.28
2025-05-10 12:16:43,0.286,47.61,88961024,66.28
2025-05-10 12:16:48,0.286,47.61,88961024,66.28
2025-05-10 12:16:53,0.286,47.61,88961024,66.28
2025-05-10 12:16:59,0.286,47.61,88961024,66.28
2025-05-10 12:17:04,0.286,47.61,88961024,66.28
2025-05-10 12:17:09,0.286,47.61,88932352,66.26
2025-05-10 12:17:14,0.142,23.68,88932352,66.26
2025-05-10 12:17:19,0.142,23.68,88932352,66.26
2025-05-10 12:17:25,0.142,23.68,88932352,66.26
2025-05-10 12:17:30,0.142,23.68,88932352,66.26
2025-05-10 12:17:35,0.142,23.68,88932352,66.26
2025-05-10 12:17:41,0.224,37.33,88915968,66.25
2025-05-10 12:17:46,0.224,37.33,88915968,66.25
2025-05-10 12:17:51,0.224,37.33,88915968,66.25
2025-05-10 12:17:56,0.224,37.33,88915968,66.25
2025-05-10 12:18:02,0.224,37.33,88915968,66.25
2025-05-10 12:18:07,0.224,37.33,88915968,66.25
2025-05-10 12:18:12,0.158,26.30,88915968,66.25
2025-05-10 12:18:18,0.158,26.30,88915968,66.25
2025-05-10 12:18:23,0.158,26.30,88915968,66.25
2025-05-10 12:18:28,0.158,26.30,88915968,66.25
2025-05-10 12:18:33,0.158,26.30,88915968,66.25
2025-05-10 12:18:38,0.158,26.30,88915968,66.25
2025-05-10 12:18:44,0.113,18.83,88915968,66.25
2025-05-10 12:18:49,0.113,18.83,88915968,66.25
2025-05-10 12:18:54,0.113,18.83,88915968,66.25
2025-05-10 12:18:59,0.113,18.83,88915968,66.25
2025-05-10 12:19:05,0.113,18.83,88915968,66.25
2025-05-10 12:19:10,0.113,18.83,89243648,66.49
2025-05-10 12:19:15,0.179,29.87,89243648,66.49
2025-05-10 12:19:20,0.179,29.87,89243648,66.49
2025-05-10 12:19:25,0.179,29.87,89243648,66.49
2025-05-10 12:19:31,0.179,29.87,89243648,66.49
2025-05-10 12:19:36,0.179,29.87,89243648,66.49
2025-05-10 12:19:42,0.123,20.42,88616960,66.02
2025-05-10 12:19:47,0.123,20.42,88616960,66.02
2025-05-10 12:19:52,0.123,20.42,88616960,66.02
2025-05-10 12:19:57,0.123,20.42,88616960,66.02
2025-05-10 12:20:03,0.123,20.42,88616960,66.02
2025-05-10 12:20:08,0.123,20.42,88662016,66.06
2025-05-10 12:20:13,0.117,19.52,88662016,66.06
2025-05-10 12:20:18,0.117,19.52,88662016,66.06
2025-05-10 12:20:24,0.117,19.52,88662016,66.06
2025-05-10 12:20:29,0.117,19.52,88662016,66.06
2025-05-10 12:20:34,0.117,19.52,88662016,66.06
2025-05-10 12:20:39,0.117,19.52,88719360,66.10
2025-05-10 12:20:45,0.112,18.74,88719360,66.10
2025-05-10 12:20:50,0.112,18.74,88719360,66.10
2025-05-10 12:20:55,0.112,18.74,88719360,66.10
2025-05-10 12:21:00,0.112,18.74,88719360,66.10
2025-05-10 12:21:05,0.112,18.74,88719360,66.10
2025-05-10 12:21:11,0.202,33.62,89346048,66.57
2025-05-10 12:21:16,0.202,33.62,89346048,66.57
2025-05-10 12:21:21,0.202,33.62,89346048,66.57
2025-05-10 12:21:26,0.202,33.62,89346048,66.57
2025-05-10 12:21:32,0.202,33.62,89346048,66.57
2025-05-10 12:21:37,0.202,33.62,88944640,66.27
2025-05-10 12:21:42,0.218,36.30,88944640,66.27
2025-05-10 12:21:48,0.218,36.30,88944640,66.27
2025-05-10 12:21:53,0.218,36.30,88944640,66.27
2025-05-10 12:21:58,0.218,36.30,88944640,66.27
2025-05-10 12:22:04,0.218,36.30,88944640,66.27
2025-05-10 12:22:09,0.218,36.30,89051136,66.35
2025-05-10 12:22:14,0.272,45.38,89051136,66.35
2025-05-10 12:22:19,0.272,45.38,89051136,66.35
2025-05-10 12:22:24,0.272,45.38,89051136,66.35
2025-05-10 12:22:30,0.272,45.38,89051136,66.35
2025-05-10 12:22:35,0.272,45.38,89051136,66.35
2025-05-10 12:22:40,0.272,45.38,89124864,66.40
2025-05-10 12:22:45,0.201,33.52,89124864,66.40
2025-05-10 12:22:51,0.201,33.52,89124864,66.40
2025-05-10 12:22:56,0.201,33.52,89124864,66.40
2025-05-10 12:23:01,0.201,33.52,89124864,66.40
2025-05-10 12:23:06,0.201,33.52,89124864,66.40
2025-05-10 12:23:12,0.313,52.16,89198592,66.46
2025-05-10 12:23:17,0.313,52.16,89198592,66.46
2025-05-10 12:23:22,0.313,52.16,89198592,66.46
2025-05-10 12:23:27,0.313,52.16,89198592,66.46
2025-05-10 12:23:32,0.313,52.16,89198592,66.46
2025-05-10 12:23:38,0.313,52.16,89247744,66.49
2025-05-10 12:23:43,0.341,56.81,89247744,66.49
2025-05-10 12:23:48,0.341,56.81,89247744,66.49
2025-05-10 12:23:54,0.341,56.81,89247744,66.49
2025-05-10 12:23:59,0.341,56.81,89247744,66.49
2025-05-10 12:24:04,0.341,56.81,89247744,66.49
2025-05-10 12:24:10,0.341,56.81,89817088,66.92
2025-05-10 12:24:15,0.294,49.00,89817088,66.92
2025-05-10 12:24:20,0.294,49.00,89817088,66.92
