timestamp,cpu_usage(core),cpu_util(%),memory_usage(byte),memory_util(%)
2025-05-10 12:12:14,0.229,38.11,88109056,65.65
2025-05-10 12:12:20,0.229,38.11,88109056,65.65
2025-05-10 12:12:25,0.229,38.11,88109056,65.65
2025-05-10 12:12:30,0.229,38.11,88109056,65.65
2025-05-10 12:12:35,0.229,38.11,88109056,65.65
2025-05-10 12:12:40,0.285,47.54,88117248,65.65
2025-05-10 12:12:46,0.285,47.54,88117248,65.65
2025-05-10 12:12:51,0.285,47.54,88117248,65.65
2025-05-10 12:12:56,0.285,47.54,88117248,65.65
2025-05-10 12:13:01,0.285,47.54,88117248,65.65
2025-05-10 12:13:06,0.285,47.54,88801280,66.16
2025-05-10 12:13:12,0.275,45.75,88801280,66.16
2025-05-10 12:13:17,0.275,45.75,88801280,66.16
2025-05-10 12:13:22,0.275,45.75,88801280,66.16
2025-05-10 12:13:28,0.275,45.75,88801280,66.16
2025-05-10 12:13:33,0.275,45.75,88801280,66.16
2025-05-10 12:13:38,0.275,45.75,89382912,66.60
2025-05-10 12:13:43,0.259,43.19,89382912,66.60
2025-05-10 12:13:49,0.259,43.19,89382912,66.60
2025-05-10 12:13:54,0.259,43.19,89382912,66.60
2025-05-10 12:13:59,0.259,43.19,89382912,66.60
2025-05-10 12:14:04,0.259,43.19,89382912,66.60
2025-05-10 12:14:10,0.259,43.19,89837568,66.93
2025-05-10 12:14:15,0.263,43.90,89837568,66.93
2025-05-10 12:14:20,0.263,43.90,89837568,66.93
2025-05-10 12:14:26,0.263,43.90,89837568,66.93
2025-05-10 12:14:31,0.263,43.90,89837568,66.93
2025-05-10 12:14:37,0.263,43.90,89473024,66.66
2025-05-10 12:14:42,0.222,36.93,89473024,66.66
2025-05-10 12:14:47,0.222,36.93,89473024,66.66
2025-05-10 12:14:52,0.222,36.93,89473024,66.66
2025-05-10 12:14:57,0.222,36.93,89473024,66.66
2025-05-10 12:15:03,0.222,36.93,89473024,66.66
2025-05-10 12:15:08,0.222,36.93,89427968,66.63
2025-05-10 12:15:13,0.226,37.70,89427968,66.63
2025-05-10 12:15:19,0.226,37.70,89427968,66.63
2025-05-10 12:15:24,0.226,37.70,89427968,66.63
2025-05-10 12:15:29,0.226,37.70,89427968,66.63
2025-05-10 12:15:34,0.226,37.70,89427968,66.63
2025-05-10 12:15:39,0.226,37.70,89182208,66.45
2025-05-10 12:15:45,0.261,43.52,89182208,66.45
2025-05-10 12:15:50,0.261,43.52,89182208,66.45
2025-05-10 12:15:55,0.261,43.52,89182208,66.45
2025-05-10 12:16:00,0.261,43.52,89182208,66.45
2025-05-10 12:16:06,0.261,43.52,89182208,66.45
2025-05-10 12:16:11,0.343,57.23,89055232,66.35
2025-05-10 12:16:16,0.343,57.23,89055232,66.35
2025-05-10 12:16:22,0.343,57.23,89055232,66.35
2025-05-10 12:16:27,0.343,57.23,89055232,66.35
2025-05-10 12:16:32,0.343,57.23,89055232,66.35
2025-05-10 12:16:37,0.343,57.23,89501696,66.68
2025-05-10 12:16:43,0.189,31.48,89501696,66.68
2025-05-10 12:16:48,0.189,31.48,89501696,66.68
2025-05-10 12:16:53,0.189,31.48,89501696,66.68
2025-05-10 12:16:59,0.189,31.48,89501696,66.68
2025-05-10 12:17:04,0.189,31.48,89501696,66.68
2025-05-10 12:17:09,0.189,31.48,89214976,66.47
2025-05-10 12:17:14,0.186,31.03,89214976,66.47
2025-05-10 12:17:19,0.186,31.03,89214976,66.47
2025-05-10 12:17:25,0.186,31.03,89214976,66.47
2025-05-10 12:17:30,0.186,31.03,89214976,66.47
2025-05-10 12:17:35,0.186,31.03,89214976,66.47
2025-05-10 12:17:41,0.105,17.54,89214976,66.47
2025-05-10 12:17:46,0.105,17.54,89214976,66.47
2025-05-10 12:17:51,0.105,17.54,89214976,66.47
2025-05-10 12:17:56,0.105,17.54,89214976,66.47
2025-05-10 12:18:02,0.105,17.54,89214976,66.47
2025-05-10 12:18:07,0.105,17.54,88956928,66.28
2025-05-10 12:18:12,0.145,24.08,88956928,66.28
2025-05-10 12:18:18,0.145,24.08,88956928,66.28
2025-05-10 12:18:23,0.145,24.08,88956928,66.28
2025-05-10 12:18:28,0.145,24.08,88956928,66.28
2025-05-10 12:18:33,0.145,24.08,88956928,66.28
2025-05-10 12:18:38,0.145,24.08,88956928,66.28
2025-05-10 12:18:44,0.106,17.75,88956928,66.28
2025-05-10 12:18:49,0.106,17.75,88956928,66.28
2025-05-10 12:18:54,0.106,17.75,88956928,66.28
2025-05-10 12:18:59,0.106,17.75,88956928,66.28
2025-05-10 12:19:05,0.106,17.75,88956928,66.28
2025-05-10 12:19:10,0.106,17.75,89214976,66.47
2025-05-10 12:19:15,0.102,17.08,89214976,66.47
2025-05-10 12:19:20,0.102,17.08,89214976,66.47
2025-05-10 12:19:25,0.102,17.08,89214976,66.47
2025-05-10 12:19:31,0.102,17.08,89214976,66.47
2025-05-10 12:19:36,0.102,17.08,88891392,66.23
2025-05-10 12:19:42,0.083,13.87,88891392,66.23
2025-05-10 12:19:47,0.083,13.87,88891392,66.23
2025-05-10 12:19:52,0.083,13.87,88891392,66.23
2025-05-10 12:19:57,0.083,13.87,88891392,66.23
2025-05-10 12:20:03,0.083,13.87,88891392,66.23
2025-05-10 12:20:08,0.083,13.87,88698880,66.09
2025-05-10 12:20:13,0.138,23.00,88698880,66.09
2025-05-10 12:20:18,0.138,23.00,88698880,66.09
2025-05-10 12:20:24,0.138,23.00,88698880,66.09
2025-05-10 12:20:29,0.138,23.00,88698880,66.09
2025-05-10 12:20:34,0.138,23.00,88698880,66.09
2025-05-10 12:20:39,0.138,23.00,88776704,66.14
2025-05-10 12:20:45,0.131,21.84,88776704,66.14
2025-05-10 12:20:50,0.131,21.84,88776704,66.14
2025-05-10 12:20:55,0.131,21.84,88776704,66.14
2025-05-10 12:21:00,0.131,21.84,88776704,66.14
2025-05-10 12:21:05,0.131,21.84,88776704,66.14
2025-05-10 12:21:11,0.093,15.45,88838144,66.19
2025-05-10 12:21:16,0.093,15.45,88838144,66.19
2025-05-10 12:21:21,0.093,15.45,88838144,66.19
2025-05-10 12:21:26,0.093,15.45,88838144,66.19
2025-05-10 12:21:32,0.093,15.45,88838144,66.19
2025-05-10 12:21:37,0.093,15.45,89243648,66.49
2025-05-10 12:21:42,0.259,43.15,89243648,66.49
2025-05-10 12:21:48,0.259,43.15,89243648,66.49
2025-05-10 12:21:53,0.259,43.15,89243648,66.49
2025-05-10 12:21:58,0.259,43.15,89243648,66.49
2025-05-10 12:22:04,0.259,43.15,89243648,66.49
2025-05-10 12:22:09,0.259,43.15,89481216,66.67
2025-05-10 12:22:14,0.238,39.62,89481216,66.67
2025-05-10 12:22:19,0.238,39.62,89481216,66.67
2025-05-10 12:22:24,0.238,39.62,89481216,66.67
2025-05-10 12:22:30,0.238,39.62,89481216,66.67
2025-05-10 12:22:35,0.238,39.62,89481216,66.67
2025-05-10 12:22:40,0.238,39.62,89645056,66.79
2025-05-10 12:22:45,0.313,52.12,89645056,66.79
2025-05-10 12:22:51,0.313,52.12,89645056,66.79
2025-05-10 12:22:56,0.313,52.12,89645056,66.79
2025-05-10 12:23:01,0.313,52.12,89645056,66.79
2025-05-10 12:23:06,0.313,52.12,89645056,66.79
2025-05-10 12:23:12,0.350,58.34,89968640,67.03
2025-05-10 12:23:17,0.350,58.34,89968640,67.03
2025-05-10 12:23:22,0.350,58.34,89968640,67.03
2025-05-10 12:23:27,0.350,58.34,89968640,67.03
2025-05-10 12:23:32,0.350,58.34,89968640,67.03
2025-05-10 12:23:38,0.350,58.34,89673728,66.81
2025-05-10 12:23:43,0.353,58.88,89673728,66.81
2025-05-10 12:23:48,0.353,58.88,89673728,66.81
2025-05-10 12:23:54,0.353,58.88,89673728,66.81
2025-05-10 12:23:59,0.353,58.88,89673728,66.81
2025-05-10 12:24:04,0.353,58.88,89673728,66.81
2025-05-10 12:24:10,0.353,58.88,89636864,66.78
2025-05-10 12:24:15,0.456,76.01,89636864,66.78
2025-05-10 12:24:20,0.456,76.01,89636864,66.78
2025-05-10 12:24:25,0.456,76.01,89636864,66.78
2025-05-10 12:24:31,0.456,76.01,89636864,66.78
2025-05-10 12:24:36,0.456,76.01,89636864,66.78
2025-05-10 12:24:41,0.443,73.89,89460736,66.65
2025-05-10 12:24:46,0.443,73.89,89460736,66.65
2025-05-10 12:24:52,0.443,73.89,89460736,66.65
2025-05-10 12:24:57,0.443,73.89,89460736,66.65
2025-05-10 12:25:02,0.443,73.89,89460736,66.65
2025-05-10 12:25:07,0.443,73.89,89550848,66.72
2025-05-10 12:25:13,0.406,67.67,89550848,66.72
2025-05-10 12:25:18,0.406,67.67,89550848,66.72
2025-05-10 12:25:23,0.406,67.67,89550848,66.72
2025-05-10 12:25:28,0.406,67.67,89550848,66.72
2025-05-10 12:25:34,0.406,67.67,89550848,66.72
2025-05-10 12:25:39,0.406,67.67,89858048,66.95
2025-05-10 12:25:44,0.314,52.32,89858048,66.95
2025-05-10 12:25:49,0.314,52.32,89858048,66.95
2025-05-10 12:25:55,0.314,52.32,89858048,66.95
2025-05-10 12:26:00,0.314,52.32,89858048,66.95
2025-05-10 12:26:05,0.314,52.32,89858048,66.95
2025-05-10 12:26:10,0.330,55.01,89387008,66.60
2025-05-10 12:26:16,0.330,55.01,89387008,66.60
2025-05-10 12:26:21,0.330,55.01,89387008,66.60
2025-05-10 12:26:26,0.330,55.01,89387008,66.60
2025-05-10 12:26:31,0.330,55.01,89387008,66.60
2025-05-10 12:26:37,0.330,55.01,89042944,66.34
2025-05-10 12:26:42,0.270,45.07,89042944,66.34
2025-05-10 12:26:47,0.270,45.07,89042944,66.34
2025-05-10 12:26:52,0.270,45.07,89042944,66.34
2025-05-10 12:26:58,0.270,45.07,89042944,66.34
2025-05-10 12:27:03,0.270,45.07,89042944,66.34
2025-05-10 12:27:08,0.270,45.07,88940544,66.27
2025-05-10 12:27:13,0.255,42.58,88940544,66.27
2025-05-10 12:27:19,0.255,42.58,88940544,66.27
2025-05-10 12:27:24,0.255,42.58,88940544,66.27
2025-05-10 12:27:29,0.255,42.58,88940544,66.27
2025-05-10 12:27:34,0.255,42.58,88940544,66.27
2025-05-10 12:27:39,0.255,42.58,89112576,66.39
2025-05-10 12:27:45,0.222,36.95,89112576,66.39
2025-05-10 12:27:50,0.222,36.95,89112576,66.39
2025-05-10 12:27:55,0.222,36.95,89112576,66.39
2025-05-10 12:28:00,0.222,36.95,89112576,66.39
2025-05-10 12:28:06,0.222,36.95,89112576,66.39
2025-05-10 12:28:11,0.201,33.48,88764416,66.13
2025-05-10 12:28:16,0.201,33.48,88764416,66.13
2025-05-10 12:28:21,0.201,33.48,88764416,66.13
2025-05-10 12:28:27,0.201,33.48,88764416,66.13
2025-05-10 12:28:32,0.201,33.48,88764416,66.13
2025-05-10 12:28:37,0.201,33.48,88723456,66.10
2025-05-10 12:28:42,0.155,25.87,88723456,66.10
2025-05-10 12:28:48,0.155,25.87,88723456,66.10
2025-05-10 12:28:53,0.155,25.87,88723456,66.10
2025-05-10 12:28:58,0.155,25.87,88723456,66.10
2025-05-10 12:29:04,0.155,25.87,88723456,66.10
2025-05-10 12:29:09,0.155,25.87,88961024,66.28
2025-05-10 12:29:14,0.152,25.27,88961024,66.28
2025-05-10 12:29:19,0.152,25.27,88961024,66.28
2025-05-10 12:29:24,0.152,25.27,88961024,66.28
2025-05-10 12:29:30,0.152,25.27,88961024,66.28
2025-05-10 12:29:35,0.152,25.27,88961024,66.28
2025-05-10 12:29:40,0.168,27.92,88731648,66.11
2025-05-10 12:29:46,0.168,27.92,88731648,66.11
2025-05-10 12:29:51,0.168,27.92,88731648,66.11
2025-05-10 12:29:56,0.168,27.92,88731648,66.11
2025-05-10 12:30:01,0.168,27.92,88731648,66.11
2025-05-10 12:30:07,0.168,27.92,88870912,66.21
2025-05-10 12:30:12,0.143,23.76,88870912,66.21
2025-05-10 12:30:17,0.143,23.76,88870912,66.21
2025-05-10 12:30:22,0.143,23.76,88870912,66.21
2025-05-10 12:30:28,0.143,23.76,88870912,66.21
2025-05-10 12:30:33,0.143,23.76,88870912,66.21
2025-05-10 12:30:38,0.143,23.76,88993792,66.31
2025-05-10 12:30:44,0.156,26.02,88993792,66.31
2025-05-10 12:30:49,0.156,26.02,88993792,66.31
2025-05-10 12:30:54,0.156,26.02,88993792,66.31
2025-05-10 12:30:59,0.156,26.02,88993792,66.31
2025-05-10 12:31:04,0.156,26.02,88993792,66.31
2025-05-10 12:31:10,0.156,26.02,89710592,66.84
2025-05-10 12:31:15,0.318,52.94,89710592,66.84
2025-05-10 12:31:20,0.318,52.94,89710592,66.84
2025-05-10 12:31:26,0.318,52.94,89710592,66.84
2025-05-10 12:31:31,0.318,52.94,89710592,66.84
2025-05-10 12:31:36,0.318,52.94,89055232,66.35
2025-05-10 12:31:42,0.225,37.44,89055232,66.35
2025-05-10 12:31:47,0.225,37.44,89055232,66.35
2025-05-10 12:31:52,0.225,37.44,89055232,66.35
2025-05-10 12:31:58,0.225,37.44,89055232,66.35
2025-05-10 12:32:03,0.225,37.44,89055232,66.35
2025-05-10 12:32:08,0.225,37.44,89661440,66.80
2025-05-10 12:32:14,0.277,46.23,89661440,66.80
2025-05-10 12:32:19,0.277,46.23,89661440,66.80
2025-05-10 12:32:24,0.277,46.23,89661440,66.80
2025-05-10 12:32:30,0.277,46.23,89661440,66.80
2025-05-10 12:32:35,0.277,46.23,89661440,66.80
2025-05-10 12:32:40,0.246,40.95,107077632,79.78
2025-05-10 12:32:45,0.246,40.95,107077632,79.78
2025-05-10 12:32:51,0.246,40.95,107077632,79.78
2025-05-10 12:32:56,0.246,40.95,107077632,79.78
2025-05-10 12:33:01,0.246,40.95,107077632,79.78
2025-05-10 12:33:07,0.246,40.95,106614784,79.43
2025-05-10 12:33:12,0.497,82.83,106614784,79.43
2025-05-10 12:33:17,0.497,82.83,106614784,79.43
2025-05-10 12:33:23,0.497,82.83,106614784,79.43
2025-05-10 12:33:28,0.497,82.83,106614784,79.43
2025-05-10 12:33:33,0.497,82.83,106614784,79.43
2025-05-10 12:33:38,0.497,82.83,106938368,79.68
2025-05-10 12:33:44,0.376,62.72,106938368,79.68
2025-05-10 12:33:49,0.376,62.72,106938368,79.68
2025-05-10 12:33:54,0.376,62.72,106938368,79.68
2025-05-10 12:34:00,0.376,62.72,106938368,79.68
2025-05-10 12:34:05,0.376,62.72,106938368,79.68
2025-05-10 12:34:10,0.559,93.19,106176512,79.11
2025-05-10 12:34:16,0.559,93.19,106176512,79.11
2025-05-10 12:34:21,0.559,93.19,106176512,79.11
