timestamp,non2xx_count,non2xx_percent,total_requests,slow_count_50ms,slow_percent_50ms,slow_count_100ms,slow_percent_100ms,slow_count_200ms,slow_percent_200ms
2025-05-09 00:00:41,1263,6.21,20328,1941,9.55,0,0.00,0,0.00
2025-05-09 00:00:46,3372,7.05,47865,4894,10.23,0,0.00,0,0.00
2025-05-09 00:00:52,4130,7.23,57128,5828,10.20,0,0.00,0,0.00
2025-05-09 00:00:57,5859,8.70,67353,6495,9.64,10,0.02,0,0.00
2025-05-09 00:01:02,7882,10.11,77975,6592,8.46,23,0.03,0,0.00
2025-05-09 00:01:07,8971,10.24,87590,7394,8.44,26,0.03,0,0.00
2025-05-09 00:01:13,12717,12.32,103266,8337,8.07,16,0.02,0,0.00
2025-05-09 00:01:18,14105,12.83,109905,10429,9.49,21,0.02,0,0.00
2025-05-09 00:01:23,15451,13.89,111253,10429,9.37,21,0.02,0,0.00
2025-05-09 00:01:29,20178,17.37,116157,18250,15.71,472,0.41,0,0.00
2025-05-09 00:01:34,21934,18.60,117918,18250,15.48,472,0.40,0,0.00
2025-05-09 00:01:39,22005,18.65,117994,18250,15.47,472,0.40,0,0.00
2025-05-09 00:01:45,27488,22.27,123426,24724,20.03,573,0.46,0,0.00
2025-05-09 00:01:50,27488,22.27,123426,24724,20.03,573,0.46,0,0.00
2025-05-09 00:01:55,29706,23.62,125760,27616,21.96,937,0.75,0,0.00
2025-05-09 00:02:01,31968,24.96,128073,30032,23.45,1396,1.09,0,0.00
2025-05-09 00:02:06,31968,24.76,129122,30032,23.26,1396,1.08,0,0.00
2025-05-09 00:02:11,33825,25.82,131011,26389,20.14,1266,0.97,0,0.00
2025-05-09 00:02:16,35442,26.62,133150,22821,17.14,1042,0.78,0,0.00
2025-05-09 00:02:22,35442,26.50,133754,22821,17.06,1042,0.78,0,0.00
2025-05-09 00:02:27,36360,26.91,135132,21477,15.89,1253,0.93,0,0.00
2025-05-09 00:02:32,37201,27.19,136819,21477,15.70,1253,0.92,0,0.00
2025-05-09 00:02:38,37201,27.12,137190,21477,15.66,1253,0.91,0,0.00
2025-05-09 00:02:43,38017,27.51,138188,19796,14.33,1518,1.10,0,0.00
2025-05-09 00:02:48,38017,27.31,139186,19795,14.22,1518,1.09,0,0.00
2025-05-09 00:02:54,38017,27.28,139345,19795,14.21,1518,1.09,0,0.00
2025-05-09 00:02:59,38141,27.32,139620,24454,17.52,2313,1.66,0,0.00
2025-05-09 00:03:04,38141,27.23,140090,24454,17.46,2313,1.65,0,0.00
2025-05-09 00:03:10,38106,27.24,139917,23961,17.13,2353,1.68,0,0.00
2025-05-09 00:03:15,38262,27.31,140104,22985,16.41,2357,1.68,0,0.00
2025-05-09 00:03:20,38262,27.32,140054,22985,16.41,2357,1.68,0,0.00
2025-05-09 00:03:25,37865,27.07,139860,22104,15.80,1861,1.33,0,0.00
2025-05-09 00:03:31,37293,26.81,139097,20614,14.82,1269,0.91,0,0.00
2025-05-09 00:03:36,37293,26.82,139052,20614,14.83,1269,0.91,0,0.00
2025-05-09 00:03:41,36174,26.26,137758,19137,13.89,788,0.57,0,0.00
2025-05-09 00:03:47,35192,25.71,136896,18082,13.21,382,0.28,0,0.00
2025-05-09 00:03:52,35192,25.71,136897,18082,13.21,382,0.28,0,0.00
2025-05-09 00:03:57,31850,23.83,133661,22581,16.89,433,0.32,0,0.00
2025-05-09 00:04:03,31850,23.84,133617,22581,16.90,433,0.32,0,0.00
2025-05-09 00:04:08,31850,23.84,133617,22581,16.90,433,0.32,0,0.00
2025-05-09 00:04:13,27950,21.58,129545,23714,18.31,570,0.44,0,0.00
2025-05-09 00:04:19,27950,21.64,129166,23714,18.36,570,0.44,0,0.00
2025-05-09 00:04:24,27950,21.64,129166,23714,18.36,570,0.44,0,0.00
2025-05-09 00:04:29,23366,18.73,124722,20678,16.58,565,0.45,0,0.00
2025-05-09 00:04:34,23366,18.81,124218,20678,16.65,565,0.46,0,0.00
2025-05-09 00:04:40,20786,17.10,121565,16190,13.32,400,0.33,0,0.00
2025-05-09 00:04:45,18097,15.22,118905,10845,9.12,137,0.12,0,0.00
2025-05-09 00:04:50,18097,15.22,118890,10845,9.12,137,0.12,0,0.00
2025-05-09 00:04:56,14534,12.70,114409,7380,6.45,20,0.02,0,0.00
2025-05-09 00:05:01,10838,9.93,109138,4381,4.01,0,0.00,0,0.00
2025-05-09 00:05:06,10838,9.48,114334,4381,3.83,0,0.00,0,0.00
2025-05-09 00:05:12,7721,7.28,106093,2604,2.45,0,0.00,0,0.00
2025-05-09 00:05:17,4722,4.55,103758,1189,1.15,0,0.00,0,0.00
2025-05-09 00:05:22,4722,4.26,110782,1189,1.07,0,0.00,0,0.00
2025-05-09 00:05:28,650,0.72,89748,464,0.52,0,0.00,0,0.00
2025-05-09 00:05:33,650,0.64,102302,464,0.45,0,0.00,0,0.00
2025-05-09 00:05:38,650,0.64,102302,464,0.45,0,0.00,0,0.00
2025-05-09 00:05:44,0,0.00,86321,120,0.14,0,0.00,0,0.00
2025-05-09 00:05:49,0,0.00,92969,120,0.13,0,0.00,0,0.00
2025-05-09 00:05:54,0,0.00,92969,120,0.13,0,0.00,0,0.00
2025-05-09 00:05:59,0,0.00,84806,100,0.12,0,0.00,0,0.00
