timestamp,non2xx_count,non2xx_percent,total_requests,slow_count_50ms,slow_percent_50ms,slow_count_100ms,slow_percent_100ms,slow_count_200ms,slow_percent_200ms
2025-05-10 12:11:44,0,0.00,6015,0,0.00,0,0.00,0,0.00
2025-05-10 12:11:49,0,0.00,36863,0,0.00,0,0.00,0,0.00
2025-05-10 12:11:55,0,0.00,45714,0,0.00,0,0.00,0,0.00
2025-05-10 12:12:00,0,0.00,54894,0,0.00,0,0.00,0,0.00
2025-05-10 12:12:05,0,0.00,65397,0,0.00,0,0.00,0,0.00
2025-05-10 12:12:11,0,0.00,74582,0,0.00,0,0.00,0,0.00
2025-05-10 12:12:16,0,0.00,84174,0,0.00,0,0.00,0,0.00
2025-05-10 12:12:21,0,0.00,95812,0,0.00,0,0.00,0,0.00
2025-05-10 12:12:27,0,0.00,105278,0,0.00,0,0.00,0,0.00
2025-05-10 12:12:32,0,0.00,108498,0,0.00,0,0.00,0,0.00
2025-05-10 12:12:37,0,0.00,113677,0,0.00,0,0.00,0,0.00
2025-05-10 12:12:42,0,0.00,113677,0,0.00,0,0.00,0,0.00
2025-05-10 12:12:48,0,0.00,116225,8,0.01,0,0.00,0,0.00
2025-05-10 12:12:53,0,0.00,120121,8,0.01,0,0.00,0,0.00
2025-05-10 12:12:58,0,0.00,121312,8,0.01,0,0.00,0,0.00
2025-05-10 12:13:04,0,0.00,125442,166,0.13,0,0.00,0,0.00
2025-05-10 12:13:10,0,0.00,125442,166,0.13,0,0.00,0,0.00
2025-05-10 12:13:15,0,0.00,126750,253,0.20,0,0.00,0,0.00
2025-05-10 12:13:21,0,0.00,130570,477,0.37,0,0.00,0,0.00
2025-05-10 12:13:26,0,0.00,130570,477,0.37,0,0.00,0,0.00
2025-05-10 12:13:31,0,0.00,131637,473,0.36,0,0.00,0,0.00
2025-05-10 12:13:37,0,0.00,134012,788,0.59,0,0.00,0,0.00
2025-05-10 12:13:42,0,0.00,134012,788,0.59,0,0.00,0,0.00
2025-05-10 12:13:47,0,0.00,135869,802,0.59,0,0.00,0,0.00
2025-05-10 12:13:53,0,0.00,136933,902,0.66,0,0.00,0,0.00
2025-05-10 12:13:58,0,0.00,137466,1188,0.86,0,0.00,0,0.00
2025-05-10 12:14:04,0,0.00,139114,2388,1.72,0,0.00,0,0.00
2025-05-10 12:14:09,0,0.00,139114,2388,1.72,0,0.00,0,0.00
2025-05-10 12:14:14,0,0.00,139318,2766,1.99,0,0.00,0,0.00
2025-05-10 12:14:20,0,0.00,139910,3905,2.79,0,0.00,0,0.00
2025-05-10 12:14:26,0,0.00,139910,3905,2.79,0,0.00,0,0.00
2025-05-10 12:14:31,0,0.00,140017,5000,3.57,0,0.00,0,0.00
2025-05-10 12:14:37,0,0.00,140168,8641,6.17,0,0.00,0,0.00
2025-05-10 12:14:42,0,0.00,140168,8641,6.17,0,0.00,0,0.00
2025-05-10 12:14:47,0,0.00,139700,7896,5.65,0,0.00,0,0.00
2025-05-10 12:14:53,0,0.00,138246,7041,5.09,0,0.00,0,0.00
2025-05-10 12:14:58,0,0.00,137781,6747,4.90,0,0.00,0,0.00
2025-05-10 12:15:03,0,0.00,136524,6477,4.74,0,0.00,0,0.00
2025-05-10 12:15:09,0,0.00,135722,6473,4.77,0,0.00,0,0.00
2025-05-10 12:15:14,0,0.00,135328,6483,4.79,0,0.00,0,0.00
2025-05-10 12:15:19,0,0.00,132049,7480,5.66,0,0.00,0,0.00
2025-05-10 12:15:25,0,0.00,132049,7480,5.66,0,0.00,0,0.00
2025-05-10 12:15:30,0,0.00,131516,7654,5.82,0,0.00,0,0.00
2025-05-10 12:15:36,0,0.00,127970,8725,6.82,0,0.00,0,0.00
2025-05-10 12:15:41,0,0.00,127970,8725,6.82,0,0.00,0,0.00
2025-05-10 12:15:46,0,0.00,127433,8788,6.90,0,0.00,0,0.00
2025-05-10 12:15:52,0,0.00,123035,8069,6.56,0,0.00,0,0.00
2025-05-10 12:15:57,0,0.00,123035,8069,6.56,0,0.00,0,0.00
2025-05-10 12:16:02,0,0.00,120926,5858,4.84,0,0.00,0,0.00
2025-05-10 12:16:08,0,0.00,117065,2101,1.80,0,0.00,0,0.00
2025-05-10 12:16:13,0,0.00,115820,1849,1.60,0,0.00,0,0.00
2025-05-10 12:16:19,0,0.00,110397,661,0.60,0,0.00,0,0.00
2025-05-10 12:16:25,0,0.00,110397,661,0.60,0,0.00,0,0.00
